Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,183.665,34.844,0,5.777,1.580,3.079,6.625,15.341,0.125
1,1,184.757,33.344,0,4.536,1.417,2.580,5.297,11.950,0.128
2,0,8.989,40.582,0,6.082,1.696,3.486,7.839,18.803,0.125
2,1,8.350,41.635,0,6.924,1.688,3.446,7.700,18.378,0.125
2,2,6.807,42.241,0,6.437,1.686,3.407,7.523,17.718,0.111
2,3,7.788,42.453,0,6.960,1.694,3.470,7.764,18.512,0.200
2,4,8.547,41.840,0,7.108,1.661,3.350,7.411,17.521,0.133
2,5,9.054,42.167,0,6.668,1.670,3.382,7.511,17.838,0.167
2,6,8.231,42.286,0,7.209,1.624,3.221,7.024,16.429,0.143
2,7,8.034,42.637,0,6.837,1.539,2.922,6.096,13.639,0.111
2,8,8.710,42.337,0,6.526,1.698,3.455,7.651,18.016,0.167
2,9,8.461,43.119,0,6.770,1.606,3.133,6.709,15.410,0.200
2,10,8.399,43.309,0,6.388,1.663,3.390,7.619,18.363,0.167
2,11,8.404,43.197,0,6.449,1.635,3.249,7.083,16.531,0.250
3,0,19.211,41.586,0,3.688,1.378,2.417,4.714,9.996,0.125
3,1,18.494,42.274,0,4.082,1.321,2.228,4.172,8.515,0.125
4,0,2.308,51.280,0,5.496,1.498,2.737,5.472,11.703,0.125
4,1,3.573,51.054,0,5.785,1.472,2.716,5.561,12.333,0.173
4,2,3.344,51.476,0,6.167,1.437,2.572,5.063,10.718,0.111
4,3,3.303,51.349,0,5.350,1.472,2.726,5.625,12.622,0.203
4,4,3.415,51.559,0,4.646,1.319,2.156,3.842,7.315,0.125
4,5,3.374,51.568,0,5.140,1.438,2.596,5.217,11.414,0.171
5,0,5.812,70.348,0,7.750,1.728,3.586,8.142,19.717,0.125
5,1,5.780,70.077,0,6.541,1.591,3.137,6.863,16.201,0.125
5,2,5.647,68.736,0,6.797,1.662,3.333,7.330,17.244,0.111
5,3,5.737,69.481,0,8.412,1.640,3.310,7.366,17.593,0.200
5,4,5.392,70.414,0,6.897,1.632,3.244,7.083,16.582,0.133
5,5,5.672,69.514,0,7.417,1.663,3.357,7.439,17.638,0.167
5,6,5.313,70.737,0,7.529,1.512,2.825,5.818,12.903,0.143
5,7,4.985,71.154,0,6.199,1.656,3.364,7.531,18.087,0.112
5,8,5.413,69.431,0,7.199,1.658,3.328,7.328,17.250,0.167
5,9,5.242,69.682,0,7.191,1.630,3.229,7.033,16.424,0.200
5,10,5.720,69.734,0,6.687,1.568,3.017,6.396,14.586,0.167
5,11,5.211,71.153,0,7.608,1.634,3.263,7.188,17.023,0.250
5,12,5.540,69.832,0,7.222,1.781,3.781,8.729,21.383,0.111
5,13,4.852,69.910,0,7.806,1.661,3.339,7.353,17.317,0.167
5,14,5.389,72.328,0,6.450,1.642,3.294,7.262,17.151,0.125
6,1,7.296,29.244,0,6.209,1.580,3.075,6.592,15.174,0.125
6,2,6.787,30.237,0,5.422,1.481,2.749,5.692,12.825,0.111
7,1,41.647,75.531,0,5.899,1.503,2.793,5.722,12.619,0.173
7,2,41.932,77.496,0,4.590,1.424,2.520,4.936,10.478,0.113
7,3,42.028,78.586,0,5.122,1.428,2.555,5.064,10.883,0.203
7,4,42.249,76.896,0,4.865,1.470,2.737,5.662,12.694,0.125
7,5,40.090,76.457,0,4.405,1.372,2.371,4.550,9.489,0.167
7,6,40.789,75.328,0,4.484,1.400,2.442,4.706,9.823,0.147
7,7,41.554,72.219,0,5.781,1.572,3.050,6.534,15.074,0.111
7,8,43.485,72.008,0,6.539,1.544,2.915,6.038,13.398,0.167
8,4,6.622,29.859,0,5.487,1.567,3.012,6.364,14.441,0.125
8,5,6.937,30.685,0,5.302,1.373,2.377,4.585,9.663,0.171
8,6,6.899,30.566,0,5.289,1.510,2.869,6.076,13.967,0.143
8,7,7.464,30.143,0,4.992,1.454,2.620,5.220,11.225,0.115
8,8,7.681,29.486,0,4.222,1.376,2.382,4.549,9.378,0.167
8,9,7.754,29.095,0,5.915,1.449,2.610,5.195,11.164,0.200
9,6,139.321,36.087,0,4.003,1.422,2.614,5.404,12.256,0.148
9,7,144.362,36.535,0,4.836,1.389,2.408,4.630,9.693,0.115
10,7,84.326,99.776,0,6.364,1.600,3.106,6.620,15.132,0.115
10,8,84.281,99.494,0,5.359,1.602,3.155,6.836,15.882,0.167
10,9,83.698,99.793,0,4.694,1.516,2.870,6.023,13.663,0.200
10,10,83.785,100.633,0,5.961,1.493,2.766,5.675,12.605,0.167
11,10,143.911,35.609,0,4.743,1.316,2.176,3.945,7.687,0.167
11,11,144.206,34.606,0,5.359,1.454,2.598,5.119,10.886,0.250
11,12,144.484,34.745,0,4.175,1.438,2.623,5.351,11.907,0.111
