Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,26.380,84.010,0,3.933,1.381,2.390,4.555,9.357,0.143
1,1,24.984,83.376,0,3.177,1.465,2.738,5.750,13.203,0.133
1,2,26.434,82.021,0,3.498,1.492,2.784,5.755,12.862,0.111
1,3,26.689,82.622,0,2.448,1.490,2.818,5.913,13.416,0.100
2,1,48.650,99.298,0,2.806,1.533,2.928,6.176,13.998,0.141
2,2,49.863,96.311,0,2.831,1.487,2.768,5.745,12.973,0.113
3,2,94.032,131.833,0,2.282,1.384,2.448,4.846,10.501,0.125
3,3,93.428,131.154,0,2.777,1.528,2.887,6.050,13.711,0.100
4,2,96.395,149.043,0,0.825,0.853,1.170,1.778,2.964,0.111
4,3,94.125,148.071,0,1.690,1.314,2.258,4.419,9.647,0.101
5,3,57.147,103.068,0,2.074,1.444,2.696,5.644,12.864,0.102
5,4,56.609,103.878,0,2.753,1.420,2.525,4.996,10.766,0.106
5,5,56.113,102.092,0,2.620,1.423,2.620,5.425,12.299,0.225
6,3,155.902,115.384,0,3.348,1.476,2.787,5.875,13.479,0.100
6,4,156.011,114.913,0,2.393,1.433,2.603,5.227,11.322,0.133
7,5,27.262,80.594,0,3.929,1.424,2.515,4.918,10.433,0.203
7,6,27.364,80.240,0,4.108,1.566,2.992,6.264,14.038,0.167
8,5,94.626,130.623,0,3.650,1.380,2.426,4.780,10.329,0.203
8,6,100.877,131.422,0,1.806,1.230,1.953,3.454,6.719,0.167
9,6,53.485,30.851,0,1.703,1.415,2.783,6.296,15.679,0.167
9,7,51.123,29.889,0,3.232,1.491,2.799,5.840,13.221,0.167
10,7,79.518,44.748,0,3.642,1.612,3.231,7.199,17.329,0.167
10,8,80.723,45.492,0,3.728,1.481,2.756,5.722,12.916,0.167
10,9,81.713,45.666,0,3.462,1.435,2.560,5.076,10.939,0.143
10,10,83.416,44.938,0,3.792,1.417,2.541,5.089,11.127,0.167
10,11,83.273,44.405,0,3.558,1.530,2.916,6.139,13.921,0.111
10,12,83.462,45.562,0,4.852,1.468,2.745,5.774,13.312,0.250
10,13,83.418,45.514,0,4.513,1.586,3.110,6.747,15.769,0.200
10,14,83.703,44.699,0,4.332,1.407,2.484,4.867,10.346,0.250
10,15,82.593,45.285,0,5.310,1.424,2.535,4.995,10.656,0.333
10,16,81.710,44.797,0,4.827,1.418,2.513,4.912,10.367,0.250
10,17,81.582,45.541,0,5.210,1.392,2.425,4.665,9.710,0.250
10,18,81.821,46.167,0,4.427,1.575,3.084,6.710,15.787,0.167
10,19,82.258,45.371,0,4.287,1.639,3.296,7.282,17.223,0.200
10,20,82.422,44.255,0,5.757,1.397,2.441,4.710,9.835,0.333
10,21,81.904,43.761,0,6.405,1.504,2.789,5.691,12.482,0.333
10,22,82.278,43.651,0,6.731,1.410,2.502,4.934,10.580,0.250
10,23,82.523,43.616,0,5.170,1.515,2.834,5.839,12.937,0.200
10,24,82.502,44.101,0,7.368,1.497,2.773,5.680,12.574,0.250
10,25,83.093,44.556,0,5.592,1.549,2.987,6.379,14.699,0.250
10,26,83.376,44.433,0,4.343,1.544,2.953,6.233,14.157,0.167
10,27,83.250,44.330,0,5.110,1.546,2.931,6.117,13.729,0.250
10,28,82.788,45.121,0,5.427,1.404,2.492,4.917,10.555,0.250
11,7,153.842,115.699,0,3.425,1.306,2.189,4.097,8.417,0.167
11,8,153.531,115.850,0,3.106,1.488,2.719,5.467,11.819,0.167
12,10,152.809,114.720,0,4.578,1.432,2.541,4.983,10.578,0.167
12,11,152.170,114.667,0,2.251,1.367,2.377,4.623,9.855,0.180
12,12,151.966,115.207,0,3.964,1.433,2.601,5.267,11.635,0.250
12,13,152.141,114.239,0,3.523,1.413,2.521,4.992,10.725,0.200
12,14,152.027,114.704,0,3.773,1.578,3.091,6.698,15.630,0.250
12,15,152.020,115.891,0,4.308,1.386,2.456,4.867,10.549,0.333
12,16,152.284,115.827,0,4.188,1.382,2.372,4.477,9.100,0.250
13,17,69.647,41.371,0,3.868,1.505,2.778,5.638,12.304,0.250
13,18,69.202,41.545,0,2.923,1.588,3.160,6.966,16.552,0.328
14,19,92.458,126.444,0,2.405,1.395,2.523,5.169,11.691,0.203
14,20,86.747,121.549,0,3.321,1.393,2.425,4.661,9.678,0.333
15,20,69.881,41.682,0,3.920,1.456,2.657,5.400,11.942,0.333
15,21,70.577,41.665,0,4.759,1.516,2.825,5.809,12.872,0.333
15,22,69.851,41.372,0,3.912,1.342,2.260,4.187,8.359,0.250
15,23,69.570,39.429,0,4.482,1.590,3.072,6.484,14.604,0.200
16,22,155.616,119.596,0,3.999,1.464,2.669,5.389,11.804,0.250
16,23,155.524,119.748,0,2.828,1.395,2.412,4.598,9.465,0.223
16,24,155.564,120.625,0,2.408,1.369,2.387,4.610,9.638,0.306
17,22,91.457,121.406,0,3.412,1.457,2.617,5.211,11.252,0.250
17,23,92.341,122.773,0,2.620,1.380,2.426,4.766,10.246,0.232
18,23,176.160,84.979,0,2.375,1.377,2.468,4.987,11.075,0.209
18,24,176.438,85.356,0,2.516,1.326,2.251,4.256,8.793,0.346
18,25,177.299,84.611,0,2.633,1.488,2.816,5.960,13.728,0.250
18,26,176.914,86.223,0,3.253,1.397,2.479,4.882,10.432,0.325
19,24,69.682,102.795,0,2.706,1.351,2.257,4.130,8.110,0.293
19,25,74.845,98.338,0,2.042,1.262,2.109,4.023,8.611,0.250
20,25,70.042,40.470,0,3.889,1.526,2.932,6.260,14.437,0.250
20,26,70.726,40.051,0,4.087,1.442,2.596,5.180,11.205,0.167
21,26,90.851,120.950,0,3.209,1.383,2.464,4.942,10.892,0.324
21,27,90.749,121.627,0,2.559,1.396,2.495,5.011,11.036,0.250
22,26,156.595,120.518,0,3.177,1.472,2.712,5.540,12.255,0.182
22,27,154.838,120.716,0,2.957,1.312,2.216,4.196,8.742,0.250
22,28,153.571,119.985,0,3.054,1.427,2.572,5.164,11.301,0.250
22,29,153.748,119.242,0,4.816,1.572,3.065,6.622,15.435,0.334
22,30,154.237,120.508,0,2.788,1.451,2.669,5.476,12.218,0.167
22,31,153.788,122.075,0,4.453,1.439,2.593,5.160,11.086,0.167
22,32,153.454,122.500,0,3.607,1.461,2.687,5.533,12.436,0.142
23,28,70.452,39.867,0,4.014,1.342,2.304,4.450,9.472,0.250
23,29,72.043,40.562,0,4.692,1.472,2.706,5.494,12.030,0.334
23,30,71.695,40.917,0,3.436,1.493,2.812,5.880,13.300,0.177
24,30,93.794,117.985,0,3.373,1.431,2.585,5.161,11.126,0.177
24,31,92.814,117.643,0,3.141,1.328,2.246,4.249,8.817,0.177
24,32,93.662,117.109,0,3.407,1.458,2.680,5.480,12.162,0.146
24,33,93.610,116.589,0,2.774,1.394,2.430,4.711,9.959,0.127
25,31,21.639,77.710,0,3.893,1.457,2.668,5.411,11.868,0.183
25,32,23.494,77.730,0,2.505,1.328,2.257,4.259,8.733,0.135
26,31,178.082,84.736,0,4.069,1.411,2.544,5.133,11.304,0.183
26,32,178.827,85.820,0,3.321,1.527,2.927,6.266,14.578,0.129
26,33,178.810,85.276,0,2.912,1.545,2.989,6.415,14.869,0.128
26,34,178.702,85.712,0,2.937,1.455,2.641,5.285,11.403,0.267
26,35,179.550,86.342,0,2.682,1.281,2.083,3.735,7.250,0.126
26,36,179.908,85.539,0,3.569,1.610,3.211,7.036,16.518,0.200
27,31,73.482,109.170,0,2.407,1.261,2.084,3.898,8.120,0.167
27,32,72.326,109.693,0,2.981,1.421,2.552,5.129,11.277,0.194
27,33,72.552,109.706,0,3.407,1.426,2.559,5.106,11.088,0.228
27,34,72.896,110.208,0,3.830,1.414,2.494,4.848,10.171,0.167
27,35,73.276,111.304,0,4.047,1.572,3.108,6.841,16.278,0.125
27,36,73.087,110.198,0,3.148,1.252,2.001,3.539,6.807,0.200
27,37,73.293,103.335,0,2.811,1.349,2.268,4.188,8.327,0.200
27,38,73.907,110.387,0,3.151,1.321,2.203,4.097,8.348,0.143
27,39,74.291,109.772,0,3.595,1.407,2.508,5.002,10.919,0.201
27,40,72.335,110.255,0,3.379,1.444,2.571,5.053,10.719,0.168
28,32,57.417,99.416,0,2.338,1.346,2.407,4.887,10.958,0.135
28,33,50.490,99.897,0,2.116,1.389,2.568,5.395,12.494,0.125
29,33,81.811,42.633,0,3.458,1.436,2.593,5.225,11.495,0.228
29,34,82.448,43.933,0,3.630,1.489,2.792,5.812,13.102,0.167
29,35,81.975,43.245,0,4.074,1.406,2.512,5.014,10.922,0.125
29,36,82.594,42.764,0,3.857,1.425,2.534,4.991,10.665,0.349
29,37,83.343,42.496,0,3.444,1.572,3.067,6.623,15.420,0.143
30,35,25.279,77.926,0,2.269,1.286,2.192,4.243,9.109,0.125
30,36,24.035,79.426,0,3.067,1.495,2.839,6.011,13.800,0.200
31,36,75.091,41.211,0,3.857,1.450,2.611,5.178,11.061,0.349
31,37,74.228,41.074,0,3.309,1.404,2.517,5.045,11.057,0.160
31,38,74.751,39.177,0,2.825,1.424,2.580,5.256,11.741,0.362
32,37,182.834,100.832,0,3.271,1.368,2.311,4.278,8.500,0.159
32,38,181.264,100.481,0,2.526,1.387,2.411,4.633,9.660,0.154
32,39,180.419,100.456,0,3.920,1.536,2.906,6.058,13.595,0.200
32,40,179.926,100.197,0,3.128,1.522,2.906,6.161,14.120,0.194
32,41,180.153,100.490,0,3.259,1.389,2.470,4.933,10.823,0.174
32,42,180.229,101.563,0,4.253,1.476,2.728,5.605,12.503,0.200
33,37,96.822,113.621,0,2.812,1.290,2.133,3.932,7.933,0.200
33,38,96.968,113.690,0,2.822,1.397,2.514,5.066,11.156,0.318
34,40,75.452,40.806,0,2.739,1.313,2.177,4.003,8.019,0.168
34,41,74.595,42.161,0,3.550,1.438,2.571,5.069,10.776,0.213
35,40,97.497,113.293,0,3.105,1.476,2.717,5.540,12.221,0.195
35,41,97.904,113.417,0,3.424,1.457,2.672,5.475,12.232,0.217
36,41,82.946,42.681,0,3.818,1.594,3.176,7.013,16.683,0.167
36,42,82.554,42.673,0,4.086,1.386,2.387,4.529,9.275,0.200
37,41,60.604,51.037,0,4.210,1.541,2.984,6.437,15.061,0.167
37,42,61.215,50.857,0,3.175,1.446,2.693,5.626,12.813,0.200
37,43,67.822,50.029,0,1.959,1.304,2.272,4.481,9.770,0.125
37,44,60.449,49.527,0,4.637,1.657,3.326,7.318,17.223,0.200
38,42,71.477,109.914,0,3.455,1.344,2.252,4.136,8.154,0.200
38,43,72.069,109.576,0,2.713,1.455,2.635,5.255,11.274,0.127
39,43,179.458,85.803,0,2.760,1.343,2.268,4.216,8.452,0.125
39,44,178.486,84.781,0,2.755,1.450,2.644,5.366,11.839,0.340
40,43,96.642,113.200,0,3.090,1.492,2.755,5.648,12.552,0.220
40,44,95.635,114.007,0,2.759,1.418,2.550,5.132,11.296,0.384
40,45,96.185,113.460,0,4.445,1.328,2.201,4.028,7.983,0.250
41,44,77.412,41.844,0,3.873,1.519,2.864,5.987,13.526,0.200
41,45,76.203,42.445,0,2.302,1.311,2.253,4.372,9.378,0.297
41,46,75.717,42.362,0,2.771,1.229,1.958,3.541,7.199,0.111
41,47,75.159,41.606,0,3.868,1.407,2.529,5.071,11.069,0.262
42,46,83.228,42.041,0,3.948,1.595,3.110,6.686,15.456,0.111
42,47,82.746,43.449,0,4.465,1.513,2.851,5.962,13.502,0.250
42,48,82.698,43.418,0,2.572,1.488,2.804,5.855,13.197,0.125
42,49,82.688,43.330,0,3.143,1.406,2.464,4.783,10.066,0.343
42,50,76.846,40.564,0,2.850,1.481,2.817,6.011,13.976,0.177
43,46,180.552,98.356,0,2.669,1.369,2.356,4.459,9.093,0.111
43,47,180.361,99.051,0,3.714,1.357,2.337,4.480,9.365,0.262
43,48,180.112,98.981,0,2.331,1.329,2.278,4.413,9.474,0.244
44,48,61.333,49.529,0,3.322,1.557,2.982,6.293,14.277,0.125
44,49,61.507,49.078,0,3.788,1.352,2.314,4.407,9.166,0.200
44,50,61.601,49.890,0,3.066,1.461,2.722,5.625,12.569,0.177
45,48,52.545,104.383,0,2.370,1.345,2.312,4.481,9.602,0.238
45,49,51.809,105.054,0,3.062,1.394,2.468,4.880,10.520,0.343
46,51,83.825,45.253,0,4.302,1.495,2.768,5.662,12.507,0.200
46,52,78.326,40.586,0,3.262,1.502,2.846,6.034,13.938,0.253
46,53,77.308,41.831,0,2.353,1.218,1.923,3.434,6.874,0.174
47,51,50.688,104.586,0,2.871,1.394,2.458,4.831,10.364,0.200
47,52,51.042,104.908,0,3.828,1.468,2.737,5.705,12.950,0.251
47,53,50.844,103.366,0,3.081,1.443,2.633,5.364,11.902,0.167
47,54,52.718,103.346,0,4.253,1.459,2.617,5.147,10.860,0.167
47,55,53.553,102.903,0,3.019,1.550,2.956,6.219,14.091,0.139
