 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,21.628,54.672,0,3.803,1.472,2.707,5.533,12.285,0.171
2,1,1,21.589,54.824,0,3.897,1.412,2.497,4.897,10.435,0.195
3,2,0,44.248,63.286,0,7.097,1.605,3.163,6.865,15.999,0.167
4,2,1,43.681,62.562,0,5.555,1.655,3.342,7.415,17.613,0.125
5,2,2,44.504,62.749,0,6.234,1.569,3.047,6.558,15.235,0.200
6,2,3,44.610,63.205,0,5.948,1.622,3.221,7.038,16.499,0.145
7,2,4,44.564,62.867,0,5.668,1.589,3.135,6.863,16.218,0.183
8,2,5,44.584,63.671,0,6.241,1.626,3.238,7.097,16.699,0.143
9,2,6,44.316,63.702,0,7.070,1.613,3.174,6.879,16.009,0.167
10,2,7,45.429,63.535,0,5.830,1.662,3.351,7.406,17.491,0.125
11,3,0,75.610,92.545,0,3.586,1.386,2.402,4.599,9.550,0.167
12,3,1,75.203,93.233,0,3.559,1.283,2.073,3.682,7.066,0.125
13,3,2,75.377,93.394,0,4.629,1.310,2.163,3.950,7.843,0.200
14,3,3,75.474,92.470,0,4.807,1.370,2.354,4.464,9.164,0.143
15,3,4,75.986,92.180,0,4.043,1.421,2.543,5.058,10.925,0.125
16,3,5,75.737,92.494,0,4.674,1.395,2.422,4.630,9.541,0.143
17,3,6,76.108,92.887,0,4.193,1.404,2.467,4.788,10.032,0.176
18,3,7,75.743,93.517,0,4.114,1.268,2.020,3.519,6.581,0.125
19,3,8,75.116,93.414,0,4.362,1.285,2.085,3.730,7.231,0.143
20,3,9,75.132,93.183,0,4.636,1.323,2.215,4.111,8.303,0.167
21,3,10,75.712,93.110,0,4.533,1.265,2.010,3.493,6.518,0.111
22,3,11,75.560,93.105,0,4.847,1.306,2.147,3.898,7.687,0.125
23,3,12,75.714,93.485,0,3.866,1.244,1.945,3.325,6.114,0.143
24,3,13,75.542,93.166,0,4.268,1.331,2.198,3.972,7.703,0.125
25,3,14,75.390,93.182,0,3.577,1.278,2.047,3.587,6.743,0.143
26,3,15,75.332,93.052,0,2.710,1.313,2.187,4.044,8.149,0.167
27,3,16,75.311,93.041,0,2.949,1.343,2.305,4.440,9.409,0.143
28,3,17,75.482,93.036,0,3.219,1.357,2.325,4.430,9.201,0.111
29,4,0,56.142,112.510,0,4.937,1.613,3.199,7.007,16.515,0.167
30,4,1,53.815,112.315,0,3.619,1.473,2.744,5.730,13.069,0.127
31,5,0,47.493,118.995,0,7.346,1.545,2.944,6.192,14.033,0.167
32,5,1,47.516,119.263,0,6.283,1.599,3.123,6.705,15.440,0.125
33,5,2,47.221,119.185,0,6.556,1.488,2.737,5.556,12.162,0.200
34,5,3,47.658,119.385,0,5.824,1.555,2.954,6.172,13.859,0.145
35,5,4,47.554,119.282,0,5.633,1.565,3.016,6.426,14.766,0.183
36,6,1,22.210,78.580,0,4.020,1.557,2.993,6.337,14.407,0.125
37,6,2,22.313,78.548,0,3.967,1.545,2.970,6.329,14.558,0.200
38,6,3,22.479,79.660,0,4.123,1.596,3.116,6.689,15.377,0.143
39,7,3,82.064,35.524,0,3.679,1.490,2.783,5.790,13.079,0.143
40,7,4,82.096,35.090,0,3.427,1.454,2.680,5.517,12.366,0.217
41,7,5,81.669,35.304,0,4.742,1.503,2.811,5.812,12.971,0.144
42,7,6,81.199,34.561,0,3.960,1.420,2.529,4.997,10.705,0.176
43,8,4,73.451,9.731,0,4.734,1.539,2.970,6.398,14.965,0.125
44,8,5,73.239,12.083,0,4.064,1.461,2.698,5.582,12.626,0.161
45,8,6,74.380,9.789,0,4.947,1.632,3.268,7.223,17.159,0.168
46,8,7,74.456,11.347,0,4.711,1.620,3.203,6.977,16.327,0.125
47,8,8,74.652,9.613,0,5.177,1.541,2.948,6.250,14.318,0.143
48,8,9,74.615,10.347,0,5.287,1.658,3.336,7.368,17.422,0.167
