 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,57.544,30.780,0,4.063,1.322,2.219,4.143,8.462,0.127
2,1,1,57.710,30.183,0,2.883,1.395,2.460,4.831,10.333,0.194
3,1,2,57.537,29.428,0,2.562,1.239,1.993,3.614,7.302,0.087
4,1,3,57.797,28.854,0,2.848,1.265,2.035,3.586,6.796,0.126
5,1,4,57.549,28.941,0,3.468,1.289,2.105,3.806,7.498,0.125
6,1,5,58.243,28.501,0,3.389,1.281,2.061,3.640,6.928,0.130
7,1,6,58.033,29.137,0,3.589,1.367,2.366,4.553,9.541,0.093
8,1,7,57.978,29.515,0,2.350,1.311,2.209,4.168,8.640,0.119
9,2,0,44.780,37.849,0,2.862,1.439,2.602,5.228,11.416,0.140
10,2,1,45.232,37.890,0,3.701,1.426,2.525,4.937,10.426,0.100
11,2,2,45.166,37.535,0,3.513,1.401,2.451,4.745,9.959,0.083
12,2,3,46.355,37.051,0,2.819,1.382,2.404,4.642,9.736,0.221
13,2,4,46.151,37.522,0,2.971,1.382,2.398,4.613,9.650,0.126
14,3,0,18.371,44.748,0,3.366,1.463,2.654,5.308,11.444,0.137
15,3,1,18.390,44.713,0,4.436,1.437,2.570,5.074,10.821,0.100
16,3,2,17.695,44.388,0,4.919,1.435,2.561,5.054,10.803,0.083
17,3,3,17.569,44.758,0,4.736,1.561,3.012,6.440,14.875,0.077
18,4,0,81.957,48.659,0,3.905,1.339,2.255,4.198,8.488,0.127
19,4,1,82.067,48.506,0,3.237,1.287,2.095,3.759,7.307,0.149
20,4,2,82.018,48.623,0,3.088,1.325,2.219,4.101,8.207,0.092
21,5,1,52.870,29.774,0,2.257,1.270,2.100,3.931,8.207,0.143
22,5,2,52.435,29.734,0,2.678,1.311,2.212,4.207,8.856,0.106
23,5,3,51.847,30.359,0,2.753,1.273,2.044,3.608,6.873,0.126
24,6,1,40.276,62.044,0,2.910,1.359,2.363,4.580,9.685,0.247
25,6,2,40.245,62.437,0,3.881,1.495,2.796,5.808,13.072,0.083
26,6,3,39.734,62.580,0,3.863,1.571,3.028,6.418,14.599,0.126
27,6,4,40.207,62.285,0,3.848,1.463,2.684,5.469,12.081,0.138
28,6,5,40.018,62.413,0,3.718,1.563,3.019,6.425,14.682,0.101
29,7,1,90.306,81.415,0,3.356,1.277,2.086,3.791,7.540,0.149
30,7,2,89.307,80.055,0,3.512,1.536,2.938,6.226,14.240,0.083
31,7,3,89.119,79.288,0,4.020,1.542,2.959,6.316,14.600,0.102
32,7,4,89.324,79.060,0,3.443,1.530,2.893,6.028,13.492,0.165
33,7,5,89.126,78.691,0,3.689,1.462,2.682,5.483,12.201,0.110
34,7,6,89.282,78.509,0,3.542,1.583,3.085,6.642,15.387,0.144
35,8,1,14.813,84.757,0,2.373,1.266,2.041,3.654,7.152,0.143
36,8,2,14.261,84.967,0,2.906,1.371,2.368,4.524,9.351,0.213
37,9,2,85.695,36.747,0,3.055,1.419,2.512,4.925,10.471,0.188
38,9,3,86.159,36.578,0,3.295,1.477,2.707,5.481,11.990,0.093
39,10,2,31.623,73.414,0,2.914,1.407,2.459,4.717,9.711,0.216
40,10,3,30.643,73.529,0,3.135,1.452,2.634,5.301,11.565,0.094
41,11,2,96.740,74.121,0,2.818,1.362,2.326,4.386,8.942,0.176
42,11,3,97.409,74.596,0,2.666,1.370,2.424,4.839,10.638,0.203
43,12,2,61.731,77.477,0,3.015,1.433,2.568,5.083,10.878,0.184
44,12,3,61.591,77.441,0,2.808,1.377,2.392,4.604,9.612,0.226
45,12,4,62.373,77.532,0,3.295,1.398,2.445,4.726,9.891,0.126
46,12,5,62.459,77.549,0,3.224,1.336,2.239,4.135,8.247,0.106
47,12,6,61.837,77.677,0,3.407,1.469,2.689,5.454,11.973,0.092
48,12,7,62.260,77.397,0,3.774,1.453,2.600,5.095,10.693,0.091
49,12,8,61.585,77.720,0,3.858,1.382,2.412,4.669,9.812,0.083
50,12,9,61.241,77.313,0,3.781,1.439,2.566,5.041,10.678,0.131
51,12,10,60.939,77.201,0,3.562,1.403,2.481,4.872,10.387,0.077
52,12,11,60.902,77.522,0,3.342,1.401,2.476,4.871,10.443,0.217
53,13,3,20.749,75.490,0,3.912,1.604,3.151,6.802,15.731,0.115
54,13,4,20.568,74.718,0,3.542,1.563,3.007,6.381,14.568,0.165
55,13,5,20.629,74.401,0,4.025,1.564,3.030,6.499,15.030,0.115
56,13,6,20.299,73.783,0,3.063,1.500,2.809,5.834,13.102,0.091
57,14,4,101.855,37.856,0,4.048,1.489,2.759,5.660,12.556,0.138
58,14,5,101.543,38.312,0,4.966,1.457,2.634,5.257,11.342,0.100
59,14,6,101.560,37.752,0,4.337,1.398,2.457,4.802,10.221,0.091
60,14,7,101.260,37.842,0,4.426,1.451,2.604,5.144,10.941,0.091
61,14,8,101.503,37.737,0,4.119,1.579,3.061,6.544,15.044,0.083
62,14,9,101.744,37.762,0,4.193,1.461,2.652,5.317,11.499,0.111
63,14,10,101.897,38.222,0,3.736,1.486,2.750,5.623,12.414,0.079
64,15,4,80.299,48.599,0,2.468,1.260,1.991,3.439,6.384,0.125
65,15,5,80.841,48.820,0,3.524,1.308,2.158,3.922,7.706,0.126
66,15,6,80.871,49.343,0,3.119,1.357,2.301,4.292,8.632,0.092
67,15,7,80.634,48.979,0,3.428,1.344,2.266,4.214,8.480,0.091
68,15,8,80.686,48.711,0,2.852,1.378,2.386,4.578,9.535,0.218
69,15,9,80.870,48.606,0,2.797,1.326,2.230,4.191,8.647,0.296
70,15,10,80.334,47.384,0,2.452,1.333,2.247,4.187,8.462,0.109
71,15,11,80.121,47.481,0,3.449,1.378,2.395,4.612,9.643,0.214
72,15,12,80.267,46.952,0,3.529,1.401,2.466,4.817,10.216,0.176
73,15,13,79.835,46.506,0,3.103,1.378,2.352,4.392,8.790,0.139
74,15,14,80.408,46.293,0,2.913,1.300,2.125,3.813,7.378,0.166
75,15,15,80.401,46.088,0,3.706,1.395,2.433,4.689,9.780,0.100
76,15,16,79.655,46.729,0,3.275,1.400,2.454,4.763,10.014,0.191
77,15,17,79.645,46.512,0,4.151,1.348,2.250,4.090,7.932,0.155
78,15,18,79.567,46.646,0,3.391,1.334,2.226,4.094,8.144,0.096
