 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,171.638,20.413,0,2.785,1.426,2.560,5.114,11.114,0.043
2,1,1,172.215,19.671,0,3.359,1.456,2.623,5.200,11.097,0.047
3,1,2,172.848,19.603,0,3.029,1.499,2.800,5.798,12.986,0.027
4,2,0,178.752,46.656,0,3.043,1.394,2.412,4.586,9.387,0.025
5,2,1,178.537,46.344,0,2.915,1.297,2.120,3.826,7.495,0.019
6,2,2,178.433,46.233,0,2.764,1.393,2.396,4.507,9.077,0.031
7,2,3,178.546,46.245,0,2.519,1.388,2.390,4.519,9.186,0.053
8,3,0,203.265,46.870,0,2.161,1.348,2.289,4.290,8.701,0.143
9,3,1,202.430,47.754,0,2.552,1.396,2.435,4.691,9.788,0.080
10,4,0,239.499,49.902,0,1.964,1.297,2.110,3.775,7.296,0.090
11,4,1,238.735,49.989,0,2.285,1.341,2.256,4.178,8.350,0.121
12,4,2,237.759,50.617,0,2.156,1.304,2.141,3.872,7.578,0.095
13,5,0,157.420,52.271,0,2.659,1.475,2.773,5.855,13.518,0.048
14,5,1,157.456,53.510,0,1.914,1.178,1.776,2.958,5.407,0.020
15,5,2,156.878,53.326,0,2.239,1.330,2.237,4.167,8.444,0.117
16,6,0,113.992,60.021,0,2.497,1.481,2.765,5.736,12.867,0.051
17,6,1,114.016,60.371,0,2.899,1.470,2.687,5.430,11.843,0.021
18,6,2,114.666,61.470,0,3.059,1.672,3.369,7.414,17.388,0.017
19,7,0,242.650,73.783,0,2.758,1.370,2.338,4.387,8.862,0.031
20,7,1,243.777,74.001,0,2.524,1.450,2.625,5.259,11.407,0.056
21,7,2,244.114,74.800,0,2.255,1.381,2.407,4.652,9.768,0.095
22,7,3,242.685,75.191,0,1.868,1.374,2.405,4.706,10.071,0.056
23,8,0,97.928,95.202,0,2.745,1.451,2.633,5.285,11.457,0.056
24,8,1,97.923,95.565,0,2.639,1.504,2.815,5.837,13.078,0.023
25,8,2,98.676,94.538,0,2.462,1.435,2.587,5.198,11.373,0.073
26,8,3,98.433,94.051,0,2.475,1.499,2.807,5.828,13.084,0.040
27,8,4,98.260,94.591,0,2.948,1.512,2.869,6.045,13.780,0.033
28,9,0,109.160,100.732,0,2.432,1.448,2.643,5.348,11.709,0.055
29,9,1,108.683,99.960,0,2.966,1.418,2.510,4.896,10.299,0.023
30,9,2,108.735,99.329,0,3.074,1.376,2.352,4.422,8.964,0.023
31,9,3,109.030,99.068,0,3.072,1.361,2.352,4.525,9.483,0.029
32,9,4,108.172,99.266,0,2.592,1.382,2.401,4.628,9.702,0.059
33,9,5,109.186,99.572,0,2.569,1.367,2.322,4.325,8.651,0.076
34,9,6,109.623,99.174,0,2.321,1.335,2.231,4.117,8.234,0.095
35,9,7,109.428,98.874,0,2.498,1.420,2.523,4.968,10.613,0.089
36,9,8,109.954,98.866,0,2.465,1.400,2.460,4.775,10.016,0.067
37,9,9,110.459,98.201,0,2.757,1.434,2.572,5.113,11.022,0.052
38,9,10,110.668,97.742,0,3.461,1.360,2.318,4.360,8.879,0.020
39,9,11,110.523,98.244,0,2.437,1.345,2.242,4.078,7.927,0.087
40,9,12,110.602,98.340,0,2.478,1.292,2.100,3.743,7.188,0.044
41,9,13,110.371,98.427,0,3.175,1.296,2.097,3.708,7.035,0.026
42,9,14,110.495,97.706,0,2.586,1.429,2.552,5.042,10.784,0.049
43,10,0,246.768,105.120,0,2.044,1.277,2.063,3.682,7.128,0.097
44,10,1,246.273,104.831,0,2.003,1.296,2.166,4.057,8.362,0.099
45,10,2,247.307,104.249,0,1.587,1.187,1.809,3.042,5.587,0.018
46,11,0,98.541,107.405,0,2.253,1.443,2.675,5.609,12.939,0.034
47,11,1,98.655,106.196,0,2.683,1.583,3.108,6.783,16.018,0.018
48,11,2,98.661,105.576,0,2.974,1.467,2.683,5.459,12.087,0.035
49,12,0,125.773,109.601,0,2.397,1.436,2.576,5.132,11.105,0.053
50,12,1,126.321,109.524,0,2.587,1.451,2.608,5.176,11.103,0.068
51,12,2,127.603,109.411,0,2.546,1.410,2.521,5.022,10.912,0.097
52,12,3,127.712,110.188,0,2.723,1.488,2.757,5.652,12.529,0.020
53,12,4,127.961,110.325,0,2.553,1.438,2.573,5.081,10.829,0.052
54,12,5,128.257,110.520,0,2.855,1.448,2.602,5.162,11.078,0.036
55,12,6,127.912,110.748,0,2.664,1.547,2.955,6.251,14.288,0.019
56,12,7,127.882,110.847,0,2.504,1.435,2.578,5.134,11.085,0.078
57,13,0,246.140,121.490,0,3.217,1.361,2.338,4.449,9.195,0.035
58,13,1,245.841,121.157,0,2.924,1.558,3.025,6.546,15.366,0.023
59,13,2,245.576,121.020,0,3.537,1.458,2.684,5.503,12.268,0.017
60,13,3,245.830,121.963,0,2.085,1.458,2.701,5.584,12.561,0.062
61,13,4,246.208,121.426,0,2.983,1.466,2.691,5.500,12.209,0.051
62,13,5,245.420,119.947,0,2.997,1.605,3.216,7.131,17.021,0.023
63,13,6,246.350,122.062,0,2.714,1.478,2.715,5.517,12.116,0.028
64,13,7,246.417,121.650,0,2.762,1.444,2.612,5.221,11.272,0.054
65,13,8,246.343,121.393,0,3.807,1.365,2.352,4.499,9.367,0.022
66,13,9,246.548,121.341,0,3.054,1.341,2.243,4.113,8.111,0.029
67,13,10,246.067,121.668,0,3.210,1.448,2.619,5.235,11.314,0.021
68,13,11,246.545,121.447,0,2.678,1.490,2.739,5.553,12.130,0.048
69,13,12,246.645,121.072,0,2.697,1.457,2.653,5.335,11.571,0.056
70,13,13,246.461,120.653,0,3.343,1.304,2.143,3.880,7.605,0.026
71,13,14,246.188,120.819,0,2.914,1.396,2.430,4.650,9.576,0.037
72,13,15,246.074,120.869,0,3.008,1.430,2.575,5.150,11.183,0.031
73,13,16,246.232,120.406,0,3.612,1.457,2.631,5.257,11.371,0.032
74,13,17,246.238,120.510,0,2.522,1.458,2.660,5.378,11.775,0.023
75,13,18,245.772,121.112,0,2.537,1.312,2.193,4.101,8.442,0.054
76,13,19,246.000,121.076,0,2.606,1.442,2.634,5.369,11.912,0.047
77,13,20,246.210,121.102,0,2.317,1.334,2.256,4.214,8.529,0.093
78,13,21,246.387,120.996,0,2.327,1.336,2.231,4.091,8.069,0.162
79,13,22,245.958,121.381,0,2.368,1.335,2.272,4.325,9.033,0.086
