 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,102.820,1.073,0,2.108,1.098,1.664,2.785,5.050,0.046
2,1,1,103.238,1.127,0,1.897,1.069,1.428,2.057,3.207,0.043
3,1,2,103.695,0.913,0,1.692,1.011,1.436,2.247,3.831,0.040
4,2,0,55.387,3.156,0,3.174,1.318,2.216,4.175,8.659,0.100
5,2,1,55.608,3.040,0,2.503,1.253,2.010,3.589,7.035,0.130
6,3,0,127.482,24.274,0,2.628,1.331,2.219,4.088,8.166,0.240
7,3,1,127.273,24.140,0,2.462,1.280,2.060,3.628,6.852,0.136
8,4,0,57.231,42.204,0,3.020,1.249,1.985,3.485,6.657,0.054
9,4,1,58.435,41.293,0,3.994,1.416,2.543,5.121,11.297,0.043
10,4,2,58.808,41.911,0,2.942,1.361,2.405,4.810,10.644,0.108
11,4,3,59.643,42.708,0,2.744,1.251,1.970,3.399,6.320,0.067
12,5,0,110.091,48.533,0,3.655,1.470,2.700,5.506,12.168,0.047
13,5,1,110.743,48.049,0,3.287,1.337,2.262,4.256,8.742,0.063
14,5,2,110.642,47.100,0,3.610,1.368,2.345,4.441,9.110,0.040
15,5,3,111.298,46.707,0,3.775,1.366,2.319,4.317,8.644,0.081
16,5,4,111.005,46.764,0,3.040,1.437,2.573,5.103,10.964,0.050
17,5,5,110.443,46.826,0,3.814,1.349,2.280,4.246,8.546,0.048
18,5,6,110.442,47.767,0,4.195,1.382,2.382,4.526,9.291,0.045
19,5,7,110.452,48.320,0,4.275,1.345,2.250,4.115,8.066,0.048
20,5,8,110.023,47.784,0,3.774,1.425,2.533,4.975,10.569,0.075
21,6,0,55.777,49.244,0,3.361,1.533,2.880,5.943,13.162,0.059
22,6,1,55.757,49.157,0,4.667,1.554,2.978,6.287,14.260,0.045
23,6,2,55.816,48.700,0,3.673,1.575,3.032,6.406,14.498,0.040
24,6,3,55.438,48.976,0,3.636,1.522,2.883,6.055,13.750,0.050
25,7,0,34.628,50.961,0,3.246,1.561,3.019,6.457,14.870,0.054
26,7,1,34.437,50.322,0,3.441,1.520,2.856,5.921,13.216,0.086
27,8,0,57.317,56.237,0,2.747,1.296,2.095,3.699,6.994,0.180
28,8,1,58.304,56.188,0,2.458,1.276,2.051,3.610,6.824,0.138
29,8,2,57.817,56.776,0,2.386,1.304,2.168,4.009,8.110,0.133
30,9,0,79.271,57.185,0,2.559,1.369,2.371,4.586,9.710,0.082
31,9,1,79.505,58.049,0,2.801,1.335,2.257,4.228,8.611,0.099
32,9,2,80.071,57.808,0,2.486,1.304,2.158,3.957,7.888,0.141
33,9,3,80.095,57.834,0,2.237,1.274,2.070,3.714,7.226,0.098
34,9,4,79.087,57.625,0,3.078,1.300,2.152,3.963,7.979,0.070
35,9,5,79.271,57.193,0,3.262,1.293,2.109,3.777,7.289,0.118
36,9,6,80.146,57.822,0,2.914,1.328,2.216,4.077,8.122,0.092
37,9,7,81.170,58.453,0,2.880,1.265,2.019,3.536,6.673,0.096
38,9,8,81.455,58.254,0,3.102,1.255,1.993,3.482,6.593,0.051
39,9,9,81.278,58.647,0,2.886,1.291,2.088,3.714,7.137,0.098
40,9,10,81.657,59.092,0,2.832,1.308,2.162,3.957,7.884,0.124
41,9,11,81.263,59.298,0,3.366,1.330,2.219,4.074,8.085,0.052
42,9,12,81.761,59.280,0,2.300,1.237,1.940,3.362,6.358,0.083
43,9,13,80.907,59.620,0,3.387,1.262,2.004,3.483,6.503,0.057
44,9,14,80.344,59.036,0,3.581,1.314,2.183,4.010,7.992,0.066
45,9,15,80.970,59.515,0,2.727,1.285,2.086,3.737,7.266,0.169
46,9,16,81.202,58.521,0,2.850,1.315,2.156,3.860,7.402,0.148
47,9,17,80.531,58.588,0,2.513,1.218,1.874,3.154,5.714,0.061
48,9,18,79.203,59.084,0,2.418,1.399,2.539,5.197,11.670,0.097
