 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,293.917,22.906,0,3.216,1.430,2.553,5.043,10.788,0.032
2,1,1,294.010,23.170,0,3.381,1.474,2.696,5.443,11.861,0.019
3,1,2,291.876,22.648,0,2.527,1.415,2.500,4.880,10.305,0.088
4,1,3,290.546,23.752,0,2.740,1.313,2.147,3.833,7.328,0.035
5,1,4,290.660,23.338,0,2.596,1.346,2.270,4.218,8.465,0.051
6,1,5,291.123,23.450,0,3.287,1.344,2.254,4.159,8.286,0.020
7,1,6,290.969,23.717,0,2.402,1.321,2.218,4.125,8.336,0.101
8,1,7,291.013,24.211,0,2.978,1.402,2.469,4.816,10.182,0.042
9,1,8,289.735,26.095,0,4.909,1.615,3.217,7.085,16.793,0.016
10,1,9,289.540,25.713,0,4.693,1.426,2.523,4.932,10.430,0.016
11,1,10,288.469,26.199,0,5.318,1.434,2.554,5.016,10.629,0.016
12,1,11,288.637,25.234,0,5.575,1.403,2.446,4.682,9.631,0.015
13,1,12,288.538,25.684,0,4.186,1.615,3.181,6.877,15.917,0.016
14,1,13,288.390,27.025,0,2.230,1.511,2.904,6.246,14.581,0.030
15,2,0,286.823,30.198,0,2.710,1.468,2.725,5.633,12.644,0.022
16,2,1,286.317,30.448,0,2.698,1.445,2.617,5.260,11.469,0.036
17,3,0,299.330,34.053,0,2.641,1.374,2.379,4.566,9.509,0.087
18,3,1,299.566,34.776,0,2.341,1.297,2.129,3.865,7.637,0.074
19,3,2,299.829,34.824,0,2.524,1.373,2.358,4.467,9.150,0.101
20,3,3,299.670,35.123,0,2.438,1.363,2.361,4.547,9.541,0.062
21,3,4,300.548,34.430,0,2.042,1.346,2.290,4.333,8.948,0.131
22,3,5,301.974,34.458,0,2.180,1.370,2.374,4.568,9.556,0.091
23,3,6,303.364,33.611,0,1.921,1.332,2.281,4.387,9.285,0.100
24,3,7,302.135,34.431,0,2.343,1.266,2.022,3.549,6.724,0.071
25,3,8,300.964,34.154,0,2.201,1.385,2.431,4.754,10.133,0.080
26,3,9,300.808,33.995,0,2.693,1.442,2.603,5.188,11.149,0.042
27,3,10,301.920,33.647,0,2.642,1.400,2.451,4.737,9.893,0.074
28,3,11,301.266,33.136,0,2.979,1.320,2.199,4.035,8.004,0.061
29,3,12,301.149,34.384,0,2.545,1.355,2.307,4.347,8.898,0.088
30,3,13,300.875,34.034,0,2.950,1.344,2.275,4.263,8.678,0.051
31,3,14,302.776,34.375,0,2.879,1.376,2.347,4.386,8.790,0.088
32,3,15,303.995,33.396,0,2.316,1.309,2.171,3.972,7.870,0.088
33,4,0,276.704,39.742,0,2.784,1.380,2.394,4.602,9.590,0.073
34,4,1,277.523,39.189,0,2.209,1.373,2.356,4.448,9.065,0.097
35,4,2,278.649,39.812,0,2.621,1.388,2.391,4.512,9.132,0.090
36,4,3,278.837,38.574,0,2.005,1.287,2.072,3.657,6.947,0.097
37,4,4,278.260,38.436,0,1.714,1.270,2.050,3.650,7.040,0.033
38,4,5,278.359,37.662,0,1.984,1.345,2.265,4.230,8.598,0.101
39,4,6,277.082,37.589,0,2.288,1.365,2.370,4.604,9.805,0.083
40,4,7,276.927,37.776,0,1.823,1.305,2.143,3.881,7.605,0.077
41,4,8,276.389,36.975,0,2.439,1.369,2.346,4.424,9.003,0.099
42,4,9,275.803,36.353,0,2.142,1.379,2.353,4.393,8.788,0.085
