 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,71.202,20.673,0,1.749,1.374,2.372,4.556,9.545,0.078
2,1,1,71.569,20.445,0,1.624,1.504,2.800,5.768,12.841,0.092
3,2,0,142.802,27.259,0,3.058,1.404,2.471,4.829,10.241,0.059
4,2,1,143.352,26.914,0,2.643,1.691,3.521,8.064,19.745,0.056
5,2,2,143.776,27.425,0,3.124,1.483,2.746,5.633,12.514,0.071
6,2,3,144.383,27.172,0,3.215,1.422,2.538,5.040,10.891,0.130
7,2,4,144.312,26.936,0,3.090,1.490,2.760,5.641,12.415,0.053
8,2,5,144.259,26.854,0,3.484,1.404,2.452,4.712,9.754,0.053
9,2,6,143.882,27.740,0,2.206,1.539,2.936,6.179,13.984,0.059
10,2,7,144.582,26.622,0,1.977,1.387,2.446,4.843,10.541,0.212
11,2,8,146.062,26.962,0,2.373,1.389,2.456,4.832,10.348,0.069
12,2,9,145.968,27.336,0,2.619,1.332,2.269,4.314,8.970,0.059
13,2,10,145.603,27.701,0,2.248,1.241,1.967,3.427,6.453,0.082
14,2,11,145.291,27.389,0,2.276,1.318,2.184,3.989,7.882,0.069
15,2,12,145.750,26.368,0,2.712,1.318,2.199,4.080,8.268,0.059
16,2,13,145.636,26.968,0,2.190,1.461,2.678,5.456,12.060,0.128
17,2,14,145.729,27.600,0,2.456,1.301,2.127,3.817,7.372,0.053
18,2,15,145.444,27.273,0,2.144,1.444,2.601,5.210,11.353,0.059
19,2,16,145.398,26.969,0,1.975,1.368,2.382,4.618,9.759,0.060
20,2,17,145.247,27.501,0,2.212,1.352,2.322,4.472,9.474,0.079
21,2,18,146.402,27.227,0,2.322,1.367,2.352,4.462,9.127,0.064
22,2,19,146.093,26.515,0,2.122,1.359,2.316,4.334,8.728,0.108
23,2,20,145.443,27.211,0,2.571,1.444,2.611,5.213,11.228,0.071
24,2,21,145.346,27.506,0,2.536,1.301,2.145,3.908,7.726,0.063
25,2,22,145.287,26.751,0,2.769,1.451,2.629,5.265,11.385,0.067
26,2,23,145.663,27.384,0,1.851,1.296,2.115,3.787,7.309,0.114
27,2,24,146.024,27.617,0,2.276,1.373,2.422,4.769,10.248,0.058
