 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,204.608,28.563,0,2.368,1.459,2.671,5.430,11.968,0.069
2,1,1,203.746,29.426,0,2.568,1.427,2.528,4.934,10.386,0.072
3,1,2,203.451,29.009,0,2.212,1.415,2.497,4.863,10.220,0.060
4,1,3,203.970,29.224,0,2.090,1.413,2.512,4.963,10.653,0.035
5,1,4,204.240,28.765,0,1.743,1.291,2.101,3.757,7.255,0.054
6,2,0,193.302,31.315,0,3.015,1.344,2.253,4.160,8.304,0.053
7,2,1,192.923,30.290,0,2.047,1.299,2.160,4.002,8.123,0.079
8,2,2,193.479,29.192,0,2.006,1.298,2.108,3.741,7.114,0.040
9,2,3,192.510,28.293,0,2.225,1.224,1.908,3.277,6.122,0.017
10,2,4,192.850,29.082,0,1.688,1.305,2.174,4.016,8.065,0.065
11,3,0,202.197,36.006,0,2.433,1.343,2.275,4.241,8.521,0.064
12,3,1,202.266,36.056,0,2.237,1.390,2.439,4.767,10.160,0.068
13,3,2,202.017,35.690,0,1.889,1.371,2.375,4.588,9.694,0.049
14,3,3,202.312,35.919,0,2.326,1.301,2.142,3.900,7.705,0.059
15,3,4,202.317,36.099,0,1.813,1.360,2.357,4.538,9.512,0.087
16,3,5,202.303,36.174,0,2.312,1.361,2.339,4.454,9.212,0.066
17,3,6,202.470,36.078,0,3.044,1.362,2.308,4.292,8.579,0.027
18,3,7,202.456,36.155,0,2.567,1.299,2.124,3.811,7.356,0.039
19,3,8,202.590,36.073,0,2.073,1.351,2.313,4.396,9.093,0.045
20,3,9,202.549,36.183,0,2.536,1.281,2.062,3.637,6.898,0.029
21,3,10,202.273,36.246,0,2.483,1.367,2.331,4.366,8.792,0.097
22,3,11,202.174,35.971,0,2.137,1.410,2.513,4.983,10.748,0.086
23,3,12,202.120,36.182,0,2.140,1.360,2.333,4.435,9.154,0.121
24,3,13,202.078,35.843,0,1.851,1.409,2.469,4.768,9.932,0.080
25,3,14,202.234,35.814,0,1.806,1.359,2.346,4.536,9.637,0.077
26,3,15,202.224,36.069,0,2.061,1.370,2.325,4.334,8.698,0.063
27,3,16,202.212,36.117,0,2.369,1.384,2.406,4.629,9.656,0.062
28,3,17,202.211,35.919,0,1.910,1.352,2.319,4.417,9.145,0.065
29,3,18,201.977,36.123,0,2.026,1.357,2.348,4.517,9.456,0.064
30,3,19,202.117,36.010,0,2.125,1.363,2.338,4.453,9.214,0.062
31,4,0,181.712,51.714,0,2.945,1.383,2.395,4.594,9.567,0.058
32,4,1,182.760,52.473,0,2.706,1.451,2.605,5.139,10.906,0.056
33,4,2,182.464,52.750,0,2.787,1.392,2.450,4.796,10.206,0.054
34,4,3,182.480,54.562,0,2.697,1.322,2.215,4.115,8.325,0.057
35,4,4,182.280,56.089,0,3.456,1.374,2.389,4.609,9.678,0.025
36,4,5,182.030,55.989,0,2.905,1.425,2.557,5.096,11.025,0.067
37,4,6,182.568,55.219,0,3.419,1.319,2.182,3.970,7.798,0.023
38,4,7,183.013,55.720,0,3.396,1.366,2.355,4.501,9.337,0.026
39,4,8,182.671,56.744,0,3.147,1.429,2.559,5.073,10.893,0.038
40,4,9,181.937,56.162,0,3.257,1.380,2.391,4.579,9.489,0.020
41,4,10,183.188,55.499,0,2.309,1.390,2.376,4.447,8.922,0.083
42,4,11,183.027,55.329,0,3.224,1.357,2.306,4.312,8.689,0.055
43,4,12,182.150,56.301,0,2.689,1.350,2.319,4.429,9.218,0.087
44,4,13,182.727,55.486,0,2.806,1.493,2.754,5.612,12.338,0.017
45,4,14,183.982,53.326,0,3.033,1.385,2.414,4.665,9.796,0.025
46,4,15,185.067,52.806,0,2.209,1.365,2.376,4.621,9.836,0.074
47,4,16,184.844,53.112,0,2.868,1.477,2.717,5.539,12.227,0.054
48,4,17,184.741,53.401,0,2.275,1.355,2.291,4.279,8.659,0.055
49,4,18,184.920,52.986,0,3.284,1.388,2.434,4.734,9.998,0.042
50,4,19,184.283,52.725,0,2.472,1.392,2.417,4.627,9.563,0.055
51,4,20,184.343,53.617,0,3.327,1.454,2.619,5.203,11.148,0.030
52,4,21,184.366,54.388,0,3.346,1.277,2.045,3.576,6.701,0.024
53,4,22,183.489,53.680,0,2.659,1.327,2.216,4.082,8.136,0.044
54,4,23,183.722,53.402,0,2.347,1.499,2.781,5.702,12.616,0.041
55,4,24,183.952,53.316,0,2.336,1.403,2.449,4.713,9.779,0.065
56,4,25,184.010,53.249,0,2.749,1.401,2.462,4.794,10.123,0.085
57,4,26,183.523,53.397,0,3.007,1.366,2.313,4.291,8.548,0.068
58,4,27,183.540,54.119,0,2.975,1.364,2.334,4.410,9.018,0.037
59,4,28,182.826,54.569,0,3.127,1.379,2.361,4.435,8.957,0.043
60,4,29,183.368,54.556,0,2.865,1.366,2.325,4.356,8.811,0.047
61,4,30,183.087,54.125,0,3.583,1.458,2.650,5.318,11.511,0.018
62,4,31,182.997,53.668,0,2.922,1.443,2.584,5.102,10.864,0.045
63,4,32,182.149,54.777,0,2.231,1.392,2.469,4.889,10.559,0.068
64,4,33,182.066,54.166,0,2.541,1.389,2.423,4.665,9.699,0.071
65,4,34,181.832,54.364,0,2.624,1.358,2.318,4.376,8.957,0.052
