 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,443.607,13.805,0,2.287,1.434,2.567,5.094,10.966,0.038
2,1,1,444.333,14.468,0,1.981,1.368,2.328,4.347,8.724,0.118
3,1,2,445.430,14.701,0,2.229,1.403,2.438,4.664,9.633,0.070
4,1,3,444.937,14.904,0,1.761,1.343,2.283,4.301,8.817,0.088
5,1,4,443.275,15.885,0,2.197,1.403,2.487,4.907,10.542,0.067
6,1,5,443.079,15.541,0,1.820,1.397,2.445,4.724,9.855,0.100
7,1,6,442.621,14.697,0,2.117,1.505,2.790,5.682,12.425,0.029
8,1,7,442.617,13.815,0,2.414,1.414,2.479,4.789,9.974,0.063
9,1,8,441.795,13.598,0,1.827,1.335,2.227,4.104,8.206,0.115
10,2,0,397.740,36.595,0,5.269,1.346,2.276,4.259,8.655,0.007
11,2,1,398.142,36.346,0,5.104,1.415,2.481,4.780,9.911,0.007
12,2,2,398.329,35.913,0,5.155,1.434,2.549,4.986,10.497,0.007
13,2,3,398.470,35.114,0,4.959,1.379,2.374,4.490,9.140,0.007
14,2,4,398.859,34.221,0,4.509,1.460,2.670,5.423,11.951,0.007
15,2,5,398.494,33.365,0,3.057,1.553,2.981,6.336,14.561,0.010
16,2,6,396.628,33.769,0,2.427,1.525,2.954,6.419,15.203,0.015
17,2,7,395.090,33.513,0,2.100,1.382,2.382,4.522,9.269,0.108
18,2,8,393.933,32.455,0,1.987,1.322,2.209,4.057,8.022,0.081
19,2,9,394.565,32.701,0,1.947,1.303,2.118,3.762,7.173,0.047
20,2,10,393.913,32.799,0,2.083,1.435,2.570,5.075,10.815,0.052
21,2,11,393.847,33.163,0,2.606,1.329,2.202,4.001,7.818,0.059
22,2,12,393.469,32.306,0,2.739,1.298,2.097,3.697,6.978,0.022
23,2,13,393.374,32.544,0,2.113,1.282,2.074,3.685,7.068,0.044
24,2,14,394.360,33.148,0,2.176,1.385,2.374,4.454,8.955,0.068
25,2,15,394.834,32.786,0,1.797,1.349,2.313,4.410,9.169,0.083
26,2,16,394.930,33.120,0,1.707,1.414,2.523,5.002,10.771,0.070
27,3,0,408.626,39.876,0,2.830,1.377,2.390,4.604,9.649,0.060
28,3,1,408.693,37.781,0,2.390,1.419,2.535,5.020,10.780,0.054
29,4,0,400.916,57.661,0,2.337,1.672,3.424,7.701,18.531,0.007
30,4,1,401.963,58.498,0,1.899,1.385,2.426,4.711,9.921,0.105
31,4,2,400.529,57.486,0,2.416,1.663,3.387,7.584,18.188,0.008
32,4,3,400.505,57.510,0,2.548,1.559,3.019,6.477,15.010,0.010
33,4,4,401.525,58.112,0,2.622,1.547,2.948,6.209,14.098,0.015
34,4,5,401.940,58.610,0,2.540,1.454,2.632,5.253,11.294,0.028
35,4,6,403.259,57.809,0,2.527,1.490,2.761,5.684,12.695,0.019
36,4,7,403.685,57.211,0,2.173,1.416,2.526,5.011,10.795,0.061
37,4,8,404.254,56.843,0,1.623,1.377,2.430,4.828,10.569,0.102
38,5,0,220.406,64.727,0,1.949,1.444,2.586,5.106,10.882,0.060
39,5,1,220.294,64.719,0,2.230,1.494,2.770,5.670,12.524,0.026
40,5,2,220.520,64.695,0,1.863,1.466,2.681,5.432,11.909,0.041
41,5,3,220.040,63.819,0,1.949,1.401,2.493,4.954,10.738,0.079
42,5,4,219.761,64.370,0,2.253,1.331,2.273,4.354,9.179,0.050
43,5,5,220.391,65.108,0,2.464,1.480,2.706,5.458,11.870,0.018
44,5,6,220.788,63.806,0,2.050,1.445,2.618,5.263,11.468,0.059
45,5,7,220.595,65.078,0,2.578,1.483,2.714,5.462,11.808,0.013
46,5,8,220.422,64.402,0,2.268,1.363,2.332,4.425,9.131,0.040
47,5,9,219.686,65.048,0,3.077,1.354,2.303,4.335,8.854,0.022
48,5,10,219.726,64.771,0,2.572,1.395,2.436,4.713,9.902,0.064
49,5,11,220.376,64.299,0,2.511,1.377,2.342,4.358,8.691,0.079
50,5,12,220.220,64.291,0,2.728,1.382,2.391,4.564,9.423,0.028
51,5,13,220.533,63.784,0,2.220,1.458,2.669,5.428,11.972,0.039
52,5,14,220.589,64.402,0,1.634,1.338,2.285,4.352,9.074,0.065
53,5,15,220.349,63.838,0,1.741,1.443,2.631,5.347,11.837,0.054
54,6,0,217.585,79.761,0,2.830,1.304,2.155,3.945,7.870,0.045
55,6,1,218.501,78.886,0,1.775,1.392,2.448,4.780,10.126,0.072
56,7,0,365.730,80.002,0,2.195,1.404,2.488,4.914,10.570,0.054
57,7,1,366.219,78.882,0,1.978,1.478,2.708,5.475,11.929,0.033
