 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,102.322,6.180,0,1.454,1.338,2.232,4.083,8.026,0.060
2,1,1,101.764,6.661,0,1.861,1.292,2.094,3.730,7.168,0.023
3,1,2,102.141,6.822,0,1.934,1.555,3.007,6.441,14.870,0.037
4,1,3,101.831,6.558,0,2.500,1.487,2.721,5.480,11.876,0.059
5,2,0,131.575,6.127,0,1.768,1.420,2.540,5.065,11.005,0.045
6,2,1,131.252,6.304,0,2.151,1.377,2.364,4.461,9.072,0.035
7,3,0,134.267,41.857,0,2.580,1.276,2.068,3.689,7.113,0.032
8,3,1,134.625,41.549,0,3.054,1.255,1.983,3.421,6.333,0.031
9,3,2,134.355,41.550,0,2.797,1.237,1.963,3.464,6.710,0.039
10,3,3,135.656,41.910,0,2.801,1.435,2.578,5.132,11.073,0.025
11,3,4,135.770,42.228,0,2.961,1.355,2.302,4.287,8.575,0.028
12,3,5,136.446,41.769,0,1.888,1.285,2.079,3.691,7.066,0.038
13,3,6,136.003,41.216,0,2.422,1.349,2.301,4.341,8.881,0.049
14,3,7,135.727,41.378,0,2.736,1.392,2.431,4.694,9.805,0.066
15,3,8,134.996,41.157,0,2.937,1.367,2.374,4.595,9.692,0.047
16,3,9,135.258,40.865,0,3.351,1.391,2.443,4.767,10.111,0.032
17,3,10,135.646,38.616,0,2.312,1.504,2.816,5.836,13.080,0.045
18,3,11,135.263,37.523,0,1.773,1.356,2.322,4.415,9.143,0.057
19,3,12,134.661,37.634,0,3.005,1.283,2.086,3.758,7.391,0.026
20,3,13,135.771,38.012,0,1.774,1.424,2.603,5.332,11.933,0.036
21,3,14,136.521,38.711,0,2.409,1.250,1.969,3.403,6.354,0.025
22,3,15,136.068,38.400,0,2.448,1.361,2.321,4.355,8.817,0.042
23,3,16,135.734,38.622,0,2.597,1.260,1.993,3.458,6.467,0.027
24,3,17,136.168,38.662,0,2.052,1.472,2.662,5.267,11.153,0.057
25,3,18,136.924,37.777,0,1.528,1.306,2.181,4.045,8.176,0.097
26,3,19,137.478,38.484,0,1.559,1.248,2.024,3.737,7.753,0.060
27,4,0,58.876,47.218,0,2.217,1.491,2.759,5.641,12.441,0.038
28,4,1,57.740,46.883,0,2.579,1.417,2.529,5.016,10.817,0.033
29,4,2,56.478,46.714,0,1.585,1.359,2.334,4.491,9.499,0.052
30,4,3,55.649,45.796,0,1.978,1.361,2.317,4.340,8.766,0.057
31,4,4,55.390,45.770,0,2.379,1.399,2.412,4.551,9.197,0.076
32,4,5,54.620,46.478,0,2.127,1.266,2.014,3.509,6.576,0.024
33,4,6,53.979,45.915,0,2.789,1.404,2.476,4.845,10.299,0.054
34,4,7,54.821,45.644,0,2.008,1.321,2.205,4.071,8.164,0.058
35,4,8,53.646,45.896,0,1.557,1.345,2.267,4.218,8.484,0.037
36,4,9,53.898,45.946,0,1.425,1.426,2.598,5.282,11.697,0.041
37,4,10,55.291,45.793,0,1.857,1.438,2.605,5.230,11.372,0.036
38,4,11,54.945,45.934,0,2.609,1.365,2.403,4.729,10.166,0.099
39,4,12,54.451,45.619,0,1.891,1.295,2.186,4.184,8.921,0.049
40,4,13,54.267,44.365,0,1.677,1.360,2.335,4.437,9.150,0.053
41,4,14,53.205,44.216,0,2.403,1.364,2.340,4.452,9.212,0.055
42,4,15,53.405,43.280,0,1.978,1.435,2.527,4.891,10.190,0.080
43,4,16,53.151,42.397,0,1.939,1.332,2.238,4.143,8.277,0.029
44,4,17,53.260,42.998,0,1.928,1.332,2.251,4.236,8.713,0.035
45,4,18,53.611,44.019,0,2.478,1.314,2.177,3.986,7.925,0.050
46,4,19,52.830,42.863,0,2.523,1.390,2.430,4.716,9.965,0.030
47,4,20,51.785,42.895,0,1.875,1.429,2.548,4.997,10.535,0.030
48,4,21,53.280,43.714,0,1.567,1.339,2.268,4.247,8.613,0.033
49,4,22,53.453,43.143,0,1.625,1.287,2.083,3.719,7.197,0.043
50,4,23,53.452,43.597,0,2.096,1.386,2.412,4.656,9.765,0.105
51,4,24,53.123,43.295,0,2.345,1.368,2.319,4.299,8.531,0.062
52,4,25,52.431,43.181,0,1.514,1.335,2.196,3.951,7.636,0.085
53,5,0,68.985,56.842,0,2.420,1.363,2.351,4.488,9.283,0.035
54,5,1,68.630,56.803,0,2.369,1.357,2.337,4.467,9.293,0.076
55,5,2,69.181,57.154,0,2.284,1.347,2.283,4.272,8.657,0.038
56,5,3,69.337,57.080,0,2.430,1.364,2.334,4.411,9.020,0.064
57,5,4,69.918,57.424,0,1.545,1.354,2.280,4.219,8.406,0.056
