 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,238.972,5.218,0,2.711,1.366,2.364,4.548,9.514,0.132
2,1,1,238.489,5.295,0,3.153,1.314,2.170,3.933,7.679,0.049
3,1,2,237.209,4.213,0,3.507,1.337,2.242,4.141,8.272,0.040
4,1,3,236.822,5.504,0,2.524,1.368,2.386,4.634,9.786,0.082
5,2,0,169.689,36.264,0,3.711,1.460,2.636,5.236,11.193,0.034
6,2,1,168.983,36.673,0,3.137,1.455,2.629,5.239,11.258,0.063
7,3,0,166.199,43.892,0,3.496,1.345,2.287,4.312,8.841,0.034
8,3,1,166.349,44.083,0,2.626,1.379,2.426,4.787,10.360,0.081
9,3,2,166.597,43.703,0,2.658,1.350,2.303,4.362,9.009,0.129
10,3,3,166.106,44.421,0,3.645,1.395,2.438,4.702,9.813,0.030
11,3,4,166.654,44.629,0,2.854,1.394,2.449,4.808,10.328,0.075
12,3,5,166.554,44.471,0,3.170,1.377,2.454,4.939,10.960,0.062
13,3,6,166.259,44.466,0,2.915,1.368,2.330,4.380,8.906,0.095
14,3,7,166.664,43.632,0,2.810,1.471,2.705,5.525,12.238,0.045
15,3,8,166.274,44.783,0,2.697,1.438,2.615,5.306,11.726,0.049
16,3,9,166.413,42.647,0,2.882,1.530,2.964,6.425,15.136,0.028
17,3,10,166.813,41.202,0,2.843,1.476,2.742,5.687,12.836,0.056
18,4,0,149.850,45.659,0,2.885,1.431,2.559,5.079,10.954,0.080
19,4,1,150.211,45.936,0,3.118,1.378,2.400,4.641,9.752,0.085
20,4,2,150.180,46.002,0,3.275,1.336,2.248,4.168,8.341,0.047
21,4,3,149.753,46.214,0,2.917,1.267,2.023,3.544,6.697,0.051
22,4,4,149.763,46.473,0,3.450,1.337,2.256,4.240,8.717,0.036
23,5,0,252.790,47.279,0,3.239,1.584,3.087,6.619,15.234,0.020
24,5,1,252.443,46.312,0,3.331,1.439,2.589,5.146,11.043,0.043
25,5,2,251.653,46.205,0,3.601,1.455,2.647,5.342,11.690,0.041
26,6,0,232.259,55.709,0,3.099,1.391,2.420,4.648,9.651,0.065
27,6,1,233.479,54.866,0,3.423,1.356,2.331,4.458,9.292,0.094
28,6,2,233.435,56.016,0,3.301,1.347,2.313,4.429,9.277,0.058
29,6,3,233.455,56.871,0,2.820,1.372,2.344,4.405,8.925,0.112
30,6,4,232.250,56.057,0,3.232,1.425,2.532,4.960,10.479,0.087
