 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,477.403,12.447,0,2.314,1.525,2.904,6.132,13.998,0.036
2,1,1,477.352,12.442,0,2.349,1.484,2.733,5.546,12.102,0.063
3,1,2,478.743,12.615,0,2.249,1.358,2.310,4.321,8.701,0.086
4,1,3,478.983,12.726,0,1.914,1.455,2.680,5.498,12.240,0.092
5,1,4,478.120,12.215,0,2.651,1.464,2.694,5.537,12.388,0.039
6,1,5,477.591,12.602,0,2.632,1.446,2.619,5.265,11.476,0.059
7,1,6,477.521,13.516,0,2.290,1.413,2.535,5.087,11.151,0.107
8,1,7,477.714,13.002,0,2.382,1.512,2.868,6.039,13.750,0.030
9,2,0,368.048,46.579,0,4.941,1.413,2.505,4.934,10.565,0.029
10,2,1,367.744,46.972,0,4.689,1.402,2.455,4.752,9.955,0.032
11,2,2,367.300,47.292,0,4.873,1.429,2.517,4.854,10.035,0.028
12,2,3,366.460,47.974,0,4.176,1.472,2.683,5.389,11.660,0.032
13,2,4,365.720,47.281,0,4.872,1.484,2.732,5.562,12.252,0.027
14,2,5,366.930,46.440,0,3.373,1.528,2.935,6.274,14.512,0.034
15,2,6,366.863,46.659,0,3.926,1.543,2.922,6.085,13.625,0.032
16,2,7,367.238,47.814,0,4.353,1.396,2.465,4.848,10.390,0.035
17,2,8,367.468,47.096,0,3.159,1.516,2.837,5.864,13.071,0.026
18,2,9,365.677,47.713,0,2.686,1.438,2.632,5.412,12.191,0.058
19,2,10,364.320,47.164,0,2.908,1.347,2.259,4.172,8.330,0.030
20,2,11,364.156,46.836,0,3.422,1.406,2.481,4.858,10.336,0.030
21,2,12,365.418,46.592,0,4.448,1.518,2.846,5.898,13.199,0.029
22,2,13,365.792,46.958,0,5.064,1.517,2.856,5.941,13.327,0.051
23,2,14,365.739,46.890,0,6.559,1.493,2.749,5.577,12.186,0.025
24,2,15,364.794,46.675,0,4.693,1.534,2.910,6.106,13.840,0.031
25,2,16,365.849,47.440,0,5.154,1.504,2.781,5.666,12.427,0.028
26,2,17,366.743,49.016,0,3.902,1.547,2.983,6.391,14.825,0.030
27,2,18,365.516,49.386,0,3.990,1.448,2.640,5.368,11.880,0.034
28,2,19,365.581,49.269,0,2.988,1.615,3.214,7.053,16.608,0.038
29,2,20,366.092,45.982,0,2.031,1.345,2.296,4.354,8.982,0.054
30,2,21,366.460,45.173,0,2.539,1.323,2.206,4.050,8.027,0.054
31,2,22,365.450,45.350,0,2.544,1.236,1.925,3.277,6.007,0.028
32,2,23,362.414,46.834,0,1.916,1.442,2.664,5.555,12.725,0.037
33,2,24,362.251,46.803,0,2.140,1.412,2.516,4.989,10.772,0.034
34,2,25,362.656,46.931,0,2.827,1.464,2.732,5.750,13.287,0.032
35,2,26,362.332,47.557,0,2.972,1.568,3.030,6.467,14.873,0.062
36,2,27,362.704,47.473,0,2.122,1.500,2.862,6.125,14.287,0.039
37,2,28,362.761,47.586,0,2.448,1.496,2.794,5.803,13.087,0.040
38,2,29,362.197,47.823,0,2.152,1.501,2.841,6.006,13.803,0.036
39,2,30,360.343,50.421,0,3.440,1.399,2.461,4.802,10.179,0.029
40,2,31,359.325,48.574,0,4.444,1.426,2.532,4.964,10.515,0.027
41,2,32,358.271,48.786,0,3.726,1.518,2.858,5.960,13.427,0.030
42,2,33,357.365,51.123,0,4.044,1.485,2.727,5.528,12.098,0.038
43,2,34,357.556,51.956,0,3.243,1.478,2.736,5.628,12.550,0.053
44,2,35,358.559,52.711,0,3.663,1.354,2.281,4.198,8.275,0.028
45,2,36,360.630,51.307,0,2.820,1.466,2.689,5.500,12.266,0.027
46,2,37,360.557,51.070,0,3.130,1.409,2.509,4.967,10.691,0.039
47,2,38,361.000,50.929,0,2.748,1.452,2.652,5.372,11.786,0.040
48,2,39,360.736,51.606,0,2.188,1.523,2.867,5.961,13.367,0.059
49,2,40,359.748,51.582,0,2.573,1.518,2.840,5.852,12.967,0.028
50,2,41,360.075,50.282,0,2.480,1.381,2.378,4.520,9.294,0.105
51,2,42,358.841,51.651,0,3.378,1.411,2.491,4.856,10.233,0.033
52,2,43,357.188,52.539,0,2.718,1.319,2.177,3.946,7.712,0.044
53,2,44,357.596,52.628,0,2.761,1.357,2.322,4.398,9.040,0.071
54,2,45,356.479,53.443,0,3.239,1.341,2.270,4.273,8.783,0.028
55,2,46,356.253,53.874,0,2.803,1.362,2.313,4.319,8.691,0.044
56,2,47,355.393,53.538,0,2.911,1.429,2.563,5.113,11.088,0.027
57,2,48,354.810,53.285,0,2.234,1.399,2.523,5.113,11.362,0.045
58,2,49,354.722,53.767,0,2.433,1.331,2.226,4.092,8.092,0.050
59,2,50,354.049,54.688,0,3.471,1.343,2.281,4.289,8.760,0.029
60,2,51,353.122,54.083,0,3.057,1.338,2.251,4.166,8.313,0.035
61,2,52,353.958,54.451,0,3.021,1.366,2.357,4.513,9.400,0.045
62,2,53,352.698,54.067,0,2.281,1.423,2.538,4.992,10.594,0.087
63,2,54,352.993,53.315,0,2.187,1.420,2.562,5.168,11.373,0.043
64,2,55,355.132,51.517,0,2.655,1.299,2.137,3.916,7.870,0.026
65,2,56,355.351,51.133,0,2.625,1.398,2.436,4.672,9.664,0.078
66,2,57,355.713,50.505,0,3.396,1.307,2.150,3.911,7.726,0.034
