 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,617.715,17.991,0,2.126,1.344,2.276,4.259,8.623,0.032
2,1,1,617.762,17.982,0,2.351,1.413,2.523,5.016,10.848,0.035
3,1,2,616.523,18.366,0,1.951,1.345,2.262,4.164,8.216,0.041
4,1,3,617.411,18.585,0,2.318,1.402,2.462,4.774,10.002,0.041
5,1,4,617.206,19.339,0,1.826,1.331,2.241,4.159,8.343,0.041
6,1,5,617.510,19.144,0,2.038,1.353,2.294,4.327,8.922,0.046
7,1,6,616.846,19.500,0,2.562,1.385,2.415,4.672,9.824,0.035
8,1,7,616.965,19.731,0,1.917,1.427,2.567,5.111,11.001,0.035
9,1,8,617.034,19.503,0,1.941,1.333,2.240,4.146,8.293,0.048
10,1,9,616.822,19.863,0,2.554,1.339,2.254,4.191,8.445,0.029
11,1,10,616.760,19.886,0,2.054,1.284,2.070,3.668,7.020,0.032
12,1,11,615.977,19.669,0,2.506,1.349,2.303,4.371,9.036,0.027
13,1,12,616.463,19.569,0,2.887,1.288,2.096,3.756,7.282,0.013
14,1,13,616.878,19.765,0,2.046,1.378,2.379,4.534,9.339,0.059
15,1,14,617.102,18.875,0,2.677,1.372,2.366,4.509,9.319,0.034
16,1,15,616.575,19.209,0,2.339,1.300,2.125,3.816,7.393,0.034
17,1,16,616.142,18.901,0,2.425,1.380,2.394,4.590,9.522,0.028
18,1,17,616.617,18.291,0,2.023,1.282,2.055,3.614,6.852,0.027
19,1,18,616.685,18.387,0,2.159,1.392,2.450,4.781,10.129,0.044
20,1,19,617.427,17.698,0,2.589,1.329,2.205,4.025,7.931,0.023
21,1,20,617.234,17.864,0,2.242,1.402,2.437,4.663,9.608,0.044
22,1,21,617.059,18.540,0,2.299,1.454,2.636,5.272,11.366,0.015
23,1,22,616.413,18.600,0,2.871,1.281,2.052,3.591,6.735,0.016
24,1,23,617.211,18.697,0,1.999,1.336,2.252,4.213,8.584,0.055
25,1,24,617.141,18.215,0,2.300,1.377,2.383,4.554,9.406,0.038
26,1,25,617.153,18.643,0,1.970,1.321,2.209,4.094,8.249,0.033
27,1,26,617.226,18.509,0,1.580,1.358,2.312,4.334,8.772,0.075
28,1,27,617.223,18.297,0,1.659,1.484,2.799,5.888,13.436,0.021
29,1,28,618.355,17.542,0,2.172,1.288,2.087,3.711,7.107,0.032
30,1,29,618.618,17.481,0,2.054,1.325,2.207,4.065,8.141,0.034
31,1,30,618.763,17.780,0,2.260,1.296,2.089,3.678,6.936,0.015
32,1,31,618.331,17.401,0,2.022,1.374,2.354,4.423,8.929,0.050
33,1,32,618.038,16.438,0,1.876,1.399,2.463,4.808,10.172,0.048
34,1,33,618.594,16.425,0,1.994,1.335,2.228,4.058,7.902,0.048
35,1,34,618.222,16.427,0,1.854,1.423,2.532,4.998,10.709,0.048
36,1,35,618.279,17.239,0,2.073,1.296,2.122,3.855,7.653,0.033
37,1,36,618.541,17.030,0,1.734,1.432,2.580,5.150,11.131,0.062
38,1,37,617.549,15.609,0,2.408,1.362,2.299,4.234,8.332,0.023
39,1,38,617.844,15.103,0,1.978,1.353,2.330,4.470,9.358,0.056
40,1,39,618.857,15.375,0,2.129,1.368,2.335,4.387,8.896,0.043
41,1,40,618.512,15.456,0,2.591,1.362,2.312,4.302,8.595,0.034
42,1,41,618.414,15.733,0,2.368,1.291,2.088,3.696,7.038,0.018
43,1,42,618.594,15.006,0,2.292,1.394,2.466,4.862,10.442,0.047
44,1,43,619.495,15.566,0,1.995,1.376,2.341,4.344,8.602,0.045
45,1,44,619.744,17.001,0,2.223,1.434,2.589,5.201,11.359,0.016
46,1,45,620.023,17.298,0,2.463,1.380,2.388,4.571,9.493,0.030
47,1,46,620.128,18.037,0,1.958,1.420,2.533,5.011,10.746,0.060
48,1,47,619.833,17.971,0,1.669,1.462,2.677,5.446,12.015,0.032
49,1,48,619.930,18.442,0,1.785,1.429,2.535,4.948,10.387,0.032
50,1,49,620.302,18.409,0,2.410,1.433,2.532,4.913,10.241,0.015
51,1,50,619.956,18.696,0,2.205,1.331,2.259,4.249,8.672,0.039
52,1,51,620.510,18.177,0,2.731,1.325,2.211,4.051,7.983,0.021
53,1,52,620.263,18.257,0,1.752,1.386,2.403,4.591,9.473,0.026
54,1,53,620.575,19.126,0,2.151,1.361,2.349,4.507,9.416,0.040
55,1,54,620.984,17.905,0,1.950,1.471,2.722,5.588,12.422,0.028
56,1,55,620.241,17.243,0,2.072,1.309,2.177,4.024,8.127,0.038
57,1,56,621.472,16.728,0,1.753,1.362,2.316,4.334,8.737,0.050
58,1,57,620.632,17.228,0,1.878,1.243,1.963,3.423,6.496,0.013
59,1,58,620.627,17.367,0,1.835,1.448,2.613,5.220,11.301,0.042
60,1,59,621.135,17.665,0,1.743,1.330,2.271,4.360,9.237,0.076
61,1,60,620.952,17.306,0,1.989,1.440,2.607,5.237,11.400,0.036
62,1,61,620.982,17.158,0,2.430,1.387,2.417,4.669,9.790,0.020
63,1,62,621.042,17.293,0,2.294,1.430,2.563,5.094,10.966,0.018
64,1,63,620.792,17.585,0,1.578,1.279,2.059,3.661,7.087,0.015
65,1,64,620.693,16.745,0,1.774,1.351,2.265,4.156,8.178,0.052
66,1,65,620.892,16.176,0,2.174,1.378,2.398,4.627,9.694,0.033
67,1,66,621.294,16.433,0,2.335,1.365,2.316,4.310,8.619,0.033
68,1,67,621.021,15.604,0,2.316,1.295,2.114,3.802,7.398,0.017
69,1,68,620.653,16.554,0,2.280,1.289,2.080,3.662,6.898,0.026
70,1,69,621.058,16.330,0,2.059,1.404,2.459,4.751,9.917,0.036
71,1,70,620.970,16.272,0,2.544,1.290,2.122,3.886,7.787,0.014
72,1,71,621.238,16.175,0,2.127,1.344,2.254,4.170,8.353,0.062
73,1,72,620.828,16.538,0,1.927,1.366,2.334,4.386,8.881,0.024
74,1,73,620.919,16.281,0,2.209,1.376,2.371,4.505,9.249,0.037
75,1,74,620.836,16.350,0,2.256,1.289,2.090,3.721,7.145,0.019
76,1,75,620.807,16.574,0,2.321,1.327,2.229,4.128,8.273,0.025
77,1,76,620.540,16.237,0,1.826,1.283,2.114,3.896,7.899,0.038
78,1,77,620.681,16.887,0,1.666,1.471,2.737,5.656,12.661,0.028
79,1,78,621.180,17.155,0,2.251,1.435,2.578,5.118,10.992,0.025
80,1,79,620.859,17.150,0,2.001,1.397,2.443,4.728,9.918,0.047
81,1,80,620.733,17.042,0,1.978,1.467,2.683,5.413,11.771,0.032
82,1,81,620.617,16.862,0,2.410,1.468,2.679,5.420,11.893,0.023
83,1,82,620.431,17.227,0,1.573,1.279,2.044,3.566,6.670,0.049
84,1,83,621.025,17.437,0,1.816,1.452,2.641,5.315,11.552,0.049
85,1,84,620.904,17.481,0,1.935,1.570,3.036,6.458,14.742,0.016
86,1,85,620.922,17.617,0,1.956,1.413,2.494,4.853,10.197,0.048
87,1,86,620.804,17.290,0,1.919,1.286,2.116,3.866,7.711,0.045
88,1,87,620.769,16.778,0,1.818,1.385,2.398,4.581,9.474,0.085
89,1,88,620.319,17.161,0,1.899,1.377,2.359,4.463,9.143,0.028
90,1,89,619.966,16.807,0,1.982,1.416,2.530,5.033,10.904,0.037
91,1,90,619.324,15.341,0,1.867,1.488,2.742,5.571,12.193,0.044
92,1,91,618.305,14.874,0,1.830,1.419,2.552,5.084,10.962,0.043
93,1,92,618.281,14.764,0,1.759,1.388,2.413,4.616,9.523,0.057
94,1,93,618.825,15.445,0,1.559,1.351,2.307,4.383,9.083,0.079
95,1,94,618.315,16.649,0,1.966,1.383,2.417,4.705,9.990,0.036
96,1,95,618.163,16.057,0,2.302,1.469,2.684,5.408,11.748,0.020
97,1,96,618.479,15.509,0,2.077,1.312,2.161,3.915,7.654,0.028
98,1,97,618.523,16.683,0,2.165,1.394,2.395,4.492,9.004,0.053
99,1,98,618.231,17.417,0,1.835,1.296,2.147,3.973,8.071,0.021
100,1,99,617.485,18.390,0,2.616,1.299,2.131,3.841,7.474,0.028
101,1,100,617.633,17.728,0,2.359,1.371,2.350,4.416,8.916,0.050
102,1,101,618.386,17.867,0,1.803,1.534,2.941,6.256,14.384,0.023
103,1,102,617.847,16.973,0,1.910,1.421,2.534,5.002,10.674,0.044
104,1,103,618.191,18.264,0,1.801,1.417,2.522,5.004,10.826,0.051
105,1,104,618.435,17.150,0,2.328,1.324,2.196,4.000,7.856,0.049
106,1,105,618.461,17.406,0,2.017,1.397,2.429,4.652,9.609,0.038
107,1,106,618.056,18.038,0,1.718,1.471,2.722,5.608,12.554,0.041
108,1,107,618.137,18.527,0,1.829,1.462,2.666,5.395,11.832,0.023
109,1,108,616.678,19.616,0,1.735,1.472,2.652,5.244,11.134,0.048
110,1,109,616.746,20.336,0,1.863,1.359,2.350,4.520,9.479,0.061
111,1,110,615.661,21.154,0,2.180,1.342,2.261,4.197,8.415,0.038
112,1,111,615.698,21.767,0,1.810,1.275,2.027,3.526,6.590,0.031
113,1,112,614.767,22.367,0,1.733,1.476,2.694,5.420,11.742,0.032
114,1,113,614.734,22.214,0,1.612,1.384,2.434,4.776,10.236,0.073
115,1,114,615.393,21.995,0,2.478,1.365,2.347,4.493,9.386,0.074
116,1,115,615.144,22.041,0,2.473,1.376,2.404,4.685,9.963,0.048
117,1,116,615.257,22.237,0,2.117,1.393,2.428,4.694,9.874,0.046
118,1,117,615.555,21.763,0,1.629,1.337,2.244,4.147,8.274,0.044
119,1,118,616.081,21.569,0,2.015,1.394,2.445,4.784,10.215,0.041
120,1,119,616.371,20.666,0,2.216,1.479,2.729,5.597,12.455,0.019
121,1,120,615.174,21.289,0,1.756,1.392,2.430,4.686,9.767,0.036
122,1,121,613.939,21.321,0,1.954,1.474,2.735,5.634,12.569,0.032
123,1,122,614.685,20.123,0,2.055,1.328,2.234,4.178,8.524,0.053
124,1,123,615.399,18.618,0,1.574,1.361,2.326,4.401,9.036,0.039
125,1,124,615.628,17.957,0,1.618,1.400,2.491,4.931,10.613,0.069
126,1,125,615.921,18.056,0,1.933,1.422,2.537,5.016,10.722,0.048
127,1,126,616.131,15.984,0,1.926,1.508,2.843,5.947,13.462,0.021
128,1,127,616.377,16.109,0,2.179,1.451,2.631,5.301,11.604,0.051
129,1,128,617.399,16.724,0,1.453,1.461,2.687,5.466,11.995,0.057
130,1,129,618.486,17.889,0,2.009,1.338,2.245,4.145,8.243,0.038
131,1,130,618.473,18.513,0,2.257,1.300,2.112,3.749,7.133,0.032
132,1,131,618.220,18.751,0,2.134,1.460,2.663,5.378,11.766,0.044
133,1,132,618.479,17.637,0,1.768,1.431,2.551,5.026,10.716,0.051
