 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,375.602,24.702,0,1.861,1.270,2.032,3.551,6.655,0.026
2,1,1,376.925,25.272,0,1.359,1.307,2.188,4.075,8.279,0.031
3,2,0,369.580,36.948,0,1.777,1.428,2.578,5.163,11.209,0.050
4,2,1,370.626,36.297,0,2.534,1.431,2.561,5.095,11.023,0.049
5,2,2,369.692,37.276,0,2.396,1.382,2.413,4.686,9.907,0.146
6,2,3,368.071,36.856,0,1.997,1.450,2.650,5.377,11.819,0.070
7,3,0,338.905,54.006,0,2.171,1.408,2.510,4.966,10.651,0.035
8,3,1,339.165,54.553,0,2.370,1.272,2.031,3.546,6.642,0.052
9,3,2,338.976,54.901,0,2.180,1.332,2.256,4.220,8.530,0.096
10,3,3,340.509,55.377,0,2.358,1.250,1.997,3.523,6.749,0.029
11,3,4,340.010,53.657,0,2.177,1.363,2.334,4.419,9.072,0.102
12,3,5,339.200,53.413,0,2.876,1.362,2.341,4.457,9.211,0.061
13,3,6,339.362,54.211,0,2.258,1.430,2.558,5.066,10.856,0.046
14,3,7,338.739,54.759,0,2.611,1.412,2.480,4.794,9.990,0.068
15,3,8,339.050,54.519,0,2.243,1.401,2.470,4.844,10.343,0.059
16,3,9,338.667,54.660,0,2.638,1.351,2.288,4.280,8.687,0.076
17,3,10,338.619,54.913,0,2.104,1.564,3.011,6.391,14.595,0.023
18,3,11,338.133,55.734,0,2.714,1.298,2.114,3.787,7.318,0.032
19,3,12,337.488,56.185,0,3.154,1.415,2.490,4.820,10.044,0.054
20,3,13,338.717,55.603,0,2.670,1.348,2.262,4.161,8.219,0.067
21,3,14,338.722,56.017,0,3.214,1.507,2.804,5.766,12.799,0.024
22,3,15,337.910,56.364,0,2.299,1.426,2.550,5.048,10.834,0.081
23,3,16,338.606,56.614,0,2.802,1.318,2.186,3.998,7.920,0.090
24,3,17,338.250,57.177,0,3.164,1.369,2.339,4.409,8.979,0.090
25,3,18,338.696,57.228,0,2.629,1.465,2.649,5.274,11.296,0.047
26,3,19,338.832,56.859,0,2.239,1.414,2.493,4.859,10.242,0.071
27,3,20,338.722,56.308,0,2.441,1.329,2.206,4.017,7.868,0.069
28,3,21,338.397,57.189,0,2.547,1.382,2.381,4.499,9.120,0.079
29,3,22,338.246,56.434,0,3.098,1.300,2.130,3.848,7.527,0.062
30,3,23,338.161,57.651,0,2.975,1.313,2.159,3.890,7.527,0.028
31,3,24,338.397,57.693,0,3.531,1.387,2.382,4.492,9.110,0.023
32,3,25,338.061,58.921,0,2.729,1.371,2.384,4.613,9.724,0.082
33,3,26,337.370,58.615,0,2.707,1.318,2.169,3.913,7.598,0.089
34,3,27,337.805,58.298,0,3.157,1.395,2.441,4.727,9.926,0.028
35,3,28,337.112,58.205,0,2.902,1.356,2.318,4.376,8.939,0.043
36,3,29,336.939,57.868,0,3.013,1.417,2.537,5.070,11.043,0.026
37,3,30,338.691,57.473,0,2.355,1.345,2.277,4.263,8.646,0.066
38,3,31,340.254,59.008,0,2.442,1.521,2.883,6.064,13.805,0.022
39,3,32,339.803,60.048,0,3.143,1.422,2.540,5.041,10.867,0.056
40,3,33,339.652,60.466,0,3.519,1.358,2.291,4.244,8.459,0.029
41,3,34,339.886,61.121,0,2.092,1.300,2.166,4.022,8.164,0.054
42,3,35,339.174,61.159,0,3.320,1.342,2.261,4.195,8.398,0.092
43,3,36,339.056,59.909,0,3.294,1.352,2.305,4.366,9.000,0.034
44,3,37,339.016,60.097,0,1.855,1.455,2.662,5.400,11.866,0.053
45,3,38,338.702,61.767,0,2.895,1.344,2.283,4.283,8.686,0.069
46,3,39,336.628,61.893,0,2.536,1.351,2.320,4.441,9.288,0.085
47,4,0,341.539,64.810,0,1.901,1.465,2.730,5.711,13.045,0.036
48,4,1,343.765,67.280,0,3.302,1.390,2.448,4.822,10.404,0.041
49,4,2,343.555,67.392,0,3.625,1.456,2.618,5.181,11.046,0.027
50,4,3,343.646,67.601,0,4.139,1.402,2.467,4.822,10.257,0.049
51,4,4,343.649,67.363,0,4.279,1.426,2.550,5.069,10.957,0.033
52,4,5,343.093,69.061,0,3.339,1.489,2.791,5.847,13.326,0.025
53,4,6,343.458,67.647,0,3.577,1.515,2.802,5.677,12.317,0.027
54,4,7,343.493,67.332,0,3.935,1.416,2.499,4.865,10.228,0.027
55,4,8,343.408,67.414,0,3.612,1.540,2.958,6.296,14.475,0.021
56,4,9,343.583,67.922,0,3.437,1.422,2.536,5.016,10.759,0.025
57,4,10,343.489,68.043,0,3.439,1.584,3.107,6.745,15.774,0.023
58,4,11,342.139,68.122,0,1.909,1.256,2.011,3.539,6.720,0.029
59,4,12,341.604,67.989,0,1.462,1.358,2.419,4.870,10.808,0.081
60,5,0,332.712,69.245,0,2.993,1.356,2.287,4.240,8.478,0.085
61,5,1,333.062,68.650,0,3.264,1.340,2.242,4.116,8.137,0.046
62,5,2,332.836,69.610,0,2.683,1.363,2.313,4.300,8.586,0.099
63,5,3,333.557,70.419,0,2.665,1.359,2.289,4.232,8.417,0.052
64,5,4,334.400,70.109,0,2.809,1.370,2.376,4.561,9.495,0.076
65,5,5,335.568,70.323,0,2.782,1.282,2.074,3.687,7.078,0.048
66,5,6,335.578,69.946,0,2.913,1.362,2.347,4.484,9.308,0.049
67,5,7,334.997,71.189,0,3.433,1.301,2.146,3.904,7.680,0.028
68,5,8,335.067,70.357,0,2.773,1.361,2.335,4.432,9.127,0.031
69,5,9,334.512,70.495,0,1.829,1.332,2.246,4.231,8.751,0.080
70,5,10,335.535,69.767,0,2.841,1.282,2.055,3.594,6.735,0.033
71,5,11,335.066,69.892,0,1.856,1.373,2.397,4.665,9.902,0.055
72,5,12,334.565,68.532,0,2.292,1.405,2.413,4.523,9.066,0.036
73,5,13,334.072,68.437,0,1.783,1.493,2.784,5.764,12.933,0.042
74,5,14,334.996,69.349,0,1.913,1.400,2.465,4.808,10.159,0.071
75,5,15,334.278,68.860,0,2.811,1.376,2.394,4.623,9.708,0.047
76,5,16,333.209,68.768,0,2.443,1.576,3.066,6.577,15.173,0.024
77,5,17,334.323,68.568,0,3.157,1.374,2.364,4.495,9.272,0.088
78,5,18,334.186,68.335,0,2.808,1.484,2.791,5.865,13.411,0.026
79,5,19,334.255,67.456,0,3.038,1.496,2.853,6.117,14.338,0.030
80,5,20,333.353,66.794,0,3.500,1.516,2.849,5.921,13.300,0.027
81,5,21,333.113,67.355,0,3.587,1.485,2.762,5.707,12.785,0.025
82,5,22,333.365,67.020,0,3.010,1.363,2.348,4.479,9.264,0.103
83,5,23,332.187,66.735,0,2.480,1.672,3.420,7.675,18.411,0.024
84,5,24,331.428,65.868,0,3.211,1.522,2.870,5.980,13.444,0.023
85,5,25,331.306,66.163,0,3.987,1.419,2.501,4.846,10.105,0.023
86,5,26,331.319,66.671,0,3.571,1.449,2.587,5.066,10.657,0.039
87,5,27,331.277,67.421,0,3.329,1.526,2.858,5.891,13.052,0.021
88,5,28,331.237,67.592,0,3.883,1.359,2.318,4.383,9.005,0.023
89,5,29,330.439,67.300,0,4.126,1.456,2.648,5.342,11.681,0.026
90,5,30,331.323,66.798,0,2.375,1.494,2.859,6.161,14.520,0.023
91,5,31,331.216,67.207,0,2.446,1.670,3.391,7.580,18.159,0.021
92,5,32,331.257,67.336,0,2.034,1.462,2.684,5.494,12.226,0.042
93,5,33,331.300,68.191,0,1.944,1.327,2.217,4.072,8.063,0.041
94,5,34,331.107,66.276,0,2.605,1.574,3.098,6.797,16.151,0.042
95,5,35,332.062,65.728,0,2.802,1.326,2.239,4.210,8.645,0.079
96,5,36,332.218,66.524,0,2.465,1.461,2.672,5.449,12.112,0.064
97,5,37,331.374,67.128,0,3.081,1.354,2.298,4.321,8.823,0.088
98,5,38,331.054,66.556,0,2.584,1.432,2.583,5.200,11.411,0.062
99,5,39,331.406,66.783,0,2.350,1.254,1.996,3.507,6.705,0.027
100,5,40,331.426,66.249,0,2.535,1.364,2.380,4.659,10.011,0.106
101,5,41,331.559,66.540,0,3.213,1.425,2.592,5.271,11.682,0.025
102,5,42,332.267,66.073,0,2.254,1.420,2.546,5.069,10.948,0.061
103,5,43,330.755,67.196,0,2.797,1.588,3.106,6.710,15.602,0.023
104,5,44,331.450,66.732,0,4.187,1.437,2.568,5.060,10.753,0.024
105,5,45,331.087,66.500,0,3.897,1.352,2.285,4.264,8.612,0.033
106,5,46,330.375,66.830,0,3.588,1.349,2.304,4.368,9.010,0.024
107,5,47,329.816,68.554,0,3.575,1.457,2.615,5.159,10.946,0.023
108,5,48,329.470,69.336,0,3.460,1.384,2.389,4.544,9.335,0.030
109,5,49,329.781,69.310,0,3.162,1.396,2.417,4.600,9.430,0.056
110,5,50,329.695,68.584,0,3.426,1.345,2.252,4.134,8.160,0.052
111,5,51,329.856,69.182,0,2.805,1.441,2.576,5.089,10.876,0.069
112,5,52,329.629,68.393,0,3.277,1.441,2.562,5.009,10.547,0.028
113,5,53,330.419,68.630,0,3.612,1.340,2.244,4.129,8.190,0.055
114,5,54,331.481,68.569,0,2.831,1.360,2.315,4.328,8.712,0.044
115,5,55,332.020,68.724,0,3.684,1.357,2.320,4.383,8.965,0.024
116,5,56,332.316,68.965,0,3.781,1.417,2.523,5.001,10.786,0.022
117,5,57,332.041,70.385,0,3.100,1.380,2.385,4.573,9.531,0.070
118,5,58,332.277,70.465,0,3.650,1.373,2.372,4.538,9.412,0.023
119,5,59,331.474,70.113,0,4.035,1.380,2.402,4.633,9.694,0.041
120,5,60,332.510,68.717,0,2.919,1.380,2.403,4.634,9.694,0.125
121,5,61,333.486,68.221,0,3.461,1.194,1.814,3.027,5.473,0.023
122,5,62,334.036,68.124,0,2.848,1.350,2.311,4.398,9.111,0.061
