 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,289.049,1.325,0,1.106,1.275,2.075,3.861,8.119,0.027
2,1,1,289.064,1.938,0,1.163,1.419,2.603,5.401,12.307,0.031
3,1,2,288.004,1.091,0,1.208,1.339,2.411,4.878,10.807,0.060
4,2,0,236.360,8.656,0,2.275,1.439,2.563,5.035,10.668,0.066
5,2,1,237.777,9.499,0,2.562,1.384,2.395,4.561,9.359,0.039
6,2,2,238.335,10.786,0,2.059,1.369,2.373,4.568,9.559,0.052
7,2,3,237.925,10.591,0,2.845,1.341,2.260,4.193,8.384,0.030
8,2,4,238.413,9.982,0,3.981,1.325,2.210,4.066,8.088,0.026
9,2,5,238.266,9.845,0,4.533,1.317,2.176,3.960,7.791,0.024
10,2,6,238.703,9.752,0,3.815,1.304,2.121,3.782,7.252,0.041
11,2,7,239.658,9.052,0,4.779,1.369,2.340,4.398,8.901,0.026
12,2,8,239.925,9.190,0,2.747,1.427,2.529,4.936,10.382,0.064
13,2,9,238.741,9.400,0,3.892,1.345,2.285,4.319,8.913,0.035
14,2,10,238.273,10.086,0,3.788,1.426,2.534,4.964,10.492,0.029
15,2,11,238.112,10.287,0,4.152,1.393,2.427,4.665,9.690,0.023
16,2,12,238.468,10.824,0,3.908,1.371,2.373,4.589,9.722,0.045
17,2,13,239.309,13.310,0,4.647,1.394,2.412,4.585,9.375,0.026
18,2,14,239.835,12.822,0,3.348,1.485,2.724,5.501,11.956,0.046
19,2,15,240.026,12.570,0,4.200,1.509,2.852,5.973,13.518,0.024
20,2,16,240.469,13.471,0,4.398,1.274,2.044,3.605,6.869,0.023
21,2,17,240.889,13.649,0,3.008,1.294,2.092,3.701,7.028,0.030
22,2,18,240.359,14.515,0,3.021,1.304,2.126,3.800,7.311,0.068
23,2,19,240.780,14.595,0,2.565,1.396,2.442,4.739,9.990,0.035
24,2,20,242.623,15.530,0,1.393,1.517,2.894,6.121,13.973,0.025
25,2,21,241.569,16.850,0,1.956,1.463,2.655,5.313,11.468,0.036
26,2,22,240.613,17.248,0,3.048,1.385,2.415,4.675,9.846,0.030
27,2,23,239.356,18.434,0,3.693,1.327,2.218,4.087,8.149,0.023
28,2,24,239.318,19.290,0,3.038,1.392,2.375,4.417,8.778,0.025
29,2,25,238.377,19.771,0,2.648,1.352,2.302,4.356,8.994,0.035
30,2,26,238.266,20.211,0,3.001,1.521,2.855,5.919,13.251,0.021
31,2,27,238.663,21.223,0,3.479,1.327,2.217,4.087,8.153,0.023
32,2,28,238.196,22.665,0,4.540,1.422,2.522,4.934,10.417,0.021
33,2,29,237.450,23.120,0,3.914,1.545,2.934,6.152,13.894,0.023
34,2,30,236.301,22.105,0,3.795,1.393,2.435,4.695,9.770,0.022
35,2,31,235.488,21.919,0,3.811,1.276,2.058,3.649,6.989,0.020
36,2,32,235.459,23.331,0,3.483,1.343,2.232,4.042,7.804,0.023
37,2,33,235.447,25.166,0,4.266,1.352,2.296,4.300,8.715,0.023
38,2,34,235.575,23.958,0,2.295,1.354,2.332,4.486,9.445,0.087
39,2,35,234.657,24.582,0,2.412,1.335,2.234,4.103,8.114,0.050
40,2,36,234.390,24.394,0,2.094,1.545,2.946,6.176,13.901,0.032
41,2,37,235.884,24.495,0,1.891,1.550,2.968,6.250,14.121,0.022
42,2,38,235.061,24.513,0,2.871,1.367,2.355,4.501,9.352,0.036
43,2,39,235.623,24.642,0,2.802,1.361,2.326,4.381,8.922,0.034
44,2,40,234.604,24.959,0,2.920,1.316,2.180,3.970,7.790,0.033
45,2,41,234.876,25.525,0,2.517,1.406,2.478,4.843,10.268,0.076
46,2,42,235.517,24.370,0,3.379,1.303,2.146,3.896,7.661,0.041
47,2,43,234.985,24.813,0,2.427,1.361,2.340,4.453,9.190,0.061
48,2,44,233.738,25.745,0,3.034,1.318,2.192,4.024,7.994,0.033
49,2,45,232.092,25.807,0,3.026,1.374,2.375,4.552,9.482,0.037
50,2,46,231.544,25.268,0,3.109,1.312,2.165,3.926,7.673,0.028
51,2,47,231.405,25.870,0,3.493,1.320,2.198,4.063,8.190,0.022
52,2,48,232.559,26.684,0,3.513,1.367,2.321,4.307,8.554,0.041
53,2,49,232.422,26.495,0,3.230,1.292,2.108,3.786,7.347,0.043
54,2,50,232.167,26.006,0,2.706,1.399,2.480,4.885,10.457,0.123
55,2,51,232.630,25.580,0,4.139,1.314,2.169,3.946,7.776,0.026
56,2,52,231.500,24.355,0,4.172,1.360,2.312,4.327,8.744,0.025
57,2,53,230.832,22.561,0,3.162,1.361,2.327,4.405,9.054,0.029
58,2,54,231.545,22.322,0,3.217,1.331,2.219,4.080,8.115,0.022
59,2,55,230.864,21.282,0,3.243,1.407,2.479,4.829,10.188,0.026
60,2,56,231.181,21.300,0,2.818,1.462,2.673,5.430,11.976,0.041
61,2,57,230.292,20.381,0,1.689,1.508,2.875,6.129,14.211,0.060
62,3,0,251.153,16.047,0,2.636,1.439,2.595,5.197,11.304,0.045
63,3,1,251.538,14.544,0,2.825,1.356,2.306,4.313,8.690,0.039
64,3,2,251.688,14.311,0,2.551,1.412,2.497,4.884,10.352,0.032
65,3,3,251.354,14.154,0,3.031,1.343,2.264,4.225,8.569,0.034
66,3,4,251.516,14.480,0,2.858,1.285,2.064,3.619,6.797,0.030
67,3,5,252.917,14.327,0,3.194,1.410,2.497,4.903,10.446,0.033
68,3,6,253.073,14.666,0,2.511,1.441,2.635,5.382,11.983,0.062
69,3,7,252.074,14.696,0,1.919,1.490,2.806,5.865,13.264,0.044
70,3,8,251.575,17.547,0,2.478,1.345,2.262,4.178,8.307,0.036
71,3,9,251.166,16.735,0,2.555,1.355,2.330,4.429,9.108,0.038
72,3,10,250.459,15.960,0,2.188,1.496,2.748,5.560,12.101,0.034
73,3,11,249.852,17.196,0,1.960,1.456,2.637,5.326,11.738,0.044
