 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,168.613,26.921,0,1.355,1.415,2.595,5.347,12.038,0.070
2,1,1,168.237,26.095,0,1.481,1.310,2.214,4.189,8.693,0.041
3,1,2,167.912,25.863,0,1.154,1.339,2.279,4.314,8.911,0.047
4,1,3,168.314,26.477,0,1.369,1.333,2.231,4.115,8.215,0.051
5,1,4,169.598,25.154,0,1.436,1.361,2.325,4.387,8.967,0.073
6,2,0,157.990,32.151,0,1.709,1.466,2.695,5.501,12.182,0.031
7,2,1,159.292,32.975,0,2.348,1.419,2.535,4.994,10.612,0.031
8,2,2,159.063,34.085,0,1.293,1.523,2.893,6.076,13.750,0.016
9,2,3,159.250,34.458,0,1.211,1.461,2.651,5.314,11.508,0.078
10,2,4,158.933,35.556,0,1.197,1.362,2.333,4.390,8.887,0.042
11,2,5,158.901,35.548,0,2.130,1.375,2.380,4.562,9.491,0.062
12,2,6,159.485,35.791,0,1.798,1.361,2.346,4.497,9.392,0.047
13,2,7,159.387,36.573,0,1.491,1.461,2.651,5.333,11.644,0.074
14,2,8,159.101,36.153,0,1.597,1.416,2.516,4.937,10.457,0.054
15,2,9,158.281,36.341,0,1.468,1.252,1.975,3.419,6.389,0.018
16,2,10,158.997,36.450,0,1.123,1.375,2.427,4.797,10.368,0.074
17,2,11,158.486,36.105,0,1.280,1.321,2.210,4.101,8.290,0.063
18,2,12,158.482,37.164,0,1.196,1.299,2.137,3.864,7.523,0.048
19,2,13,158.023,37.645,0,1.689,1.323,2.191,3.972,7.715,0.061
20,2,14,158.222,37.727,0,1.717,1.432,2.533,4.966,10.565,0.036
21,2,15,158.886,37.120,0,1.914,1.448,2.661,5.457,12.162,0.025
22,2,16,159.259,36.527,0,1.274,1.267,2.068,3.754,7.466,0.049
23,2,17,159.489,37.193,0,2.229,1.392,2.431,4.684,9.761,0.047
24,2,18,159.977,37.584,0,1.666,1.425,2.538,4.986,10.553,0.035
25,2,19,160.827,37.460,0,1.574,1.553,2.972,6.294,14.375,0.026
26,2,20,161.458,38.187,0,1.324,1.574,3.158,7.026,16.846,0.010
27,3,0,183.732,38.292,0,1.911,1.481,2.708,5.448,11.799,0.014
28,3,1,184.396,38.380,0,2.148,1.516,2.839,5.863,13.043,0.013
29,3,2,184.491,37.456,0,1.712,1.476,2.725,5.585,12.408,0.034
30,3,3,183.861,37.226,0,2.050,1.457,2.639,5.288,11.475,0.020
31,3,4,183.448,37.600,0,1.895,1.557,3.021,6.497,15.084,0.012
32,3,5,182.532,37.562,0,1.905,1.474,2.709,5.521,12.189,0.022
33,3,6,182.358,38.099,0,2.038,1.500,2.807,5.825,13.065,0.022
34,4,0,238.927,44.147,0,1.705,1.416,2.518,4.957,10.558,0.055
35,4,1,239.597,43.389,0,1.314,1.430,2.559,5.046,10.715,0.055
36,4,2,239.824,45.706,0,1.422,1.279,2.104,3.849,7.687,0.044
37,4,3,239.378,45.693,0,2.285,1.360,2.332,4.429,9.131,0.055
38,4,4,241.437,46.441,0,1.378,1.563,3.052,6.613,15.477,0.024
39,4,5,244.184,47.608,0,2.237,1.380,2.368,4.449,8.970,0.059
40,4,6,242.744,47.928,0,2.554,1.365,2.339,4.419,9.015,0.051
41,4,7,242.928,48.237,0,2.574,1.445,2.604,5.192,11.193,0.020
42,4,8,242.791,48.998,0,2.725,1.346,2.304,4.386,9.104,0.027
43,4,9,241.539,48.343,0,2.420,1.408,2.463,4.730,9.768,0.047
44,4,10,241.189,47.142,0,1.876,1.394,2.436,4.717,9.922,0.050
45,4,11,240.923,46.369,0,1.953,1.363,2.337,4.429,9.094,0.076
46,4,12,242.122,46.216,0,1.807,1.488,2.754,5.638,12.475,0.022
47,4,13,240.664,47.500,0,2.490,1.292,2.101,3.743,7.175,0.021
48,4,14,240.661,48.357,0,1.673,1.403,2.478,4.857,10.326,0.043
49,4,15,240.890,47.395,0,1.749,1.427,2.522,4.896,10.214,0.045
50,4,16,241.747,48.683,0,1.618,1.421,2.557,5.107,11.050,0.070
51,4,17,241.081,48.428,0,1.493,1.427,2.551,5.034,10.702,0.086
52,4,18,240.216,49.596,0,2.248,1.306,2.134,3.826,7.384,0.059
53,4,19,240.002,49.319,0,1.870,1.433,2.577,5.142,11.126,0.048
54,4,20,241.718,49.530,0,1.701,1.534,2.907,6.058,13.557,0.016
55,4,21,239.729,50.743,0,1.430,1.404,2.492,4.916,10.547,0.065
56,4,22,239.313,50.712,0,2.432,1.310,2.172,3.992,7.986,0.042
57,4,23,238.661,50.078,0,2.107,1.234,1.955,3.446,6.669,0.021
58,4,24,238.077,51.362,0,2.688,1.349,2.294,4.315,8.801,0.026
59,4,25,238.118,50.741,0,2.358,1.372,2.360,4.486,9.236,0.046
60,4,26,240.278,51.559,0,2.533,1.386,2.379,4.485,9.095,0.037
61,4,27,240.166,51.322,0,1.923,1.298,2.113,3.790,7.353,0.040
62,4,28,240.010,53.061,0,2.019,1.362,2.340,4.457,9.213,0.098
