 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,234.382,77.493,0,3.043,1.340,2.281,4.318,8.912,0.054
2,1,1,234.423,77.037,0,2.380,1.330,2.247,4.219,8.642,0.098
3,1,2,234.364,77.150,0,2.543,1.280,2.058,3.615,6.804,0.034
4,1,3,234.356,77.521,0,2.318,1.334,2.219,4.031,7.837,0.094
5,1,4,234.278,77.491,0,2.396,1.274,2.052,3.632,6.941,0.037
6,1,5,234.775,77.488,0,2.166,1.289,2.096,3.745,7.221,0.073
7,1,6,234.412,77.207,0,2.045,1.392,2.406,4.564,9.304,0.052
8,1,7,233.121,77.756,0,1.870,1.325,2.234,4.198,8.638,0.055
9,1,8,233.205,77.242,0,2.725,1.317,2.161,3.878,7.454,0.043
10,1,9,233.613,76.896,0,2.820,1.360,2.317,4.365,8.920,0.048
11,1,10,233.975,77.826,0,2.323,1.417,2.537,5.066,11.030,0.054
12,1,11,233.887,78.494,0,2.908,1.387,2.403,4.587,9.439,0.059
13,1,12,234.396,79.165,0,2.602,1.368,2.364,4.524,9.404,0.062
14,1,13,234.278,80.134,0,2.460,1.409,2.476,4.807,10.098,0.060
15,1,14,233.539,80.945,0,2.311,1.364,2.338,4.428,9.073,0.089
16,1,15,233.832,81.425,0,2.440,1.387,2.436,4.758,10.110,0.038
17,1,16,234.686,81.545,0,2.596,1.348,2.278,4.232,8.477,0.075
18,1,17,234.745,82.357,0,2.568,1.368,2.315,4.282,8.494,0.085
19,1,18,234.792,82.671,0,2.646,1.348,2.277,4.239,8.527,0.095
20,1,19,234.627,82.809,0,1.899,1.337,2.261,4.247,8.688,0.066
21,1,20,234.907,82.137,0,2.903,1.462,2.670,5.399,11.804,0.022
22,1,21,235.335,81.586,0,2.902,1.310,2.158,3.906,7.626,0.030
23,1,22,234.978,81.433,0,2.647,1.330,2.255,4.251,8.730,0.056
24,1,23,235.090,81.483,0,2.593,1.363,2.331,4.396,8.951,0.070
25,1,24,234.662,81.764,0,3.095,1.423,2.513,4.890,10.266,0.036
26,1,25,234.885,81.256,0,2.919,1.369,2.378,4.593,9.659,0.036
27,1,26,234.982,81.257,0,2.785,1.355,2.321,4.399,9.028,0.051
28,1,27,234.138,81.229,0,2.650,1.341,2.271,4.258,8.670,0.036
29,1,28,234.107,81.384,0,2.377,1.294,2.117,3.819,7.467,0.061
30,1,29,234.514,81.430,0,2.404,1.449,2.599,5.129,10.903,0.044
31,1,30,234.799,81.461,0,2.290,1.401,2.444,4.681,9.630,0.076
32,1,31,234.690,81.450,0,2.525,1.293,2.111,3.800,7.413,0.051
33,2,0,163.665,86.034,0,1.863,1.311,2.197,4.116,8.471,0.053
34,2,1,163.641,85.713,0,2.903,1.332,2.205,3.995,7.768,0.031
35,2,2,163.085,85.403,0,2.657,1.320,2.184,3.965,7.742,0.052
36,2,3,163.103,85.144,0,2.698,1.324,2.209,4.068,8.106,0.043
37,2,4,163.080,84.875,0,2.913,1.356,2.317,4.394,9.064,0.066
38,2,5,163.903,85.857,0,1.856,1.299,2.187,4.126,8.542,0.078
39,3,0,197.266,86.527,0,3.243,1.396,2.510,5.095,11.393,0.029
40,3,1,196.896,86.759,0,2.101,1.254,2.024,3.651,7.257,0.053
41,3,2,196.606,86.767,0,2.209,1.261,2.025,3.581,6.849,0.053
42,3,3,196.534,86.795,0,2.580,1.271,2.046,3.634,6.998,0.050
43,3,4,196.832,86.815,0,2.772,1.379,2.409,4.681,9.892,0.075
44,3,5,196.608,86.828,0,2.815,1.307,2.141,3.850,7.448,0.040
45,3,6,196.530,86.991,0,2.746,1.320,2.208,4.079,8.149,0.043
46,3,7,196.770,86.776,0,3.173,1.311,2.147,3.849,7.405,0.013
47,3,8,196.364,86.727,0,2.646,1.319,2.207,4.117,8.406,0.079
48,3,9,196.743,86.477,0,2.499,1.301,2.158,3.999,8.149,0.072
49,3,10,196.446,87.006,0,2.855,1.326,2.219,4.086,8.113,0.063
50,3,11,196.754,86.734,0,2.456,1.344,2.303,4.436,9.424,0.082
51,3,12,196.782,86.393,0,3.228,1.295,2.122,3.843,7.566,0.039
52,3,13,196.751,86.691,0,2.777,1.347,2.348,4.638,10.156,0.054
53,3,14,196.551,86.931,0,2.622,1.456,2.695,5.602,12.741,0.020
