 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,369.239,1.133,0,0.633,1.056,1.395,1.982,3.040,0.020
2,1,1,369.702,1.129,0,0.647,1.068,1.480,2.305,4.102,0.019
3,1,2,369.258,0.837,0,0.481,0.993,1.402,2.186,3.722,0.019
4,2,0,397.675,1.227,0,0.912,1.246,1.916,3.265,6.110,0.025
5,2,1,397.826,1.065,0,0.928,1.117,1.729,2.969,5.556,0.022
6,2,2,396.720,1.373,0,1.018,1.258,2.008,3.619,7.262,0.070
7,2,3,399.044,0.867,0,0.639,0.950,1.323,2.030,3.405,0.018
8,2,4,397.615,1.072,0,0.429,0.954,1.419,2.457,4.918,0.016
9,2,5,396.940,1.063,0,0.560,1.205,2.079,4.120,9.068,0.018
10,2,6,397.474,0.942,0,0.435,1.129,1.978,4.050,9.318,0.018
11,2,7,396.133,1.249,0,1.170,1.137,1.640,2.613,4.600,0.018
12,2,8,397.090,1.378,0,1.646,1.175,1.745,2.857,5.125,0.024
13,2,9,397.037,1.254,0,1.823,1.197,1.823,3.072,5.675,0.022
14,2,10,398.332,1.449,0,1.624,1.262,2.018,3.566,6.859,0.049
15,2,11,398.382,1.178,0,1.424,1.104,1.520,2.276,3.709,0.018
16,2,12,397.649,0.792,0,0.748,1.069,1.713,3.266,7.249,0.018
17,2,13,397.046,0.985,0,0.989,1.079,1.624,2.703,4.893,0.031
18,2,14,397.680,0.948,0,0.956,1.077,1.597,2.605,4.603,0.017
19,2,15,398.627,1.349,0,1.185,1.117,1.570,2.407,4.017,0.017
20,2,16,398.015,1.638,0,1.541,1.305,2.163,4.014,8.201,0.075
21,2,17,397.770,1.466,0,1.414,1.122,1.586,2.445,4.091,0.018
22,2,18,397.900,1.169,0,1.304,1.178,1.719,2.758,4.852,0.018
23,2,19,397.693,1.210,0,1.017,1.065,1.428,2.067,3.243,0.018
24,2,20,398.144,1.307,0,1.544,1.123,1.587,2.452,4.126,0.017
25,2,21,397.032,1.673,0,1.776,1.297,2.125,3.865,7.664,0.065
26,2,22,395.954,1.482,0,1.250,1.236,1.933,3.336,6.268,0.020
27,2,23,395.667,1.593,0,1.313,1.242,1.940,3.352,6.329,0.039
28,2,24,396.569,1.416,0,1.047,1.195,1.810,3.031,5.551,0.020
29,2,25,397.041,1.801,0,1.771,1.300,2.144,3.965,8.081,0.070
30,2,26,397.920,1.399,0,1.598,1.148,1.668,2.652,4.583,0.017
31,2,27,398.890,1.338,0,1.140,1.204,1.811,2.988,5.345,0.020
32,2,28,399.800,1.727,0,1.365,1.250,1.975,3.439,6.499,0.039
33,2,29,399.725,1.548,0,1.091,1.184,1.762,2.899,5.251,0.021
34,2,30,399.203,1.550,0,1.180,1.263,2.010,3.557,6.891,0.036
35,2,31,398.949,1.700,0,1.191,1.261,1.985,3.423,6.353,0.035
36,2,32,398.656,1.816,0,1.719,1.295,2.093,3.695,6.988,0.065
37,2,33,399.187,1.651,0,1.647,1.258,1.989,3.481,6.649,0.031
38,2,34,399.234,1.609,0,1.807,1.258,1.974,3.391,6.278,0.017
39,2,35,398.901,1.700,0,1.427,1.244,1.975,3.481,6.714,0.054
40,2,36,398.847,1.686,0,1.921,1.217,1.881,3.204,5.927,0.019
41,2,37,398.757,1.651,0,2.024,1.233,1.897,3.196,5.811,0.019
42,2,38,398.667,1.669,0,1.585,1.196,1.794,2.957,5.302,0.021
43,2,39,398.934,1.560,0,1.624,1.211,1.851,3.106,5.638,0.018
44,2,40,398.848,1.575,0,1.496,1.210,1.844,3.081,5.573,0.017
45,2,41,399.086,1.665,0,1.908,1.282,2.068,3.713,7.300,0.043
46,2,42,399.185,1.282,0,1.426,1.225,1.867,3.130,5.705,0.023
47,2,43,398.766,1.585,0,1.805,1.196,1.800,2.969,5.305,0.020
48,2,44,398.580,1.519,0,1.500,1.157,1.685,2.685,4.644,0.019
49,2,45,398.505,1.680,0,1.842,1.263,1.998,3.466,6.476,0.023
50,2,46,398.115,1.688,0,1.728,1.262,1.979,3.394,6.268,0.018
51,2,47,398.352,1.716,0,1.803,1.259,1.980,3.411,6.338,0.022
52,2,48,398.361,1.611,0,2.008,1.208,1.829,3.033,5.443,0.019
53,2,49,398.805,1.538,0,1.833,1.196,1.806,2.988,5.355,0.017
54,2,50,398.843,1.546,0,1.483,1.309,2.122,3.780,7.274,0.034
55,2,51,398.526,1.636,0,0.894,1.347,2.345,4.615,10.052,0.066
56,2,52,398.599,1.726,0,1.127,1.388,2.460,4.899,10.721,0.105
57,2,53,398.363,1.699,0,1.317,1.346,2.291,4.357,9.086,0.060
58,2,54,399.329,1.286,0,1.168,1.344,2.304,4.515,9.927,0.073
59,2,55,399.167,1.039,0,1.019,1.065,1.599,2.673,4.896,0.019
60,2,56,399.194,0.913,0,0.856,0.955,1.301,1.954,3.222,0.018
61,2,57,398.554,0.806,0,0.571,0.835,1.058,1.457,2.189,0.018
62,2,58,397.305,1.290,0,1.082,1.138,1.620,2.517,4.253,0.017
63,2,59,397.237,1.017,0,0.676,1.256,2.185,4.258,9.045,0.023
64,2,60,397.570,0.928,0,0.443,0.998,1.585,3.001,6.572,0.019
65,2,61,397.940,0.902,0,0.762,0.958,1.355,2.114,3.590,0.018
66,2,62,398.833,0.909,0,0.552,1.078,1.646,2.878,5.711,0.018
67,2,63,398.104,0.892,0,0.949,0.974,1.388,2.199,3.820,0.018
68,2,64,397.872,1.056,0,1.208,1.090,1.664,2.810,5.157,0.018
69,2,65,397.273,1.010,0,1.063,1.070,1.600,2.643,4.745,0.016
70,2,66,396.750,0.898,0,0.778,1.107,1.671,2.772,4.963,0.018
71,2,67,397.953,1.566,0,1.042,1.341,2.276,4.394,9.457,0.091
72,3,0,325.340,2.987,0,2.627,1.436,2.589,5.190,11.302,0.029
73,3,1,325.343,3.494,0,2.652,1.499,2.778,5.673,12.474,0.019
74,3,2,324.522,4.383,0,2.650,1.594,3.107,6.658,15.298,0.019
75,3,3,324.349,4.254,0,1.985,1.690,3.438,7.638,18.075,0.019
76,3,4,323.309,6.154,0,2.099,1.623,3.252,7.203,17.168,0.016
77,3,5,324.471,6.369,0,1.472,1.801,3.825,8.833,21.659,0.018
78,3,6,325.012,6.325,0,1.819,1.748,3.670,8.426,20.626,0.021
79,3,7,324.690,5.847,0,2.171,1.754,3.664,8.333,20.141,0.018
