 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,173.394,28.282,0,2.127,1.256,1.981,3.427,6.393,0.014
2,1,1,172.182,27.868,0,2.085,1.356,2.320,4.385,8.974,0.073
3,1,2,172.043,28.758,0,2.185,1.430,2.552,5.047,10.812,0.067
4,1,3,170.958,29.348,0,2.361,1.375,2.402,4.684,9.982,0.078
5,1,4,170.431,29.090,0,2.441,1.401,2.435,4.656,9.593,0.057
6,1,5,170.253,29.528,0,2.527,1.337,2.234,4.107,8.153,0.053
7,1,6,169.937,29.681,0,2.534,1.404,2.476,4.844,10.294,0.044
8,1,7,169.988,29.807,0,2.951,1.383,2.410,4.654,9.746,0.021
9,1,8,170.466,29.587,0,2.827,1.306,2.144,3.863,7.496,0.032
10,1,9,169.965,29.387,0,2.359,1.337,2.265,4.241,8.610,0.053
11,1,10,169.949,28.686,0,2.809,1.379,2.370,4.485,9.160,0.035
12,1,11,170.064,28.556,0,2.086,1.325,2.245,4.272,8.972,0.063
13,1,12,169.832,28.749,0,2.570,1.368,2.330,4.366,8.820,0.063
14,1,13,169.994,28.947,0,2.634,1.403,2.478,4.850,10.283,0.049
15,1,14,169.756,28.884,0,2.584,1.353,2.302,4.331,8.835,0.070
16,1,15,169.808,28.667,0,2.988,1.319,2.172,3.919,7.605,0.022
17,1,16,169.772,29.026,0,2.769,1.456,2.648,5.331,11.604,0.032
18,1,17,169.922,28.873,0,2.541,1.347,2.268,4.205,8.413,0.061
19,1,18,170.442,29.331,0,1.604,1.357,2.296,4.263,8.514,0.052
20,1,19,170.562,29.099,0,2.713,1.316,2.166,3.917,7.647,0.038
21,1,20,170.284,29.298,0,1.950,1.300,2.113,3.760,7.178,0.046
22,1,21,170.194,28.707,0,2.700,1.325,2.186,3.950,7.662,0.044
23,1,22,169.617,29.132,0,2.584,1.402,2.454,4.745,9.912,0.063
24,1,23,169.490,29.183,0,1.813,1.368,2.360,4.507,9.328,0.046
25,1,24,170.041,28.757,0,2.146,1.349,2.331,4.496,9.468,0.087
26,1,25,170.093,29.058,0,1.789,1.458,2.682,5.492,12.216,0.037
27,1,26,169.146,29.633,0,1.756,1.389,2.442,4.778,10.188,0.068
28,1,27,169.341,29.164,0,2.105,1.263,2.026,3.591,6.917,0.041
29,1,28,169.239,28.485,0,1.850,1.321,2.198,4.027,7.972,0.064
30,1,29,169.432,28.137,0,2.196,1.442,2.611,5.270,11.589,0.043
31,1,30,169.139,28.344,0,2.114,1.293,2.125,3.882,7.744,0.064
32,1,31,168.387,28.983,0,2.649,1.356,2.303,4.306,8.695,0.053
33,1,32,168.312,29.364,0,2.296,1.353,2.298,4.307,8.730,0.081
34,1,33,168.638,29.829,0,2.267,1.324,2.215,4.108,8.302,0.066
35,1,34,167.587,29.093,0,2.403,1.357,2.300,4.284,8.600,0.058
36,1,35,166.823,28.943,0,2.379,1.403,2.490,4.905,10.488,0.053
37,1,36,166.312,29.371,0,1.909,1.303,2.151,3.926,7.788,0.018
38,1,37,166.257,28.860,0,2.153,1.327,2.238,4.188,8.526,0.059
39,1,38,166.046,29.362,0,2.389,1.376,2.413,4.715,10.034,0.050
40,1,39,166.075,28.861,0,2.377,1.310,2.155,3.905,7.652,0.041
41,1,40,166.071,30.232,0,1.969,1.331,2.213,4.040,7.957,0.051
42,1,41,165.575,30.379,0,2.249,1.323,2.242,4.272,8.986,0.057
43,1,42,165.698,31.149,0,1.958,1.301,2.159,3.994,8.091,0.047
44,1,43,165.023,31.570,0,1.759,1.472,2.745,5.726,13.011,0.038
45,1,44,165.687,31.405,0,1.798,1.246,1.956,3.358,6.198,0.018
46,1,45,165.250,31.640,0,2.254,1.267,2.014,3.511,6.601,0.079
47,1,46,165.698,32.906,0,1.447,1.268,2.042,3.641,7.081,0.036
48,2,0,168.981,37.294,0,3.020,1.429,2.562,5.088,10.939,0.031
49,2,1,170.181,37.561,0,2.891,1.345,2.278,4.269,8.687,0.063
50,2,2,170.563,38.625,0,2.770,1.425,2.534,4.975,10.574,0.046
51,2,3,170.832,39.460,0,2.285,1.355,2.342,4.534,9.637,0.074
52,2,4,169.507,38.684,0,2.073,1.479,2.707,5.477,11.974,0.048
53,2,5,167.759,39.038,0,2.051,1.543,2.960,6.290,14.433,0.027
54,2,6,169.434,39.571,0,2.093,1.485,2.733,5.551,12.158,0.045
55,2,7,169.391,39.872,0,2.010,1.468,2.649,5.232,11.067,0.047
56,2,8,169.285,39.486,0,2.438,1.428,2.515,4.858,10.083,0.076
57,2,9,169.756,39.675,0,2.065,1.527,2.870,5.940,13.227,0.044
58,3,0,68.139,68.045,0,2.794,1.372,2.370,4.537,9.427,0.065
59,3,1,68.572,68.016,0,2.100,1.364,2.358,4.528,9.439,0.078
60,3,2,68.869,67.993,0,2.592,1.408,2.486,4.837,10.144,0.056
61,3,3,69.091,67.697,0,2.180,1.384,2.438,4.781,10.213,0.057
62,3,4,68.529,68.863,0,1.479,1.392,2.474,4.912,10.656,0.041
63,4,0,213.328,115.532,0,2.416,1.339,2.246,4.147,8.269,0.050
64,4,1,213.534,114.862,0,3.043,1.307,2.149,3.876,7.520,0.050
65,4,2,213.657,115.367,0,2.997,1.325,2.199,3.995,7.791,0.041
66,4,3,213.851,115.349,0,2.702,1.346,2.255,4.140,8.163,0.036
67,4,4,213.638,115.777,0,2.280,1.320,2.167,3.877,7.404,0.026
68,4,5,213.229,114.599,0,2.468,1.434,2.551,4.988,10.497,0.059
69,4,6,212.434,114.290,0,2.643,1.329,2.226,4.123,8.299,0.038
70,4,7,213.083,113.716,0,3.395,1.384,2.380,4.500,9.163,0.015
71,4,8,212.975,114.258,0,2.533,1.411,2.530,5.055,10.995,0.068
72,4,9,213.672,114.637,0,2.893,1.332,2.225,4.081,8.075,0.023
73,4,10,214.036,114.815,0,2.224,1.499,2.814,5.848,13.130,0.030
74,4,11,213.386,114.883,0,2.171,1.404,2.460,4.777,10.065,0.096
75,4,12,212.976,114.744,0,2.390,1.515,2.855,5.949,13.376,0.018
76,4,13,213.101,113.013,0,1.925,1.474,2.732,5.631,12.593,0.062
77,5,0,454.715,171.532,0,2.299,1.390,2.418,4.658,9.735,0.051
78,5,1,454.919,172.201,0,2.441,1.348,2.281,4.257,8.593,0.036
79,5,2,453.998,171.857,0,2.157,1.382,2.416,4.683,9.841,0.085
80,5,3,453.764,172.332,0,1.943,1.397,2.452,4.774,10.105,0.063
81,5,4,453.699,173.367,0,2.268,1.366,2.347,4.463,9.202,0.062
82,5,5,454.293,173.358,0,1.891,1.395,2.403,4.531,9.165,0.042
83,5,6,455.582,173.532,0,2.067,1.306,2.142,3.857,7.486,0.048
84,5,7,454.700,173.970,0,1.613,1.382,2.423,4.737,10.105,0.050
85,5,8,454.819,173.901,0,2.226,1.324,2.208,4.054,8.038,0.055
86,5,9,454.448,174.230,0,1.964,1.362,2.350,4.510,9.439,0.059
87,5,10,454.994,173.835,0,2.247,1.366,2.378,4.603,9.682,0.064
88,5,11,455.058,174.235,0,2.501,1.385,2.396,4.574,9.431,0.049
89,5,12,455.531,174.494,0,2.274,1.300,2.118,3.779,7.247,0.030
90,5,13,455.961,174.831,0,2.047,1.342,2.280,4.284,8.734,0.072
91,5,14,456.317,174.898,0,2.090,1.354,2.341,4.526,9.595,0.081
92,5,15,457.312,174.386,0,2.305,1.288,2.067,3.626,6.827,0.056
93,5,16,456.857,173.720,0,2.003,1.313,2.200,4.094,8.313,0.063
94,5,17,457.075,174.276,0,2.293,1.470,2.692,5.453,11.930,0.042
95,5,18,457.146,173.923,0,2.000,1.372,2.401,4.710,10.130,0.054
96,5,19,457.293,173.702,0,2.596,1.317,2.182,3.978,7.831,0.059
97,5,20,457.959,173.672,0,1.991,1.380,2.417,4.704,9.956,0.060
98,5,21,457.313,174.432,0,1.905,1.290,2.074,3.641,6.846,0.028
99,5,22,457.777,174.170,0,1.711,1.448,2.634,5.309,11.588,0.070
100,6,0,328.049,183.945,0,2.038,1.495,2.810,5.865,13.244,0.046
101,6,1,328.774,183.678,0,1.859,1.388,2.387,4.497,9.082,0.053
102,6,2,329.636,183.893,0,1.881,1.328,2.193,3.967,7.705,0.048
103,6,3,329.605,183.651,0,1.776,1.342,2.282,4.339,9.059,0.087
104,6,4,329.007,183.904,0,1.788,1.383,2.418,4.684,9.832,0.066
105,6,5,329.544,183.406,0,2.048,1.361,2.317,4.348,8.830,0.049
106,6,6,328.695,183.318,0,1.655,1.346,2.282,4.290,8.776,0.046
107,6,7,329.068,183.376,0,1.930,1.316,2.207,4.104,8.306,0.053
108,6,8,328.660,183.615,0,1.581,1.328,2.227,4.156,8.471,0.072
109,6,9,328.206,183.971,0,2.172,1.386,2.426,4.716,9.955,0.097
110,6,10,328.515,183.691,0,2.523,1.359,2.305,4.299,8.640,0.052
111,6,11,328.555,184.148,0,2.232,1.325,2.207,4.044,7.995,0.069
112,6,12,328.403,184.657,0,1.712,1.318,2.147,3.827,7.315,0.029
113,6,13,328.135,184.351,0,2.066,1.299,2.137,3.896,7.751,0.043
114,6,14,328.217,184.488,0,1.583,1.330,2.275,4.372,9.253,0.056
115,6,15,328.163,184.418,0,1.734,1.335,2.248,4.183,8.433,0.056
116,6,16,327.607,184.581,0,1.926,1.325,2.198,3.998,7.813,0.051
117,6,17,327.662,184.870,0,2.115,1.372,2.337,4.360,8.723,0.045
118,6,18,327.966,184.300,0,1.383,1.314,2.235,4.255,8.897,0.048
119,7,0,473.909,185.010,0,2.186,1.400,2.495,4.976,10.853,0.048
120,7,1,473.836,184.538,0,2.719,1.356,2.315,4.371,8.951,0.051
121,7,2,474.689,184.701,0,2.536,1.241,1.934,3.299,6.065,0.012
122,7,3,474.535,184.799,0,2.425,1.379,2.380,4.562,9.525,0.070
123,7,4,473.633,184.102,0,2.042,1.354,2.335,4.485,9.402,0.037
124,7,5,472.951,184.201,0,2.915,1.339,2.252,4.166,8.305,0.046
125,7,6,473.213,184.841,0,2.894,1.337,2.229,4.057,7.901,0.041
126,7,7,473.251,184.621,0,2.318,1.259,1.998,3.470,6.479,0.016
127,7,8,473.523,184.796,0,2.754,1.298,2.109,3.754,7.189,0.025
128,7,9,473.813,185.254,0,2.418,1.365,2.354,4.506,9.376,0.051
129,7,10,474.567,184.880,0,2.685,1.313,2.183,4.045,8.208,0.071
130,7,11,474.248,184.663,0,2.227,1.415,2.493,4.856,10.229,0.086
131,7,12,474.439,185.444,0,2.212,1.358,2.285,4.213,8.346,0.058
132,7,13,473.994,185.380,0,2.019,1.457,2.668,5.406,11.845,0.057
133,7,14,473.653,184.773,0,2.551,1.423,2.509,4.865,10.156,0.066
134,7,15,473.271,184.849,0,2.317,1.321,2.211,4.102,8.282,0.066
135,7,16,473.212,185.120,0,2.427,1.447,2.612,5.196,11.149,0.072
136,7,17,473.136,184.349,0,3.019,1.315,2.177,3.965,7.801,0.041
137,7,18,473.923,184.871,0,2.779,1.406,2.468,4.778,9.992,0.039
138,7,19,474.442,185.218,0,2.445,1.385,2.392,4.544,9.302,0.051
139,7,20,474.676,185.376,0,1.814,1.378,2.361,4.456,9.086,0.048
140,7,21,473.919,184.799,0,2.749,1.403,2.432,4.610,9.355,0.060
141,7,22,473.235,185.412,0,1.927,1.362,2.343,4.473,9.283,0.052
142,7,23,473.457,184.984,0,2.202,1.392,2.436,4.719,9.905,0.056
143,7,24,473.652,185.874,0,2.321,1.346,2.300,4.366,9.031,0.076
144,7,25,473.081,185.469,0,2.439,1.286,2.097,3.764,7.294,0.049
145,7,26,474.466,184.868,0,2.842,1.336,2.228,4.084,8.076,0.042
146,7,27,474.313,184.656,0,2.441,1.409,2.481,4.837,10.221,0.066
147,7,28,474.321,185.137,0,1.750,1.303,2.133,3.841,7.471,0.043
148,7,29,475.060,186.296,0,2.076,1.407,2.479,4.833,10.210,0.083
149,7,30,475.179,186.762,0,2.276,1.346,2.300,4.365,9.021,0.061
150,7,31,474.963,187.157,0,1.837,1.395,2.447,4.768,10.088,0.069
151,7,32,474.710,186.439,0,1.998,1.402,2.431,4.638,9.534,0.063
152,7,33,474.282,185.955,0,2.690,1.300,2.147,3.939,7.888,0.023
153,7,34,474.011,186.053,0,2.401,1.463,2.714,5.604,12.558,0.039
154,7,35,473.241,185.742,0,2.490,1.307,2.154,3.908,7.654,0.053
155,7,36,473.347,186.050,0,2.212,1.331,2.241,4.197,8.595,0.031
156,7,37,473.482,187.310,0,2.963,1.305,2.128,3.792,7.247,0.012
157,7,38,473.706,187.648,0,2.487,1.315,2.164,3.913,7.637,0.028
158,7,39,473.094,187.625,0,2.381,1.349,2.306,4.374,9.021,0.037
159,7,40,472.062,187.714,0,3.214,1.387,2.422,4.697,9.902,0.036
160,7,41,471.823,187.672,0,3.063,1.379,2.382,4.551,9.421,0.015
161,7,42,471.572,187.449,0,2.970,1.295,2.107,3.755,7.185,0.023
162,7,43,471.445,187.706,0,2.932,1.308,2.149,3.873,7.510,0.027
163,7,44,471.634,187.734,0,2.399,1.337,2.263,4.249,8.678,0.044
164,7,45,471.384,187.491,0,3.002,1.293,2.095,3.724,7.133,0.013
165,7,46,470.954,188.150,0,2.700,1.468,2.692,5.484,12.111,0.012
166,7,47,470.680,188.061,0,2.893,1.381,2.398,4.614,9.642,0.034
167,7,48,470.561,187.333,0,2.916,1.420,2.541,5.060,10.959,0.027
168,7,49,470.247,187.477,0,2.688,1.416,2.479,4.759,9.800,0.051
169,7,50,469.810,187.918,0,2.946,1.354,2.292,4.278,8.624,0.038
170,7,51,469.710,187.804,0,2.150,1.335,2.260,4.231,8.587,0.074
171,7,52,470.503,187.604,0,2.703,1.291,2.077,3.655,6.907,0.022
172,7,53,470.324,187.956,0,2.087,1.343,2.290,4.324,8.848,0.053
173,7,54,471.352,187.976,0,1.997,1.516,2.853,5.930,13.289,0.026
174,7,55,471.987,187.535,0,2.617,1.494,2.772,5.682,12.567,0.014
175,7,56,471.571,187.698,0,2.681,1.317,2.190,4.028,8.056,0.033
176,7,57,472.596,187.782,0,2.615,1.505,2.796,5.745,12.756,0.026
177,7,58,472.595,188.010,0,1.620,1.536,2.928,6.154,13.924,0.045
178,7,59,473.654,188.566,0,2.344,1.323,2.173,3.895,7.472,0.043
179,7,60,473.661,189.907,0,2.436,1.357,2.310,4.324,8.731,0.040
180,7,61,473.327,190.379,0,2.554,1.302,2.118,3.763,7.159,0.040
181,7,62,474.467,190.628,0,2.319,1.356,2.283,4.212,8.349,0.067
182,7,63,474.932,191.491,0,2.273,1.400,2.473,4.852,10.348,0.029
183,7,64,474.446,192.631,0,2.250,1.299,2.120,3.804,7.371,0.050
184,7,65,474.100,193.567,0,2.337,1.337,2.232,4.097,8.120,0.049
185,7,66,474.165,193.548,0,2.731,1.339,2.239,4.109,8.112,0.019
186,7,67,473.877,194.272,0,2.138,1.348,2.312,4.417,9.209,0.067
187,7,68,474.340,193.968,0,2.112,1.362,2.342,4.469,9.282,0.053
188,7,69,474.356,194.959,0,1.786,1.393,2.463,4.874,10.549,0.058
189,7,70,473.339,194.846,0,2.058,1.291,2.114,3.863,7.764,0.046
190,7,71,474.601,194.800,0,1.686,1.345,2.319,4.480,9.507,0.072
191,7,72,475.241,194.552,0,2.197,1.277,2.074,3.757,7.483,0.037
192,7,73,475.526,194.498,0,1.802,1.281,2.067,3.679,7.096,0.042
193,7,74,476.105,193.989,0,2.029,1.322,2.204,4.068,8.145,0.082
194,7,75,475.984,194.630,0,2.194,1.404,2.492,4.918,10.561,0.056
195,7,76,476.014,195.228,0,2.699,1.374,2.389,4.604,9.627,0.056
196,7,77,475.695,195.730,0,2.526,1.328,2.229,4.145,8.388,0.030
197,7,78,476.317,195.297,0,1.814,1.332,2.210,4.016,7.833,0.042
198,7,79,476.940,196.009,0,2.748,1.404,2.484,4.888,10.458,0.024
199,7,80,476.594,195.526,0,3.039,1.374,2.337,4.349,8.679,0.019
200,7,81,476.620,195.565,0,2.480,1.391,2.399,4.553,9.324,0.043
201,7,82,476.502,195.180,0,2.338,1.347,2.286,4.286,8.706,0.095
202,7,83,476.564,195.948,0,2.127,1.324,2.187,3.971,7.774,0.048
203,7,84,475.983,196.304,0,2.515,1.364,2.355,4.521,9.443,0.036
204,7,85,476.002,195.787,0,2.308,1.427,2.568,5.137,11.155,0.046
205,7,86,476.398,194.946,0,2.237,1.390,2.435,4.734,9.992,0.060
206,7,87,475.844,194.113,0,1.924,1.395,2.437,4.723,9.938,0.062
207,7,88,476.166,193.887,0,2.208,1.390,2.443,4.784,10.215,0.058
208,7,89,476.679,193.249,0,1.765,1.338,2.263,4.273,8.838,0.043
209,7,90,477.154,193.240,0,1.915,1.435,2.593,5.198,11.299,0.057
210,7,91,477.068,193.278,0,1.770,1.448,2.613,5.202,11.180,0.068
211,7,92,476.824,192.516,0,2.755,1.341,2.237,4.077,7.962,0.034
212,7,93,476.634,194.323,0,2.187,1.480,2.702,5.427,11.739,0.046
213,7,94,476.042,194.132,0,1.931,1.483,2.741,5.616,12.460,0.055
214,7,95,476.144,193.328,0,2.012,1.413,2.538,5.085,11.107,0.072
215,7,96,476.272,193.697,0,2.427,1.339,2.240,4.103,8.072,0.067
216,7,97,476.214,193.921,0,2.488,1.452,2.635,5.309,11.607,0.027
217,7,98,476.163,193.985,0,2.148,1.362,2.344,4.480,9.317,0.062
218,7,99,476.721,194.798,0,1.609,1.371,2.364,4.485,9.171,0.086
219,7,100,476.429,195.001,0,1.816,1.362,2.328,4.384,8.915,0.049
220,7,101,475.667,195.341,0,2.705,1.364,2.330,4.384,8.906,0.028
221,7,102,475.641,195.139,0,2.169,1.401,2.472,4.835,10.246,0.040
222,7,103,475.770,196.118,0,2.519,1.332,2.234,4.131,8.249,0.047
223,7,104,475.761,196.439,0,2.600,1.335,2.226,4.087,8.111,0.056
224,7,105,477.063,197.113,0,2.132,1.444,2.589,5.111,10.856,0.050
225,7,106,476.871,196.710,0,1.835,1.401,2.443,4.681,9.645,0.045
226,7,107,477.648,196.519,0,3.135,1.256,1.993,3.487,6.622,0.012
227,7,108,477.767,195.959,0,2.621,1.487,2.719,5.481,11.906,0.029
228,7,109,478.751,196.563,0,2.653,1.366,2.330,4.389,8.955,0.030
229,7,110,479.522,196.410,0,2.498,1.430,2.559,5.084,10.962,0.041
230,7,111,479.141,196.643,0,2.079,1.394,2.461,4.837,10.345,0.091
231,7,112,478.874,197.409,0,1.826,1.417,2.539,5.076,11.062,0.069
232,7,113,478.639,199.010,0,1.920,1.365,2.363,4.548,9.523,0.061
233,7,114,479.898,198.869,0,2.538,1.399,2.448,4.729,9.867,0.066
234,7,115,480.484,200.455,0,1.858,1.386,2.417,4.693,9.936,0.068
235,7,116,479.918,200.105,0,1.959,1.407,2.495,4.928,10.593,0.050
236,7,117,480.595,199.782,0,2.343,1.300,2.119,3.777,7.216,0.056
237,7,118,479.941,199.056,0,2.284,1.434,2.597,5.242,11.519,0.040
238,7,119,479.831,199.078,0,2.336,1.440,2.581,5.090,10.793,0.077
239,7,120,479.626,199.567,0,2.552,1.279,2.045,3.570,6.682,0.022
240,7,121,480.121,199.532,0,2.378,1.377,2.362,4.462,9.087,0.089
241,7,122,479.709,199.991,0,2.824,1.395,2.455,4.799,10.196,0.030
242,7,123,479.310,200.149,0,2.730,1.359,2.301,4.274,8.540,0.038
243,7,124,478.766,199.868,0,2.509,1.372,2.385,4.606,9.674,0.054
244,7,125,478.115,198.855,0,2.281,1.437,2.584,5.126,10.963,0.075
245,7,126,478.177,198.552,0,2.498,1.334,2.219,4.049,7.955,0.035
246,7,127,478.314,198.887,0,2.175,1.292,2.084,3.682,6.994,0.044
247,7,128,478.761,199.474,0,2.980,1.353,2.276,4.183,8.229,0.016
248,7,129,478.708,199.366,0,2.509,1.268,2.014,3.497,6.519,0.019
249,7,130,480.405,199.405,0,2.439,1.295,2.106,3.766,7.281,0.033
250,7,131,481.159,199.309,0,2.260,1.334,2.236,4.124,8.210,0.048
251,7,132,481.475,199.287,0,2.467,1.263,2.022,3.561,6.784,0.015
252,7,133,480.698,198.678,0,3.179,1.278,2.052,3.598,6.762,0.024
253,7,134,480.238,198.601,0,2.634,1.278,2.049,3.586,6.727,0.028
254,7,135,480.267,198.316,0,3.414,1.335,2.238,4.140,8.298,0.022
255,7,136,480.681,198.489,0,2.774,1.273,2.049,3.629,6.960,0.028
256,7,137,480.700,198.208,0,3.324,1.375,2.357,4.444,9.035,0.026
257,7,138,480.435,198.917,0,2.841,1.288,2.082,3.689,7.027,0.012
258,7,139,480.162,198.421,0,3.127,1.367,2.332,4.375,8.843,0.024
259,7,140,480.520,199.111,0,2.721,1.336,2.238,4.124,8.204,0.032
260,7,141,480.402,198.292,0,2.562,1.325,2.202,4.046,8.075,0.078
261,7,142,480.911,198.764,0,2.718,1.433,2.572,5.114,11.021,0.043
262,7,143,481.387,198.878,0,2.439,1.359,2.321,4.370,8.888,0.053
263,7,144,482.132,198.883,0,2.938,1.353,2.313,4.388,9.051,0.034
264,7,145,481.683,197.385,0,2.432,1.371,2.359,4.466,9.104,0.063
265,7,146,481.817,197.423,0,2.747,1.319,2.184,3.991,7.904,0.048
266,7,147,480.800,198.110,0,2.582,1.385,2.393,4.560,9.387,0.073
267,7,148,481.249,197.695,0,2.168,1.346,2.285,4.298,8.781,0.075
268,7,149,481.185,198.479,0,2.103,1.361,2.343,4.472,9.270,0.051
269,7,150,480.971,199.583,0,2.489,1.429,2.563,5.102,11.019,0.029
270,7,151,480.982,199.882,0,2.519,1.457,2.654,5.340,11.590,0.028
271,7,152,481.027,199.990,0,1.877,1.456,2.685,5.507,12.243,0.073
272,8,0,472.148,208.312,0,2.505,1.553,2.991,6.369,14.611,0.019
273,8,1,472.989,207.817,0,2.078,1.584,3.119,6.785,15.849,0.013
274,9,0,20.596,214.197,0,2.481,1.381,2.395,4.585,9.492,0.047
275,9,1,21.150,215.082,0,2.814,1.414,2.496,4.872,10.292,0.038
276,10,0,3.090,220.680,0,3.568,1.340,2.253,4.185,8.429,0.010
277,10,1,2.113,218.914,0,3.834,1.419,2.483,4.742,9.662,0.011
278,10,2,1.889,219.471,0,3.380,1.295,2.105,3.769,7.309,0.019
279,10,3,1.615,219.752,0,1.903,1.314,2.165,4.013,8.251,0.059
280,10,4,3.074,218.986,0,1.887,1.468,2.711,5.572,12.416,0.046
281,11,0,11.356,227.944,0,1.927,1.281,2.075,3.705,7.155,0.036
282,11,1,12.531,227.780,0,1.991,1.359,2.303,4.295,8.643,0.060
283,12,0,48.547,239.726,0,2.625,1.589,3.106,6.695,15.508,0.014
284,12,1,46.916,237.741,0,1.788,1.455,2.662,5.410,11.903,0.027
285,12,2,46.453,237.846,0,1.748,1.346,2.292,4.332,8.911,0.069
286,13,0,477.586,241.009,0,1.910,1.356,2.337,4.486,9.404,0.052
287,13,1,476.822,240.370,0,2.201,1.431,2.543,4.984,10.543,0.078
288,14,0,22.185,249.602,0,2.625,1.404,2.487,4.904,10.542,0.047
289,14,1,20.571,250.875,0,2.530,1.479,2.719,5.531,12.165,0.027
290,14,2,19.741,252.864,0,2.592,1.396,2.446,4.747,9.988,0.062
291,14,3,19.804,252.581,0,2.709,1.351,2.279,4.234,8.503,0.038
292,14,4,19.656,253.359,0,3.265,1.455,2.671,5.478,12.244,0.029
293,14,5,20.889,253.983,0,2.825,1.609,3.212,7.113,16.999,0.011
294,14,6,20.101,255.214,0,4.024,1.596,3.122,6.727,15.579,0.012
295,14,7,19.309,256.297,0,2.943,1.351,2.340,4.554,9.751,0.025
296,14,8,19.641,256.676,0,3.430,1.480,2.739,5.635,12.588,0.013
297,14,9,20.160,257.275,0,1.967,1.471,2.715,5.573,12.424,0.041
298,14,10,20.832,256.840,0,2.632,1.317,2.189,4.025,8.036,0.071
299,14,11,21.526,257.266,0,2.023,1.388,2.370,4.405,8.723,0.090
300,14,12,20.997,256.080,0,1.488,1.370,2.401,4.684,9.943,0.031
301,14,13,20.210,255.744,0,1.594,1.192,1.819,3.042,5.495,0.012
302,14,14,19.425,256.046,0,2.468,1.344,2.276,4.258,8.634,0.040
303,14,15,19.550,255.856,0,2.087,1.248,1.974,3.433,6.465,0.017
304,14,16,19.543,255.706,0,2.406,1.295,2.090,3.684,6.958,0.023
305,14,17,20.586,255.750,0,2.033,1.292,2.098,3.741,7.183,0.053
306,15,0,43.303,251.819,0,1.786,1.406,2.473,4.820,10.196,0.070
307,15,1,42.925,250.426,0,3.087,1.328,2.220,4.103,8.226,0.057
308,15,2,42.911,250.313,0,3.081,1.409,2.481,4.842,10.261,0.053
309,15,3,42.005,251.597,0,3.693,1.416,2.507,4.903,10.354,0.012
310,15,4,42.213,252.376,0,3.899,1.380,2.365,4.453,9.026,0.019
311,15,5,42.116,251.714,0,3.237,1.431,2.535,4.949,10.420,0.019
312,15,6,42.912,252.137,0,3.560,1.430,2.557,5.075,10.949,0.019
313,15,7,42.884,252.027,0,3.950,1.428,2.568,5.127,11.109,0.021
314,15,8,41.897,250.593,0,2.524,1.621,3.210,6.979,16.242,0.011
315,15,9,41.747,248.973,0,1.789,1.393,2.444,4.749,10.000,0.072
316,15,10,40.821,249.259,0,2.566,1.320,2.211,4.108,8.313,0.065
317,15,11,40.084,248.218,0,2.909,1.360,2.322,4.370,8.893,0.038
318,15,12,39.996,248.986,0,1.857,1.399,2.518,5.068,11.112,0.053
319,15,13,39.905,249.830,0,2.286,1.405,2.471,4.795,10.049,0.060
