 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,383.491,4.753,0,0.993,1.390,2.511,5.104,11.390,0.097
2,1,1,381.581,3.910,0,1.040,1.455,2.746,5.852,13.662,0.058
3,1,2,381.314,4.785,0,1.167,1.436,2.642,5.447,12.268,0.063
4,2,0,375.226,18.300,0,1.546,1.325,2.203,4.046,8.073,0.014
5,2,1,374.435,17.553,0,1.220,1.566,3.007,6.377,14.567,0.052
6,2,2,373.741,16.830,0,1.831,1.423,2.535,4.987,10.577,0.032
7,2,3,372.886,16.987,0,1.611,1.437,2.630,5.370,11.917,0.018
8,2,4,370.857,19.272,0,1.211,1.549,3.036,6.631,15.682,0.055
9,2,5,370.616,20.254,0,1.319,1.401,2.465,4.810,10.177,0.052
10,2,6,370.940,20.020,0,1.649,1.452,2.693,5.571,12.530,0.015
11,2,7,369.397,19.765,0,1.148,1.528,2.924,6.203,14.232,0.041
12,2,8,371.936,20.648,0,2.325,1.437,2.550,4.975,10.441,0.020
13,2,9,372.651,19.337,0,1.672,1.359,2.353,4.531,9.504,0.015
14,2,10,373.608,19.394,0,1.397,1.367,2.356,4.502,9.335,0.014
15,2,11,372.544,19.813,0,1.586,1.424,2.570,5.175,11.363,0.020
16,2,12,371.443,20.490,0,1.805,1.372,2.367,4.498,9.238,0.033
17,2,13,370.479,23.717,0,1.393,1.434,2.564,5.055,10.741,0.060
18,2,14,369.990,25.834,0,0.951,1.402,2.576,5.343,12.154,0.079
19,2,15,371.665,26.402,0,1.235,1.533,2.874,5.938,13.204,0.044
20,2,16,372.275,27.224,0,1.702,1.389,2.405,4.567,9.308,0.027
21,2,17,371.652,28.211,0,1.501,1.473,2.733,5.683,12.920,0.017
22,2,18,371.311,28.196,0,1.424,1.334,2.235,4.132,8.279,0.025
23,3,0,340.101,43.876,0,1.427,1.429,2.574,5.137,11.093,0.036
24,3,1,339.728,43.746,0,1.212,1.349,2.351,4.608,9.950,0.017
25,3,2,341.083,43.400,0,2.081,1.430,2.560,5.078,10.922,0.034
26,3,3,342.648,42.379,0,1.222,1.442,2.659,5.542,12.704,0.044
27,3,4,342.196,42.667,0,1.705,1.404,2.474,4.871,10.484,0.032
28,3,5,341.385,43.278,0,1.703,1.493,2.794,5.817,13.152,0.026
29,3,6,341.035,42.296,0,1.423,1.440,2.576,5.081,10.819,0.032
30,3,7,340.958,41.392,0,1.434,1.405,2.521,5.080,11.237,0.044
31,3,8,340.775,41.338,0,1.746,1.483,2.740,5.623,12.515,0.029
32,3,9,342.721,41.013,0,2.055,1.469,2.692,5.454,11.940,0.015
33,3,10,343.145,41.772,0,2.477,1.363,2.328,4.372,8.839,0.019
34,3,11,341.963,41.725,0,2.132,1.396,2.500,5.027,11.078,0.016
35,3,12,341.463,41.726,0,2.457,1.317,2.169,3.901,7.521,0.023
36,3,13,340.397,42.441,0,2.405,1.275,2.051,3.647,7.058,0.016
37,3,14,340.711,43.248,0,1.910,1.376,2.345,4.390,8.853,0.026
38,3,15,338.059,42.991,0,2.033,1.546,3.025,6.614,15.671,0.020
39,3,16,337.385,42.771,0,2.210,1.301,2.159,3.966,7.917,0.016
40,3,17,338.531,41.776,0,2.708,1.318,2.164,3.891,7.509,0.016
41,3,18,338.638,42.499,0,2.128,1.408,2.478,4.812,10.094,0.028
42,3,19,338.257,43.376,0,1.659,1.307,2.165,3.956,7.818,0.013
43,3,20,337.743,44.625,0,2.124,1.575,3.052,6.502,14.838,0.013
