 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,80.755,199.156,0,1.148,1.453,2.619,5.205,11.165,0.213
2,1,1,80.706,198.606,0,1.221,1.421,2.479,4.740,9.736,0.250
3,1,2,80.196,198.359,0,1.217,1.418,2.539,5.052,10.928,0.169
4,1,3,80.266,198.051,0,1.118,1.449,2.652,5.404,11.959,0.169
5,1,4,81.022,200.600,0,1.050,1.584,3.087,6.642,15.382,0.210
6,2,0,49.131,244.893,0,4.552,1.455,2.640,5.304,11.537,0.200
7,2,1,49.363,245.153,0,5.317,1.444,2.598,5.168,11.119,0.250
8,2,2,48.931,245.062,0,5.935,1.461,2.666,5.386,11.769,0.167
9,2,3,48.765,245.039,0,5.603,1.440,2.598,5.201,11.287,0.167
10,2,4,48.898,244.799,0,5.757,1.445,2.601,5.169,11.098,0.167
11,2,5,48.841,245.137,0,6.202,1.449,2.625,5.263,11.413,0.200
12,2,6,48.761,245.159,0,6.228,1.444,2.601,5.182,11.163,0.200
13,2,7,48.905,245.224,0,6.342,1.450,2.620,5.227,11.261,0.200
14,2,8,48.791,245.232,0,6.155,1.430,2.550,5.026,10.707,0.167
15,2,9,48.706,244.846,0,7.395,1.414,2.489,4.835,10.145,0.250
16,2,10,49.228,245.142,0,6.449,1.405,2.466,4.783,10.029,0.143
17,2,11,49.089,245.123,0,6.617,1.446,2.608,5.195,11.178,0.143
18,2,12,48.773,245.047,0,7.317,1.421,2.522,4.957,10.552,0.200
19,2,13,49.148,244.897,0,6.869,1.430,2.553,5.044,10.785,0.250
20,2,14,49.548,245.211,0,6.392,1.384,2.396,4.580,9.464,0.250
21,2,15,49.012,245.194,0,6.629,1.437,2.576,5.104,10.920,0.250
22,2,16,49.626,245.449,0,5.353,1.402,2.454,4.740,9.895,0.167
23,2,17,49.500,245.291,0,5.166,1.380,2.382,4.528,9.294,0.167
24,2,18,49.230,245.119,0,6.636,1.403,2.461,4.765,9.975,0.250
25,2,19,48.447,244.771,0,7.063,1.379,2.375,4.507,9.233,0.200
26,2,20,48.613,244.826,0,6.665,1.381,2.378,4.508,9.223,0.250
27,2,21,48.777,244.768,0,6.252,1.379,2.375,4.512,9.261,0.250
28,2,22,48.556,244.736,0,6.935,1.377,2.369,4.495,9.223,0.200
29,2,23,48.097,244.842,0,5.891,1.433,2.561,5.054,10.777,0.167
30,2,24,48.056,244.618,0,6.106,1.419,2.510,4.897,10.326,0.137
31,2,25,47.775,244.378,0,5.431,1.416,2.493,4.833,10.103,0.404
32,2,26,47.990,244.530,0,4.476,1.446,2.606,5.191,11.167,0.250
33,2,27,48.449,244.847,0,4.789,1.439,2.572,5.070,10.780,0.250
34,2,28,47.885,244.661,0,4.685,1.445,2.586,5.098,10.828,0.200
35,2,29,48.112,244.561,0,5.455,1.412,2.486,4.825,10.109,0.250
36,2,30,47.783,244.425,0,5.212,1.371,2.354,4.452,9.087,0.250
37,2,31,47.544,244.274,0,4.436,1.390,2.416,4.628,9.578,0.252
38,2,32,47.942,244.362,0,4.554,1.418,2.517,4.942,10.499,0.251
39,2,33,47.799,244.459,0,3.921,1.421,2.521,4.942,10.482,0.488
40,2,34,48.165,244.836,0,3.854,1.502,2.804,5.795,12.945,0.250
41,2,35,47.653,245.360,0,4.889,1.392,2.420,4.650,9.664,0.353
42,2,36,48.233,244.872,0,4.288,1.474,2.701,5.470,11.959,0.250
43,2,37,48.211,244.590,0,4.202,1.389,2.417,4.653,9.702,0.200
44,2,38,48.101,244.424,0,3.882,1.458,2.645,5.298,11.455,0.200
45,2,39,47.839,244.322,0,4.326,1.408,2.484,4.849,10.258,0.200
46,2,40,47.878,244.578,0,3.835,1.410,2.481,4.814,10.085,0.250
47,2,41,47.426,245.297,0,4.426,1.414,2.495,4.863,10.247,0.250
48,2,42,47.755,245.385,0,4.663,1.435,2.558,5.029,10.677,0.200
49,2,43,47.353,244.641,0,3.485,1.414,2.498,4.878,10.311,0.143
50,2,44,47.668,244.752,0,4.115,1.410,2.479,4.809,10.083,0.167
51,2,45,47.597,244.749,0,3.886,1.419,2.499,4.846,10.132,0.167
52,2,46,48.528,244.920,0,4.703,1.424,2.520,4.916,10.354,0.182
