 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,345.040,172.865,0,2.309,1.459,2.643,5.293,11.450,0.077
2,1,1,344.822,172.914,0,2.777,1.441,2.582,5.105,10.899,0.097
3,1,2,345.046,172.911,0,2.246,1.411,2.508,4.954,10.631,0.139
4,1,3,344.853,172.755,0,2.716,1.396,2.427,4.649,9.611,0.069
5,1,4,344.626,172.724,0,2.883,1.435,2.562,5.048,10.753,0.075
6,1,5,344.477,172.981,0,2.654,1.395,2.442,4.744,10.020,0.136
7,1,6,344.429,173.384,0,2.988,1.370,2.347,4.430,9.042,0.074
8,1,7,344.839,172.632,0,2.531,1.486,2.761,5.707,12.804,0.074
9,1,8,344.997,173.063,0,2.510,1.442,2.640,5.412,12.131,0.067
10,1,9,344.958,173.107,0,2.553,1.426,2.577,5.211,11.511,0.069
11,1,10,344.489,173.233,0,2.549,1.330,2.199,3.972,7.686,0.065
12,1,11,344.717,173.169,0,2.196,1.385,2.413,4.675,9.869,0.134
13,1,12,344.534,173.584,0,2.740,1.349,2.273,4.215,8.436,0.083
14,1,13,344.158,173.690,0,2.934,1.446,2.635,5.359,11.878,0.071
15,1,14,344.522,173.866,0,1.701,1.426,2.599,5.313,11.886,0.082
16,1,15,344.587,174.288,0,1.903,1.384,2.384,4.521,9.248,0.177
17,1,16,345.042,173.800,0,2.027,1.494,2.813,5.923,13.575,0.083
18,1,17,344.723,174.336,0,1.923,1.412,2.459,4.688,9.590,0.177
19,1,18,344.787,174.077,0,2.058,1.423,2.518,4.909,10.332,0.104
20,1,19,344.733,174.145,0,2.072,1.402,2.437,4.653,9.556,0.102
21,1,20,344.402,173.594,0,2.482,1.345,2.251,4.127,8.121,0.105
22,1,21,344.317,173.862,0,2.727,1.391,2.421,4.663,9.742,0.074
23,1,22,344.776,173.775,0,2.232,1.377,2.374,4.530,9.377,0.083
24,1,23,344.621,173.453,0,2.156,1.374,2.346,4.405,8.918,0.079
25,1,24,344.499,173.786,0,1.712,1.377,2.364,4.475,9.162,0.135
26,1,25,344.678,174.207,0,1.524,1.418,2.485,4.780,9.891,0.118
27,1,26,344.332,173.161,0,2.086,1.407,2.446,4.660,9.530,0.133
28,1,27,343.246,172.546,0,2.122,1.429,2.581,5.210,11.490,0.091
29,1,28,343.387,173.309,0,1.864,1.384,2.391,4.552,9.368,0.132
30,1,29,343.852,173.419,0,1.559,1.387,2.390,4.513,9.153,0.091
31,1,30,343.438,172.786,0,2.085,1.367,2.338,4.406,8.960,0.109
32,1,31,343.113,171.911,0,2.088,1.481,2.772,5.795,13.198,0.176
33,1,32,343.188,171.463,0,2.425,1.554,3.011,6.484,15.119,0.063
34,1,33,343.105,170.432,0,3.360,1.606,3.162,6.863,16.002,0.053
35,1,34,342.801,170.316,0,2.902,1.571,3.024,6.405,14.566,0.082
36,1,35,342.650,170.662,0,3.100,1.639,3.259,7.103,16.554,0.053
37,1,36,342.761,170.408,0,3.757,1.546,2.930,6.102,13.641,0.056
38,1,37,342.351,170.345,0,3.260,1.557,2.974,6.251,14.110,0.113
39,1,38,341.668,169.790,0,3.268,1.576,3.045,6.487,14.864,0.090
40,1,39,342.383,169.512,0,3.266,1.571,3.018,6.371,14.439,0.093
41,1,40,343.131,170.540,0,2.707,1.591,3.126,6.790,15.872,0.067
42,1,41,340.969,169.625,0,3.138,1.625,3.238,7.109,16.756,0.059
43,1,42,343.900,170.632,0,2.656,1.548,2.999,6.467,15.118,0.059
44,1,43,343.392,170.680,0,2.905,1.596,3.150,6.890,16.258,0.059
45,1,44,344.013,170.833,0,2.470,1.459,2.686,5.523,12.394,0.068
46,1,45,343.199,171.197,0,3.072,1.555,3.007,6.454,14.979,0.134
47,1,46,343.065,171.374,0,3.693,1.546,2.956,6.249,14.257,0.093
48,1,47,343.224,171.450,0,3.336,1.535,2.924,6.168,14.061,0.071
49,1,48,343.343,171.660,0,2.894,1.405,2.529,5.117,11.359,0.122
50,1,49,342.277,172.382,0,3.861,1.642,3.354,7.609,18.614,0.067
51,1,50,343.162,171.704,0,2.988,1.372,2.374,4.567,9.571,0.072
