Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,44.25131,86.51804,0,2.22017,1.39706,2.43030,4.65663,9.62742,0.50000
1,1,45.19242,86.63071,0,2.37072,1.37227,2.35932,4.47945,9.20832,0.33759
1,2,46.70241,86.82546,0,2.79820,1.44331,2.58845,5.11804,10.91279,0.26636
2,0,15.29839,126.50941,0,3.94652,1.37147,2.33999,4.38274,8.83317,0.50000
2,1,16.13239,126.56852,0,2.50110,1.39058,2.42556,4.67860,9.77497,0.39212
2,2,16.47599,127.30202,0,2.45524,1.32375,2.18408,3.95119,7.69182,0.25000
3,1,90.34250,81.39919,0,2.62067,1.43441,2.55012,4.97968,10.45113,0.30809
3,2,90.16363,80.99373,0,2.69759,1.50545,2.80553,5.77324,12.80996,0.26428
3,3,90.87526,81.87385,0,2.89601,1.47698,2.69728,5.42399,11.73666,0.38077
3,4,90.99327,81.55117,0,3.05075,1.45022,2.62819,5.27548,11.46404,0.50238
3,5,90.83873,81.33325,0,4.19025,1.40702,2.46795,4.76949,9.94434,0.25000
3,6,90.88618,81.79498,0,2.92840,1.45230,2.63217,5.27807,11.44434,0.25018
3,7,90.53737,81.25776,0,2.61219,1.40901,2.45153,4.67121,9.54133,0.26792
4,2,131.46672,73.71356,0,3.08762,1.41236,2.47858,4.79208,10.00143,0.25208
4,3,131.22363,73.25066,0,2.73559,1.42968,2.55191,5.04276,10.79577,0.68250
4,4,131.32780,73.35506,0,3.05564,1.36052,2.30125,4.26325,8.47576,0.50238
4,5,133.16266,73.62602,0,2.49240,1.43299,2.55080,5.01213,10.64432,0.28238
4,6,132.91719,74.12678,0,2.56973,1.41487,2.50368,4.90660,10.42102,0.26311
4,7,132.66667,73.86852,0,2.54986,1.49296,2.75193,5.59065,12.23339,0.25565
5,5,7.90254,122.64424,0,2.23261,1.39765,2.44700,4.73915,9.94019,0.25500
5,6,7.75078,121.50156,0,2.43816,1.47946,2.70845,5.47052,11.91643,0.26294
5,7,9.83434,121.47851,0,3.66854,1.49232,2.73996,5.52595,11.97111,0.25000
5,8,11.41748,120.55108,0,2.84179,1.42306,2.52877,4.96753,10.55991,0.35238
5,9,11.48418,120.87989,0,3.09115,1.37444,2.37263,4.53198,9.39150,0.50001
5,10,13.12226,121.39567,0,2.78346,1.43564,2.55757,5.01965,10.61821,0.33445
6,7,52.85796,76.35606,0,2.38418,1.42254,2.50997,4.86709,10.14889,0.26905
6,8,53.36741,77.40946,0,2.61391,1.45011,2.60172,5.13904,10.93760,0.35238
6,9,53.57971,78.55145,0,2.62310,1.35606,2.28047,4.19186,8.25534,0.50001
6,10,53.46756,78.14938,0,3.10097,1.40161,2.44314,4.68902,9.70610,0.33446
6,11,53.18471,78.31266,0,2.73714,1.36524,2.32048,4.34262,8.77542,0.25370
6,12,53.05267,78.65384,0,2.20690,1.41631,2.50703,4.91445,10.44574,0.34103
7,10,92.62494,81.07323,0,3.53614,1.44541,2.59952,5.16495,11.08667,0.33334
7,11,92.99191,81.13346,0,2.56523,1.42826,2.55436,5.05887,10.84969,0.25376
7,12,93.59563,80.59092,0,2.10359,1.34717,2.25265,4.11492,8.04694,0.34103
7,13,93.84309,80.30310,0,1.70484,1.41566,2.49195,4.83819,10.14116,0.27988
7,14,93.45245,80.25941,0,2.17666,1.39541,2.41811,4.59763,9.39386,0.43913
7,15,92.74049,80.54910,0,2.01941,1.35257,2.26648,4.15139,8.14698,0.33335
7,16,91.86240,81.00689,0,1.98297,1.43371,2.56911,5.10100,10.97329,0.26147
7,17,92.16630,81.42048,0,2.06122,1.40249,2.45994,4.76846,10.00644,0.33336
7,18,91.45210,82.07906,0,1.64647,1.45875,2.65604,5.35801,11.70435,0.25795
8,12,27.23182,157.74634,0,2.73655,1.42593,2.51951,4.90360,10.29449,0.33333
8,13,26.04972,156.94144,0,2.41558,1.49634,2.78516,5.73225,12.73701,0.20000
8,14,24.82416,155.93124,0,2.13062,1.43892,2.58384,5.13018,11.01183,0.70637
8,15,26.40163,155.36110,0,2.93782,1.44365,2.59205,5.14509,11.05242,0.33333
8,16,27.54131,156.13858,0,2.14016,1.48796,2.76126,5.67518,12.61755,0.26147
8,17,28.63063,156.85628,0,2.43587,1.46816,2.67994,5.40718,11.78292,0.33336
8,18,29.61512,157.72180,0,1.90256,1.44838,2.59667,5.13465,10.96420,0.27066
9,14,51.60744,79.86016,0,2.11182,1.46179,2.62797,5.18655,11.00011,0.66031
9,15,52.02706,80.87031,0,1.74985,1.44591,2.62160,5.26542,11.44730,0.33335
9,16,51.29436,81.63063,0,1.53952,1.37108,2.33619,4.36771,8.78431,0.35414
9,17,51.65938,81.37496,0,1.55747,1.32337,2.18862,3.96262,7.70314,0.33333
10,18,68.62639,38.11993,0,2.02578,1.50442,2.80717,5.78183,12.83334,0.26282
10,19,69.57871,37.34081,0,2.16909,1.39880,2.45103,4.74470,9.93493,0.50000
11,19,8.43140,112.73592,0,2.83548,1.39652,2.41511,4.58200,9.34410,0.50000
11,20,8.34678,111.75706,0,4.00818,1.44061,2.56541,5.02822,10.61999,0.50000
11,21,9.73847,110.80926,0,4.09380,1.40356,2.44912,4.70346,9.73883,0.50000
11,22,11.75803,110.12899,0,2.36769,1.44868,2.61399,5.22107,11.29200,0.39255
12,20,27.74919,157.59789,0,2.76689,1.43834,2.55313,4.96771,10.36975,0.50000
12,21,27.89055,158.60182,0,2.96218,1.43115,2.55203,5.02367,10.68430,0.50000
12,22,28.40136,159.26015,0,2.72099,1.40509,2.46243,4.75952,9.93633,0.37252
13,22,36.14352,108.27565,0,2.51813,1.42072,2.50446,4.86209,10.17630,0.43132
13,23,37.13082,108.62634,0,1.66280,1.40185,2.45057,4.71527,9.77254,0.33335
14,23,90.60233,81.53396,0,2.39898,1.37236,2.33167,4.32377,8.57124,0.33333
14,24,92.30310,82.16071,0,3.37010,1.44958,2.61213,5.19176,11.13252,0.50000
14,25,92.77699,81.67928,0,3.20177,1.42779,2.53259,4.95316,10.45676,0.50000
14,26,92.29070,82.51276,0,2.11739,1.42843,2.53815,4.96678,10.48042,0.33771
14,27,93.38715,83.38554,0,3.15820,1.38614,2.38795,4.52205,9.22788,0.50000
15,25,11.71902,110.29051,0,2.53891,1.57455,3.03415,6.43146,14.64332,0.50000
15,26,11.91867,112.66617,0,2.96654,1.49119,2.75249,5.60221,12.28161,0.33333
15,27,11.78669,111.57528,0,2.72280,1.49056,2.74511,5.57527,12.20595,0.50000
15,28,14.30562,111.12326,0,2.52900,1.50704,2.80431,5.75182,12.70105,0.23263
15,29,16.59884,111.47773,0,2.52951,1.67920,3.42391,7.65316,18.27735,0.33333
16,28,49.38734,78.41283,0,1.77167,1.38006,2.34957,4.37530,8.73331,0.30492
16,29,48.73817,78.08635,0,2.73903,1.42803,2.53692,4.97577,10.54476,0.33333
16,30,47.93526,76.89946,0,2.71610,1.43634,2.57361,5.09865,10.92680,0.50000
16,31,48.64995,77.13734,0,2.50921,1.42206,2.51917,4.92927,10.42689,0.50000
16,32,49.63834,77.72177,0,1.61909,1.48450,2.71919,5.47025,11.82094,0.28404
16,33,49.88478,77.91661,0,1.28861,1.43924,2.59808,5.19089,11.21845,0.41369
16,34,49.22225,79.08884,0,1.70154,1.42342,2.53734,5.00753,10.70464,0.59534
17,29,92.16154,84.26061,0,2.17787,1.42514,2.51986,4.90219,10.26969,0.33333
17,30,92.27018,84.58970,0,3.75525,1.39797,2.42975,4.64141,9.54346,0.50000
17,31,92.79523,85.22650,0,3.50799,1.39318,2.41656,4.61137,9.48028,0.50000
17,32,94.17349,85.71829,0,1.77286,1.43728,2.59079,5.19603,11.33853,0.28361
18,32,19.22256,112.91438,0,1.48210,1.55152,3.04873,6.69228,15.93202,0.25043
18,33,13.79759,110.70428,0,1.44220,1.42278,2.52833,4.96071,10.51087,0.41369
19,32,30.73741,118.59937,0,1.97270,1.63333,3.22799,6.97599,16.09532,0.25000
19,33,30.19079,118.35081,0,2.33141,1.49409,2.77182,5.68289,12.57421,0.33333
20,34,70.55716,33.87595,0,1.63630,1.42125,2.51369,4.90468,10.33645,0.59534
20,35,69.67859,34.24728,0,1.82613,1.38695,2.39318,4.53456,9.23892,0.33476
20,36,69.21387,34.51148,0,2.22136,1.39727,2.41859,4.59047,9.35683,0.28685
20,37,68.87695,34.52288,0,2.09328,1.40432,2.45925,4.73749,9.82836,0.36134
21,34,133.02991,141.16719,0,2.41038,1.55323,2.97715,6.29178,14.30037,0.33333
21,35,133.09508,140.46561,0,2.00928,1.52448,2.86493,5.93323,13.22711,0.33334
21,36,132.68027,140.51109,0,2.91197,1.57236,3.03475,6.44502,14.69923,0.25000
21,37,132.02721,140.61150,0,2.44282,1.55448,2.98971,6.35342,14.54776,0.25000
21,38,131.30629,140.56818,0,2.65873,1.50782,2.81407,5.81507,12.99736,0.25000
21,39,132.62331,140.48604,0,2.13843,1.56079,3.01139,6.41760,14.72883,0.33333
22,35,95.39294,87.04221,0,1.57818,1.44209,2.61147,5.24311,11.40229,0.33476
22,36,94.38708,87.02164,0,2.05663,1.44555,2.60344,5.18119,11.14232,0.26167
23,36,60.76733,117.51589,0,2.37390,1.34651,2.26815,4.19563,8.35700,0.27520
23,37,61.14748,118.17850,0,2.04301,1.36938,2.34242,4.40697,8.93515,0.36134
23,38,61.95118,118.34288,0,1.81715,1.40946,2.48516,4.84249,10.21243,0.29012
23,39,61.09145,117.89147,0,1.81449,1.43114,2.57170,5.12094,11.04496,0.33333
23,40,60.42752,119.46383,0,1.50893,1.40098,2.46182,4.79190,10.11887,0.57643
24,38,48.72488,90.52925,0,2.00399,1.40470,2.44218,4.65998,9.55552,0.29772
24,39,49.20990,90.72267,0,2.64134,1.42564,2.52805,4.94075,10.41973,0.33333
24,40,48.82589,90.66290,0,2.32955,1.44388,2.59170,5.13857,11.01038,0.33333
25,41,20.35930,111.52386,0,2.31479,1.65532,3.32741,7.33874,17.32621,0.50000
25,42,23.20472,111.07024,0,1.90669,1.58730,3.11943,6.79491,15.96515,0.25000
26,42,61.34898,117.73988,0,1.80657,1.43835,2.56016,5.00731,10.53404,0.28099
26,43,61.03677,117.38236,0,2.09738,1.42649,2.53697,4.97339,10.50932,0.25002
26,44,61.25556,117.89728,0,1.51340,1.44842,2.61636,5.22471,11.27741,0.33577
26,45,61.48429,118.77326,0,2.27188,1.40681,2.47577,4.82160,10.17720,0.35235
26,46,61.11970,118.62322,0,2.50857,1.47064,2.68504,5.41724,11.80574,0.33338
26,47,60.58482,119.47906,0,2.08127,1.46907,2.65923,5.29155,11.32730,0.31709
27,42,31.77585,122.06038,0,1.60333,1.41923,2.53902,5.04160,10.86059,0.28099
27,43,31.77362,121.46362,0,1.66072,1.42884,2.54208,4.99796,10.63240,0.25192
27,44,30.34701,120.26576,0,1.31614,1.39273,2.46031,4.84610,10.40699,0.36196
27,45,30.26009,119.52803,0,1.74280,1.37817,2.36582,4.45871,9.03745,0.33631
27,46,30.51418,119.30824,0,1.87971,1.41480,2.49842,4.87437,10.28392,0.33547
28,42,22.89580,129.89825,0,2.30282,1.41869,2.51342,4.91173,10.35920,0.25000
28,43,22.58677,129.91870,0,1.40840,1.48999,2.77635,5.71532,12.67427,0.36256
29,43,36.76925,108.33061,0,1.35711,1.46316,2.66038,5.34334,11.59707,0.36313
29,44,37.82883,108.64575,0,1.44968,1.40006,2.47503,4.87826,10.49191,0.42661
29,45,38.30165,109.65153,0,2.04925,1.37909,2.38794,4.57179,9.48235,0.35532
30,46,92.45276,83.82587,0,2.08885,1.48796,2.73776,5.55475,12.14429,0.33551
30,47,92.95411,82.69489,0,2.05955,1.50512,2.82002,5.85495,13.14837,0.32838
30,48,93.62981,83.98331,0,2.59170,1.41559,2.50163,4.87839,10.27124,0.33333
30,49,93.95966,84.08676,0,2.59233,1.46318,2.67962,5.44516,11.98757,0.33333
30,50,93.79846,85.29034,0,1.92820,1.44629,2.59289,5.12814,10.94885,0.61802
31,47,14.44617,103.81647,0,1.54966,1.49700,2.82697,5.94844,13.60176,0.25000
31,48,14.63282,103.12782,0,1.90647,1.47159,2.71356,5.55193,12.30412,0.35102
31,49,14.78656,101.47369,0,3.29438,1.55082,2.95443,6.19452,13.95353,0.33333
32,49,22.35029,109.32328,0,1.88570,1.41595,2.48750,4.81100,10.03344,0.33333
32,50,23.16846,110.00405,0,1.73130,1.52754,2.90212,6.08662,13.74384,0.33406
32,51,22.57682,109.41888,0,1.78009,1.54726,2.92970,6.09161,13.59056,0.34183
32,52,22.30108,108.85269,0,1.54278,1.53545,2.90297,6.04838,13.55937,0.25011
33,50,37.77999,108.07407,0,1.97654,1.45036,2.62198,5.25268,11.40541,0.61795
33,51,37.64083,108.49784,0,2.64221,1.36891,2.32071,4.30030,8.53402,0.33333
33,52,37.43540,108.21239,0,1.70979,1.41354,2.49017,4.84367,10.18953,0.29031
33,53,37.18874,107.75771,0,2.46105,1.42638,2.53625,4.98090,10.57241,0.33333
33,54,37.09186,108.01140,0,2.48583,1.48193,2.72867,5.56188,12.25876,0.33333
33,55,35.56303,108.09136,0,2.21606,1.36891,2.36080,4.51333,9.37332,0.20389
34,51,63.60572,36.78502,0,1.56252,1.49552,2.76826,5.64255,12.37404,0.34183
34,52,63.30310,36.13007,0,1.52895,1.38873,2.42848,4.70953,9.92089,0.29257
35,52,94.98071,87.32270,0,1.27905,1.44095,2.60585,5.23914,11.44249,0.25239
35,53,95.26183,87.35327,0,1.62079,1.39209,2.42154,4.65742,9.70403,0.33333
35,54,94.57707,86.89541,0,1.71908,1.46488,2.66262,5.34241,11.57023,0.33333
