Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,118.46866,149.69678,0,3.72035,1.54051,2.92603,6.13767,13.87980,0.25000
1,1,118.59588,150.27594,0,2.88375,1.55918,3.00076,6.37317,14.57083,0.33434
1,2,118.78511,150.32640,0,2.64030,1.58615,3.11450,6.75357,15.75413,0.25129
1,3,120.18921,149.32320,0,4.63041,1.49604,2.76286,5.62653,12.35235,0.33333
1,4,120.61940,149.54820,0,3.77917,1.58231,3.07425,6.58277,15.15459,0.25009
1,5,120.46882,149.50597,0,3.29074,1.58481,3.08214,6.60441,15.20726,0.33333
1,6,120.46497,149.25801,0,2.75049,1.56589,3.03799,6.51773,15.07680,0.33333
1,7,120.18259,148.17938,0,4.39956,1.54362,2.94547,6.21185,14.12560,0.33333
2,0,32.18548,193.31914,0,2.21536,1.42202,2.52133,4.94226,10.48660,0.26161
2,1,31.89897,193.31876,0,2.79065,1.46690,2.67295,5.38045,11.69660,0.33434
2,2,31.76650,193.70955,0,2.63085,1.50305,2.79017,5.70523,12.55497,0.28096
3,1,65.02866,127.20735,0,4.22201,1.41440,2.49999,4.88528,10.33107,0.33333
3,2,65.05895,126.58603,0,2.74201,1.41179,2.48712,4.83505,10.15687,0.35607
3,3,65.27921,127.29070,0,2.93353,1.43432,2.55867,5.03934,10.72863,0.33333
3,4,65.19511,127.72655,0,3.65374,1.40911,2.47639,4.80073,10.05347,0.27591
3,5,64.72585,127.59330,0,2.56176,1.40833,2.46816,4.75771,9.87373,0.33584
4,3,66.13631,114.06580,0,3.60985,1.45538,2.63911,5.30002,11.52535,0.33333
4,4,64.77293,114.21757,0,3.69377,1.46927,2.68553,5.43356,11.89492,0.27600
5,4,108.10918,22.45722,0,2.82698,1.39694,2.43015,4.65545,9.62166,0.25000
5,5,108.57069,24.47133,0,2.82057,1.45712,2.64366,5.30008,11.48696,0.33584
5,6,109.25938,24.80722,0,3.10299,1.46202,2.64768,5.28273,11.35703,0.33377
5,7,108.72332,23.52713,0,2.75191,1.40508,2.43960,4.63625,9.44459,0.33333
6,6,36.64071,20.11205,0,3.44901,1.42554,2.53329,4.97206,10.54630,0.33377
6,7,36.28798,19.80321,0,3.54458,1.42645,2.52453,4.92530,10.37479,0.33333
6,8,36.90891,20.13266,0,3.06018,1.49427,2.76794,5.66638,12.52167,0.33333
7,8,90.54388,84.20279,0,2.02893,1.43931,2.58593,5.13904,11.05064,0.33333
7,9,90.77599,84.41427,0,1.74976,1.39705,2.43405,4.67382,9.68341,0.52807
7,10,90.60603,84.15137,0,1.96263,1.38706,2.40537,4.61651,9.60767,0.50039
7,11,89.74210,83.86254,0,1.85244,1.40397,2.46417,4.76774,9.95500,0.33442
7,12,90.68881,83.86065,0,1.75982,1.42473,2.53550,5.00012,10.68831,0.50001
7,13,90.81020,84.02068,0,2.86742,1.51870,2.86498,5.98056,13.47329,0.86977
7,14,90.91634,83.63576,0,2.87926,1.57511,3.05895,6.55881,15.14668,0.50000
7,15,90.77750,83.07613,0,3.20300,1.49968,2.79080,5.74315,12.76728,0.42183
7,16,90.97884,83.16427,0,2.82431,1.47840,2.72364,5.56260,12.30617,0.33358
7,17,91.55789,83.46972,0,2.49488,1.51669,2.85482,5.95364,13.43077,0.33333
8,8,66.58787,128.62607,0,2.56551,1.46763,2.68927,5.46309,12.02038,0.33333
8,9,66.88248,128.59798,0,2.95449,1.43403,2.58118,5.15664,11.18003,0.33333
8,10,67.51495,128.12862,0,2.04840,1.49498,2.77375,5.70060,12.68215,0.50039
8,11,67.48123,127.66314,0,2.05993,1.47614,2.73158,5.62212,12.56642,0.33442
9,12,99.81828,131.68929,0,2.05672,1.52989,2.89685,6.05526,13.63894,0.50001
9,13,99.90929,131.76909,0,2.94477,1.52386,2.87214,5.97533,13.39719,0.86977
9,14,99.18723,131.45604,0,3.43377,1.43956,2.57750,5.09806,10.89966,0.50000
9,15,98.62264,129.81651,0,3.11812,1.50822,2.80796,5.77161,12.80022,0.42183
9,16,98.64779,129.09253,0,3.64613,1.45156,2.62526,5.24660,11.32981,0.33333
9,17,98.87935,128.76979,0,3.07365,1.46270,2.64312,5.25359,11.23582,0.33333
9,18,99.18282,129.09351,0,3.14310,1.41735,2.51433,4.93730,10.50088,0.33333
9,19,99.60682,127.32609,0,2.59111,1.42653,2.54448,5.02153,10.73214,0.44217
9,20,99.49036,127.19664,0,2.11709,1.38879,2.41498,4.64750,9.69847,0.33333
10,15,36.82406,18.68137,0,2.44744,1.52631,2.86228,5.90921,13.12354,0.25000
10,16,36.30478,17.30402,0,2.46985,1.44289,2.58728,5.11524,10.90769,0.33358
11,18,38.05123,17.41777,0,2.26021,1.49168,2.76731,5.68096,12.60630,0.49138
11,19,38.41230,18.40863,0,2.74260,1.46118,2.62545,5.17858,10.97525,0.50917
11,20,38.11306,18.30646,0,2.53665,1.47767,2.72289,5.56008,12.29615,0.47028
12,18,66.61140,125.92641,0,2.34897,1.51689,2.85126,5.93487,13.34673,0.49138
12,19,66.36508,125.75449,0,2.65159,1.48831,2.75146,5.62191,12.40355,0.46552
12,20,65.72607,125.52728,0,2.62901,1.50720,2.81913,5.83397,13.04373,0.47028
12,21,66.13282,125.92807,0,2.63586,1.48298,2.72062,5.50865,12.02917,0.35486
12,22,64.79609,126.11903,0,2.66917,1.43469,2.56793,5.07851,10.85107,0.33333
12,23,64.67960,126.22947,0,2.96292,1.46613,2.67291,5.39009,11.75458,0.50000
12,24,65.64949,126.80102,0,2.61884,1.46441,2.65308,5.29539,11.39234,0.50000
12,25,65.53462,127.37733,0,2.82237,1.46774,2.66151,5.31104,11.40975,0.50000
12,26,65.41470,127.52309,0,2.88147,1.40757,2.45850,4.71680,9.73782,0.33579
12,27,65.53957,128.20923,0,2.63059,1.45821,2.65271,5.34595,11.66776,0.50000
12,28,65.61788,129.32680,0,3.30824,1.42599,2.54535,5.03616,10.80986,0.51340
12,29,66.55859,129.43613,0,3.05283,1.47291,2.68638,5.41544,11.80354,0.51994
12,30,65.41555,130.13292,0,3.59197,1.47371,2.69725,5.45687,11.92953,0.50013
12,31,65.82441,130.34709,0,2.78666,1.49717,2.79915,5.81037,13.06882,0.50000
12,32,65.85781,130.32008,0,2.95489,1.51935,2.84568,5.86509,12.99511,0.50000
12,33,66.22957,130.11929,0,3.18456,1.45753,2.65154,5.34621,11.67593,0.50000
12,34,65.83537,130.47055,0,3.16685,1.52409,2.87903,6.01072,13.53625,0.50000
12,35,65.48682,130.84369,0,1.94535,1.49092,2.76319,5.65604,12.49136,0.60013
13,21,106.10143,23.71078,0,2.88227,1.49538,2.76359,5.63089,12.36629,0.34793
13,22,106.67834,23.13438,0,3.16726,1.45250,2.62134,5.22610,11.25741,0.33333
14,21,31.98508,193.24358,0,2.35839,1.48124,2.74233,5.62625,12.48493,0.34027
14,22,31.80460,193.81612,0,2.11087,1.42809,2.52405,4.90368,10.25099,0.33333
14,23,31.88226,194.30513,0,2.32209,1.43450,2.55816,5.03165,10.68113,0.50000
15,24,64.57112,114.43881,0,4.17755,1.37678,2.34598,4.37005,8.71776,0.50000
15,25,65.81551,115.35749,0,3.42122,1.41859,2.50373,4.86677,10.19891,0.50000
15,26,65.31476,115.38332,0,2.32933,1.44150,2.57501,5.07253,10.78866,0.33333
16,26,98.20235,127.53559,0,3.19471,1.40413,2.45055,4.71410,9.79421,0.33579
16,27,98.57889,128.39793,0,3.42375,1.39487,2.41031,4.57411,9.34546,0.50000
16,28,99.35381,129.07129,0,3.04034,1.43493,2.57019,5.09828,10.95600,0.51340
16,29,98.63508,129.65849,0,3.29296,1.45239,2.60403,5.13034,10.87193,0.51994
16,30,98.24271,129.39865,0,3.18587,1.48300,2.72597,5.52389,12.06277,0.50013
16,31,97.49092,129.16678,0,1.51150,1.51763,2.86947,6.00568,13.56814,0.50000
17,33,99.41512,131.10197,0,2.03671,1.58832,3.09514,6.64209,15.30713,0.50000
17,34,99.53800,131.78479,0,2.18753,1.48508,2.73894,5.59426,12.36675,0.50000
17,35,100.20966,131.38379,0,2.88396,1.43053,2.55264,5.02750,10.69334,0.33333
17,36,100.12884,131.52094,0,3.25121,1.52616,2.86256,5.90438,13.09152,0.50000
17,37,98.71597,130.67004,0,2.99205,1.45338,2.60873,5.14247,10.89716,0.33375
17,38,98.14889,130.16023,0,2.88675,1.44460,2.58741,5.11579,10.92389,0.38834
17,39,98.26083,130.38727,0,2.91592,1.39932,2.44253,4.69578,9.73896,0.33347
18,35,94.57643,83.96738,0,1.90741,1.47000,2.70830,5.54114,12.29054,0.60013
18,36,94.38538,83.74406,0,2.22731,1.46249,2.64647,5.26785,11.28659,0.50000
18,37,93.78260,83.41098,0,2.62650,1.44114,2.60219,5.20735,11.29114,0.33377
18,38,93.43643,83.30824,0,2.32720,1.42943,2.56193,5.10605,11.06996,0.40874
