Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,135.37901,88.31828,0,3.60526,1.36822,2.33068,4.35463,8.74438,0.50000
1,1,134.90375,88.63320,0,3.20490,1.44680,2.59482,5.13178,10.95010,0.81561
1,2,136.18800,89.71252,0,2.83460,1.41282,2.47483,4.76146,9.85266,0.50002
1,3,136.89676,88.63071,0,3.51200,1.42465,2.52751,4.94705,10.45873,0.33333
1,4,136.23164,88.40073,0,3.62438,1.42850,2.52631,4.91460,10.29674,0.50000
1,5,135.64505,89.32864,0,3.18533,1.38007,2.37106,4.48115,9.12804,0.33911
1,6,134.76405,89.68526,0,3.95837,1.47687,2.68127,5.34383,11.43911,1.00000
1,7,134.23636,89.63052,0,4.56228,1.42617,2.53409,4.97399,10.55891,0.50000
1,8,134.60706,90.19102,0,3.94452,1.43845,2.56452,5.03400,10.64755,0.50000
1,9,135.74471,92.13358,0,3.84854,1.41880,2.50428,4.88797,10.33195,0.25000
2,1,60.69626,59.64146,0,3.18224,1.47316,2.68804,5.40764,11.72454,0.81561
2,2,60.86398,59.09107,0,3.23851,1.46593,2.67065,5.38064,11.71796,0.50002
2,3,62.10432,57.81940,0,2.80895,1.44197,2.60034,5.19896,11.26942,0.35217
3,3,95.92672,47.47167,0,2.85547,1.37216,2.36517,4.51290,9.34587,0.35217
3,4,94.64559,46.19754,0,2.54604,1.38171,2.37440,4.48845,9.14449,0.50000
3,5,93.58324,46.64313,0,2.83109,1.38308,2.36629,4.43091,8.90098,0.33396
4,7,60.20869,60.13558,0,3.13600,1.47370,2.69374,5.43219,11.81662,0.50000
4,8,59.72299,60.49706,0,2.95061,1.43460,2.57694,5.13286,11.09070,0.50000
5,9,51.51564,31.41221,0,3.17866,1.44638,2.58576,5.08683,10.77690,0.34125
5,10,51.82790,31.48958,0,3.02623,1.46128,2.63698,5.23102,11.16375,0.44618
5,11,50.85702,31.14668,0,2.97591,1.41610,2.51918,4.97210,10.65084,0.33333
6,9,66.64819,35.13725,0,3.04009,1.42169,2.52240,4.94673,10.49136,0.38924
6,10,67.76917,35.55112,0,3.45794,1.38971,2.39898,4.54488,9.25797,0.25000
7,9,95.56535,47.45842,0,3.08598,1.37628,2.36076,4.44707,9.01941,0.32388
7,10,95.97057,47.54675,0,2.76076,1.40999,2.49258,4.88653,10.39885,0.25871
8,10,88.72969,59.39249,0,2.96464,1.46906,2.67335,5.37078,11.65029,0.44968
8,11,88.30359,59.25939,0,4.00946,1.36529,2.31610,4.30806,8.60948,0.33333
8,12,88.58672,60.12976,0,3.34359,1.45565,2.61908,5.18635,11.05848,0.50000
8,13,88.54576,60.36726,0,3.60798,1.41353,2.46891,4.72684,9.71692,0.33337
8,14,87.86588,58.35453,0,3.54623,1.47026,2.68559,5.41421,11.77580,0.37801
8,15,87.81982,57.75218,0,3.60100,1.45059,2.60568,5.15907,11.02052,0.65775
9,11,59.63925,60.36856,0,3.54151,1.49519,2.75855,5.61029,12.29736,0.33333
9,12,58.87579,59.13928,0,4.56606,1.45139,2.63821,5.32136,11.64059,0.50000
9,13,59.58971,59.46917,0,4.44015,1.38980,2.40469,4.58335,9.43269,0.33334
9,14,58.63747,60.17500,0,4.06963,1.40546,2.45910,4.73356,9.81264,0.33333
9,15,56.61037,59.66632,0,3.71158,1.47841,2.70981,5.47886,11.94616,0.65775
9,16,55.55639,58.14951,0,3.93541,1.40358,2.44619,4.68805,9.67333,0.50008
9,17,52.52776,57.89569,0,3.67340,1.45241,2.61509,5.19195,11.12055,0.33335
9,18,52.69192,57.47440,0,3.20504,1.37017,2.32706,4.33056,8.65581,0.50000
9,19,52.47539,57.57239,0,3.23542,1.37624,2.35252,4.41310,8.90650,0.33681
