Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,41.62559,73.38605,0,2.25274,1.40582,2.45813,4.72553,9.78119,0.50000
1,1,40.35313,72.87387,0,2.57944,1.51333,2.85446,5.97507,13.53695,0.50451
1,2,39.99979,72.82512,0,2.14877,1.49208,2.81541,5.90515,13.41333,0.34685
1,3,41.49950,71.65324,0,2.24922,1.41801,2.49569,4.84881,10.17938,0.50000
1,4,40.69387,71.27975,0,2.64494,1.40791,2.46129,4.73019,9.78462,0.50000
1,5,40.93435,71.54240,0,2.80487,1.45546,2.63816,5.29135,11.48813,1.00000
1,6,40.24393,71.30427,0,2.43484,1.37435,2.36636,4.51175,9.34250,1.00000
1,7,39.43967,70.59763,0,2.14974,1.41172,2.48541,4.84564,10.24879,0.50000
1,8,38.27902,69.97976,0,1.47108,1.47177,2.68236,5.37257,11.55408,0.61839
1,9,38.22031,71.19633,0,1.73157,1.44121,2.61696,5.28472,11.59192,0.60516
1,10,37.48959,70.60859,0,2.14577,1.47272,2.68190,5.37849,11.62210,0.50245
1,11,37.73150,70.59811,0,1.91129,1.38003,2.38857,4.55909,9.39048,0.50546
1,12,38.17445,70.06158,0,2.46426,1.46727,2.69176,5.47434,12.05433,0.50000
1,13,38.45960,69.66865,0,2.22909,1.44292,2.58299,5.10686,10.91590,0.50003
1,14,37.46181,69.66803,0,2.22002,1.40762,2.45558,4.70411,9.69423,0.50000
1,15,37.70308,70.16347,0,2.94807,1.33040,2.21167,4.03173,7.89914,0.50000
1,16,37.68285,70.83890,0,2.52094,1.33707,2.24977,4.17618,8.38791,0.50000
1,17,37.61785,70.28962,0,1.89829,1.61564,3.18654,6.89382,15.95172,0.50000
1,18,37.54348,70.45459,0,2.21039,1.56309,3.01644,6.43589,14.80647,0.76592
1,19,38.33417,70.56467,0,2.77042,1.35168,2.28069,4.22909,8.45463,1.00000
1,20,38.82900,70.48515,0,2.73886,1.40588,2.46720,4.77961,10.01661,1.00000
1,21,39.45466,70.33173,0,1.40091,1.58839,3.19399,7.13003,17.15302,0.33333
1,22,44.59501,72.12184,0,1.57459,1.36465,2.32819,4.37423,8.86541,0.33333
2,1,112.32274,60.75183,0,2.51978,1.61288,3.15550,6.75749,15.46691,0.50451
2,2,111.63158,60.48684,0,2.25349,1.43663,2.58469,5.11753,10.89413,0.34679
3,2,116.13515,80.81995,0,1.74514,1.46882,2.72492,5.65165,12.78302,0.33340
3,3,113.73705,80.84103,0,1.56710,1.62451,3.32688,7.57957,18.62780,0.50000
4,7,110.44199,60.61007,0,2.48002,1.53539,2.89090,5.99178,13.36643,0.50000
4,8,110.66097,59.48561,0,1.54482,1.39537,2.41695,4.59582,9.39316,0.34223
4,9,110.05164,60.14640,0,1.60813,1.47647,2.74323,5.66149,12.65536,0.60516
4,10,109.77768,60.78142,0,1.89444,1.44602,2.56130,4.98320,10.42085,0.34032
4,11,109.38947,61.85352,0,1.79789,1.46240,2.66694,5.39139,11.81931,0.50546
5,12,122.33752,67.75577,0,2.13400,1.57159,3.05632,6.55233,15.09786,0.50000
5,13,122.71627,67.61240,0,2.16614,1.30971,2.14637,3.84761,7.39687,0.50003
5,14,124.11959,68.23563,0,2.41757,1.59613,3.19055,7.06689,16.85747,0.50000
5,15,124.45962,68.29312,0,1.99254,1.51339,2.89947,6.19576,14.37751,0.50000
5,16,125.34743,68.48943,0,2.48677,1.50916,2.79477,5.69380,12.47880,0.50000
5,17,125.96909,66.54237,0,2.38234,1.65733,3.35549,7.44734,17.65123,0.50000
5,18,126.37503,67.35203,0,2.10158,1.55448,3.04450,6.64018,15.67756,0.76592
6,21,126.70967,67.50130,0,1.95911,1.58148,3.10395,6.76671,15.95222,0.33333
6,22,127.46542,68.12212,0,1.49795,1.56343,3.05801,6.64347,15.58367,0.58384
7,22,109.01079,61.76611,0,1.57318,1.55210,3.06534,6.77468,16.25399,0.58384
7,23,109.46669,61.46667,0,1.79588,1.78427,3.79285,8.77016,21.52276,0.25000
8,23,129.64322,61.80110,0,0.98754,1.24440,1.98811,3.52107,6.80908,0.25000
8,24,130.97903,64.50962,0,0.98736,1.48929,2.83595,5.99282,13.65598,0.25006
9,25,109.70311,61.15200,0,1.77703,1.56605,3.02911,6.46666,14.86061,0.37451
9,26,109.42330,61.22087,0,1.10257,1.36447,2.39623,4.72874,10.25715,0.33334
10,25,38.04491,71.75550,0,1.74130,1.62814,3.23049,7.01431,16.25687,0.37451
10,26,38.51049,71.55252,0,1.54063,1.30462,2.13294,3.86343,7.62631,0.33403
10,27,37.70104,71.26890,0,1.04904,1.32271,2.34112,4.73993,10.69623,0.25031
10,28,37.33545,71.22783,0,1.43343,1.34938,2.31685,4.47231,9.50723,0.65189
10,29,37.80193,71.38014,0,2.57246,1.42708,2.53938,5.00245,10.67938,0.50000
10,30,38.68578,71.54655,0,2.15552,1.41518,2.51405,4.96327,10.64844,1.00000
10,31,37.59211,71.68558,0,2.26612,1.55818,2.98638,6.30150,14.28065,0.35163
10,32,37.48701,72.68802,0,3.36481,1.39685,2.46689,4.84393,10.35262,0.50000
10,33,37.61551,73.36919,0,2.32055,1.34929,2.25583,4.14045,8.18121,0.50000
10,34,37.23123,73.69413,0,1.87969,1.47213,2.72448,5.61866,12.61001,0.27143
10,35,36.81787,73.38174,0,2.15557,1.38906,2.41881,4.67897,9.84654,0.84456
10,36,38.17619,74.43971,0,1.86677,1.29881,2.13029,3.83845,7.45295,0.50000
10,37,37.27060,75.18475,0,1.78150,1.38980,2.44297,4.78234,10.21456,0.50000
11,27,46.61943,75.74304,0,1.65067,1.38589,2.35664,4.36904,8.65018,0.25000
11,28,46.51117,75.46344,0,1.40120,1.34716,2.30571,4.37310,8.99401,0.65318
12,28,110.41733,61.50141,0,1.24896,1.40241,2.54962,5.23697,11.84232,0.34273
12,29,106.30210,58.10469,0,0.99194,1.21251,1.88701,3.24039,6.04682,0.50000
13,31,113.27491,81.78551,0,2.02519,1.56914,2.98887,6.21337,13.77489,0.36439
13,32,111.78983,81.68993,0,2.24729,1.64801,3.35586,7.50646,17.94989,0.50000
13,33,113.70889,80.01622,0,2.18438,1.49843,2.83779,5.99112,13.73480,0.50000
13,34,112.64195,81.18683,0,1.43177,1.41918,2.57987,5.27974,11.85330,0.25095
13,35,115.01879,78.51469,0,2.17729,1.41078,2.50233,4.93236,10.57420,0.84456
13,36,113.68283,79.70017,0,2.45421,1.44838,2.65510,5.46057,12.28980,0.50000
13,37,112.91235,79.61763,0,3.61969,1.52692,2.87096,5.94219,13.22161,0.50000
13,38,112.75730,80.94539,0,2.83122,1.55768,3.00143,6.36524,14.48418,0.50000
13,39,113.68098,81.49300,0,2.77450,1.38515,2.39834,4.57006,9.37921,0.65124
13,40,114.84380,81.61850,0,3.11428,1.43415,2.55952,5.04279,10.72856,1.00000
13,41,115.62564,80.67473,0,2.74448,1.40169,2.46913,4.81625,10.18345,0.50000
13,42,115.69818,81.39389,0,2.03688,1.51234,2.82679,5.83983,13.01123,0.50000
14,38,145.30463,68.42469,0,2.12924,1.62357,3.20315,6.95031,16.18572,0.50000
14,39,144.72917,68.56868,0,2.88801,1.40678,2.50337,4.97491,10.80433,0.65124
15,41,145.18982,69.08406,0,2.02561,1.43284,2.57311,5.10821,10.95073,0.50000
15,42,145.22821,68.43365,0,2.71246,1.47423,2.68693,5.41987,11.82622,0.50000
15,43,145.31261,68.20631,0,2.61962,1.37714,2.37329,4.49701,9.17715,0.50003
15,44,146.32892,68.98538,0,2.29958,1.38719,2.41846,4.67784,9.82193,0.36206
16,43,38.59094,75.45401,0,2.18009,1.38755,2.39978,4.57144,9.40187,0.50003
