 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,63.86479,81.58895,0,1.95500,1.48142,2.73016,5.57679,12.33441,0.50000
2,1,1,63.62087,81.57754,0,1.95592,1.43562,2.58018,5.14539,11.13408,0.50002
3,1,2,63.80605,80.54888,0,2.85442,1.43722,2.56667,5.06095,10.78981,1.00000
4,1,3,64.03310,80.91991,0,3.17216,1.39617,2.46635,4.83389,10.27721,1.00000
5,1,4,64.58868,82.31286,0,2.79366,1.43758,2.57318,5.07164,10.76444,0.50000
6,1,5,65.12324,81.97714,0,3.70837,1.49924,2.80119,5.80487,13.01707,0.50000
7,1,6,63.78899,81.23981,0,2.89840,1.44716,2.61415,5.22914,11.32735,0.50000
8,1,7,64.29497,81.59987,0,3.45545,1.33352,2.22322,4.06020,7.96473,0.50000
9,1,8,64.74735,82.55572,0,3.05354,1.39512,2.42326,4.63238,9.54940,0.50000
10,1,9,64.70557,83.24229,0,1.81347,1.31956,2.21817,4.13529,8.38319,0.50000
11,1,10,65.12215,83.08051,0,1.71967,1.51269,2.84501,5.91114,13.23996,0.52343
12,1,11,65.60574,82.82323,0,3.47793,1.39091,2.43136,4.70927,9.90220,0.50000
13,1,12,65.86086,81.91247,0,1.97490,1.36778,2.40890,4.77294,10.40649,0.50751
14,2,0,104.38650,120.08607,0,1.50297,1.62854,3.26677,7.18756,16.89612,0.50000
15,2,1,105.52517,119.22878,0,1.74442,1.55550,2.97695,6.28738,14.29855,0.50002
16,3,4,104.14338,116.26273,0,2.26593,1.43987,2.61727,5.28782,11.60125,0.50000
17,3,5,104.35038,116.50513,0,2.02976,1.39050,2.43343,4.73445,10.03260,0.50000
18,3,6,104.12579,116.07806,0,2.34922,1.43386,2.56540,5.07576,10.86879,0.50000
19,3,7,104.34821,116.81750,0,2.19934,1.50090,2.76380,5.59211,12.15238,0.50000
20,3,8,103.74033,117.73904,0,2.22347,1.42351,2.51631,4.88108,10.16817,0.50000
21,3,9,102.25183,118.72776,0,2.04202,1.52366,2.87820,6.00018,13.47566,0.50000
22,3,10,103.12712,119.81703,0,1.89668,1.56629,3.01787,6.39665,14.56304,0.52343
23,3,11,102.69903,120.74373,0,2.56910,1.43775,2.56893,5.07439,10.84693,0.50000
24,3,12,102.69451,120.41550,0,2.16827,1.45048,2.62471,5.25276,11.36069,0.50751
25,3,13,101.20411,120.63274,0,2.34657,1.36878,2.35432,4.47523,9.22051,1.00000
26,3,14,101.43942,120.12032,0,2.36011,1.40472,2.46580,4.78115,10.03034,1.00000
27,3,15,102.61443,120.58585,0,1.95529,1.59831,3.07996,6.48132,14.55813,1.00000
28,3,16,101.90585,119.44581,0,1.86568,1.44942,2.61627,5.21628,11.22671,0.50272
29,4,16,67.84318,83.52855,0,1.70606,1.52842,2.89697,6.08769,13.83330,0.50272
30,4,17,68.27992,83.18803,0,2.28367,1.48468,2.74014,5.60099,12.38386,0.50000
31,4,18,68.38554,83.53018,0,2.39675,1.57230,3.06773,6.63419,15.48445,0.50000
32,4,19,68.25497,82.64023,0,1.73887,1.46261,2.66855,5.37881,11.70967,0.50000
33,5,18,105.47231,119.57504,0,1.81245,1.55338,2.97551,6.27860,14.24133,0.50000
34,5,19,105.64213,121.55215,0,1.67223,1.61111,3.16793,6.84325,15.85054,0.50000
35,5,20,106.52214,122.07430,0,1.44354,1.67720,3.40676,7.57700,17.99480,0.25000
36,5,21,107.12210,121.35959,0,1.27371,1.62431,3.21053,6.98008,16.26556,0.33333
37,5,22,107.22067,122.39877,0,1.43217,1.60469,3.14708,6.78509,15.69035,0.33340
38,6,20,93.96516,128.92754,0,0.82851,1.46230,2.75457,5.86663,13.70494,0.30204
39,6,21,95.22210,132.49704,0,0.89326,1.49947,2.81627,5.87337,13.26743,0.33345
40,6,22,100.20741,131.49124,0,1.08869,1.65744,3.37286,7.53860,18.01674,0.33340
41,6,23,99.39855,130.76155,0,3.53238,1.63321,3.24659,7.08764,16.56985,1.00000
42,6,24,100.61176,130.81929,0,2.13735,1.65096,3.32621,7.35405,17.39215,0.50000
43,7,21,57.31251,87.76406,0,1.15219,1.41697,2.51283,4.92572,10.44102,0.33345
44,7,22,56.55469,87.60876,0,1.03435,1.34202,2.28538,4.34648,9.06254,0.33333
45,8,24,107.79798,123.72100,0,1.40276,1.58746,3.11842,6.78092,15.89428,0.50000
46,8,25,108.07465,125.09645,0,2.12958,1.55801,3.00387,6.40788,14.74932,0.50000
47,8,26,106.37547,125.56203,0,2.21727,1.43946,2.59972,5.21066,11.33538,1.00000
48,8,27,105.21233,125.65208,0,2.60725,1.39500,2.41467,4.59302,9.40144,0.50000
49,8,28,103.68189,124.92128,0,1.89806,1.41381,2.48044,4.80180,10.03214,0.50000
50,9,28,99.92281,132.70370,0,1.81579,1.65984,3.37217,7.54337,18.08663,0.50000
51,9,29,99.23208,132.56590,0,4.43092,1.42344,2.52298,4.93334,10.41945,1.00000
52,10,30,32.19712,71.90711,0,3.03350,1.49505,2.77340,5.67790,12.52427,0.50011
53,10,31,31.39997,72.72740,0,4.73424,1.41206,2.46099,4.69592,9.60898,0.50000
54,10,32,31.62106,73.78577,0,4.08261,1.37367,2.36664,4.50836,9.31142,0.50000
55,10,33,31.18567,72.77879,0,3.67892,1.49984,2.78215,5.69659,12.58101,1.00000
56,10,34,32.26695,70.93856,0,4.27160,1.56468,2.99484,6.29532,14.19026,1.00000
57,10,35,34.32122,72.79681,0,4.73670,1.44204,2.57208,5.05042,10.68826,1.00000
58,10,36,33.47848,74.36502,0,4.55966,1.41756,2.48784,4.79436,9.93735,1.00000
59,10,37,32.69303,75.14355,0,3.23305,1.39697,2.43554,4.67285,9.65660,0.50000
60,10,38,33.13973,73.74551,0,4.36485,1.40935,2.47571,4.78635,9.97092,1.00000
61,10,39,32.65868,73.27657,0,4.26208,1.48148,2.73230,5.58600,12.36629,0.50000
62,10,40,31.33177,74.96435,0,4.06616,1.48012,2.71411,5.49161,11.98628,0.35706
63,10,41,30.88730,75.86887,0,5.22818,1.45851,2.63776,5.25898,11.30546,0.50000
64,10,42,30.18897,76.23661,0,4.08808,1.47852,2.72466,5.55709,12.25399,0.33333
65,10,43,29.94060,75.58509,0,3.91963,1.45407,2.63120,5.25842,11.34821,0.50037
66,10,44,28.74879,75.86673,0,4.60529,1.43220,2.54031,4.95955,10.43428,0.51405
67,10,45,28.41901,75.53651,0,5.54972,1.40055,2.44788,4.71951,9.82903,0.50000
68,10,46,29.74187,76.29230,0,3.83945,1.51816,2.83502,5.83370,12.92533,0.50000
69,10,47,31.83024,75.96450,0,3.28545,1.50059,2.80877,5.82217,13.04168,0.50000
