Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,52.43864,55.80389,0,4.34825,1.41767,2.49120,4.80943,9.98881,1.00000
1,1,51.89130,55.64782,0,4.56427,1.45318,2.60551,5.12628,10.82735,0.80606
2,1,46.54264,76.15237,0,4.64012,1.42943,2.54177,4.98566,10.55387,0.80606
2,2,45.85349,75.82066,0,4.91747,1.48049,2.70049,5.42295,11.72520,1.00000
2,3,46.46555,75.61584,0,5.13677,1.41901,2.48398,4.76667,9.82402,1.00000
2,4,45.89916,76.41889,0,5.22157,1.47398,2.69261,5.42354,11.77815,1.00000
2,5,46.69857,76.51638,0,5.88451,1.41527,2.47255,4.73403,9.73299,1.00000
2,6,46.48700,75.53122,0,4.28485,1.39475,2.40318,4.53109,9.15808,1.00000
2,7,45.80336,75.47573,0,3.91988,1.40466,2.45231,4.70653,9.72491,1.00000
2,8,47.28839,75.55340,0,4.96759,1.46517,2.66534,5.35666,11.63191,1.00000
2,9,49.07576,75.80442,0,2.87954,1.44764,2.62243,5.25859,11.41100,1.00000
2,10,47.45736,75.28971,0,2.43020,1.41905,2.49975,4.84989,10.13943,1.00000
2,11,47.48423,74.58144,0,1.04585,1.50604,2.84697,5.97595,13.57138,0.50000
2,12,47.75819,75.34980,0,3.92124,1.42938,2.52200,4.88593,10.17368,1.00000
2,13,48.19741,74.89040,0,5.90756,1.46067,2.65696,5.34585,11.63129,1.00000
2,14,48.00659,74.83283,0,5.97721,1.43679,2.57364,5.09525,10.90506,1.00000
2,15,48.05341,74.36554,0,4.69936,1.44686,2.60012,5.16031,11.06338,1.00000
2,16,47.93015,74.17156,0,3.82869,1.49026,2.75512,5.62870,12.41820,1.00000
2,17,49.05316,73.71905,0,4.30854,1.51303,2.82834,5.83812,12.99579,1.00000
2,18,49.32407,72.57842,0,5.59301,1.39982,2.44051,4.68108,9.67592,1.00000
2,19,49.68495,72.78097,0,5.20045,1.45333,2.60852,5.14131,10.88892,1.00000
2,20,49.25263,72.39989,0,4.29661,1.46800,2.66517,5.32929,11.48150,1.00000
3,21,53.97526,54.50992,0,4.65266,1.43306,2.55905,5.04125,10.71575,1.00000
3,22,52.33339,54.36475,0,4.09806,1.41233,2.46677,4.72799,9.73649,0.50001
3,23,52.98892,53.62057,0,4.46325,1.45227,2.63023,5.26798,11.40370,0.50013
4,22,49.17587,72.16889,0,4.43138,1.49733,2.78025,5.71006,12.67107,0.50001
4,23,50.13136,73.33929,0,4.05692,1.45908,2.63901,5.26684,11.34541,0.50013
4,24,51.15947,72.88496,0,4.27735,1.45431,2.62083,5.20482,11.14151,1.00000
4,25,51.42443,73.59808,0,4.27097,1.41092,2.47057,4.75216,9.83292,1.00000
4,26,51.48543,74.03790,0,3.33826,1.44610,2.61085,5.22721,11.34500,0.63215
5,26,52.63848,54.99011,0,3.40002,1.48871,2.76184,5.66727,12.56253,0.63215
5,27,51.72562,54.17445,0,3.15922,1.46067,2.62087,5.16058,10.90937,1.00000
5,28,50.44855,53.43894,0,3.71889,1.36229,2.28954,4.18746,8.15965,1.00000
5,29,50.30259,53.65466,0,4.95412,1.44191,2.58031,5.08784,10.81346,1.00000
5,30,50.08856,54.13341,0,2.94837,1.49433,2.76544,5.65918,12.51430,1.00000
5,31,50.75900,53.02180,0,2.66896,1.44497,2.60451,5.19574,11.21551,1.00000
5,32,50.35575,52.84494,0,2.21082,1.38024,2.38074,4.51616,9.22730,1.00000
