Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,35.40055,68.89867,0,4.01957,1.39093,2.40535,4.57536,9.37745,1.00000
1,1,34.89722,69.30494,0,3.98085,1.43997,2.58663,5.13602,11.02590,1.00000
1,2,36.18179,69.60223,0,2.84204,1.49639,2.74814,5.54532,12.02399,1.00000
1,3,36.54349,69.54193,0,2.26487,1.38081,2.42022,4.72918,10.09461,1.00000
1,4,37.02580,69.36839,0,2.42132,1.43085,2.55480,5.02671,10.65984,1.00000
1,5,36.99047,70.18863,0,2.44143,1.38379,2.40217,4.62512,9.67427,1.00000
1,6,37.75696,70.85606,0,3.02364,1.45505,2.63697,5.26667,11.33545,1.00000
1,7,37.21350,72.07182,0,3.71988,1.38080,2.39350,4.59730,9.58763,1.00000
1,8,37.27974,72.49374,0,3.00545,1.44194,2.60592,5.21506,11.30389,1.00000
1,9,37.63913,70.36643,0,1.92232,1.55843,3.03059,6.54492,15.27879,1.00000
1,10,36.74899,70.43451,0,2.06247,1.46685,2.68472,5.43818,11.91426,1.00000
1,11,38.50119,71.67672,0,2.79324,1.48605,2.73418,5.55256,12.16827,1.00000
1,12,38.72961,70.87596,0,2.08974,1.53320,2.92392,6.18032,14.11649,1.00000
1,13,38.96181,71.19046,0,3.55305,1.50541,2.82666,5.88176,13.22852,1.00000
1,14,39.76479,70.01935,0,4.20845,1.40380,2.46541,4.78571,10.05210,1.00000
1,15,39.57858,69.40567,0,4.64022,1.37198,2.33853,4.37652,8.81693,1.00000
1,16,40.15325,69.18785,0,4.49489,1.45244,2.63249,5.27406,11.42338,1.00000
1,17,41.12545,69.30212,0,4.56347,1.45280,2.63261,5.28719,11.50914,1.00000
1,18,41.08243,69.94212,0,4.23609,1.50098,2.79540,5.74441,12.72575,1.00000
1,19,40.43909,70.61407,0,3.57823,1.49336,2.74609,5.57392,12.21201,1.00000
1,20,38.84763,71.06815,0,2.45225,1.44272,2.63151,5.36105,11.90641,1.00000
1,21,38.53304,70.79906,0,2.49903,1.37281,2.36247,4.47566,9.13761,1.00000
1,22,39.24528,71.10162,0,4.22780,1.42212,2.50536,4.86406,10.19016,1.00000
1,23,40.25831,70.79299,0,4.61710,1.44102,2.56527,5.02174,10.58332,1.00000
1,24,39.22746,71.65545,0,3.22092,1.46548,2.65638,5.30849,11.44544,1.00000
1,25,40.74502,73.30772,0,3.46319,1.62113,3.21761,7.01945,16.40908,1.00000
1,26,40.98262,76.89333,0,3.15409,1.49907,2.80762,5.83820,13.15162,1.00000
1,27,36.68843,78.63537,0,0.89942,1.59917,3.24085,7.29270,17.66222,0.50000
2,29,39.51705,79.31934,0,1.11578,1.46766,2.70502,5.52336,12.20739,1.00000
2,30,41.85124,78.95380,0,0.84766,1.51653,2.90837,6.20336,14.31983,0.50000
2,31,43.56879,77.80879,0,0.70081,1.50504,2.92340,6.39134,15.24483,0.50000
2,32,41.46808,78.15730,0,1.62664,1.52415,2.86623,5.96126,13.37660,1.00000
2,33,41.50365,75.16880,0,3.47927,1.45093,2.65676,5.41809,12.01716,1.00000
2,34,41.25311,74.15825,0,4.32591,1.53015,2.89400,6.04595,13.61840,1.00000
2,35,41.71025,75.32752,0,4.77044,1.47409,2.71301,5.53688,12.24279,1.00000
2,36,43.05361,76.38541,0,3.32880,1.54312,2.97605,6.37689,14.79249,1.00000
2,37,42.65591,75.65256,0,1.25574,1.71190,3.55793,8.06923,19.46054,1.00000
2,38,45.58804,77.57617,0,1.35418,1.72059,3.53038,7.88904,18.75096,1.00000
2,39,44.94666,76.22099,0,1.50327,1.53965,2.94787,6.23946,14.23138,1.00000
2,40,44.99838,75.26650,0,2.41469,1.48433,2.76677,5.73741,12.90518,1.00000
2,41,44.99983,74.43005,0,3.57054,1.49936,2.78817,5.72591,12.68613,1.00000
2,42,44.69016,73.47336,0,5.47291,1.40495,2.45916,4.74351,9.87476,1.00000
2,43,43.38786,73.84171,0,5.36997,1.42530,2.52021,4.91044,10.32451,1.00000
2,44,42.58136,75.21091,0,4.30138,1.47457,2.70821,5.50253,12.08959,1.00000
2,45,40.63734,74.44818,0,1.91844,1.48873,2.77931,5.78020,13.06423,1.00000
2,46,41.23495,73.08495,0,1.45491,1.63443,3.29181,7.32706,17.52877,1.00000
2,47,42.15388,78.12888,0,1.30974,1.65128,3.36654,7.57891,18.30424,1.00000
2,48,44.26727,77.36683,0,1.94036,1.62563,3.28893,7.37509,17.80789,1.00000
2,49,40.73024,74.75943,0,1.81937,1.43945,2.58556,5.12602,10.97089,1.00000
2,50,41.49421,76.58244,0,4.01794,1.54508,2.92369,6.07858,13.56640,1.00000
2,51,39.14330,75.91504,0,2.30702,1.66496,3.37807,7.49521,17.72905,1.00000
2,52,38.51018,75.55648,0,1.46826,1.65211,3.29847,7.21131,16.84191,1.00000
2,53,39.93090,74.48316,0,0.83304,1.65187,3.42041,7.75217,18.69611,0.41292
2,54,41.43916,77.47483,0,0.90551,1.41640,2.49027,4.87871,10.42566,0.50000
2,55,42.76599,79.03939,0,1.08244,1.32345,2.25421,4.32926,9.20179,1.00000
2,56,44.65865,79.18925,0,1.87310,1.34953,2.31062,4.39946,9.12936,1.00000
2,57,44.75153,80.09430,0,1.56873,1.51968,2.92594,6.26902,14.54100,1.00000
2,58,44.45345,78.12764,0,2.26847,1.53700,2.91095,6.07494,13.64025,1.00000
2,59,43.74192,77.30251,0,0.86002,1.45661,2.67492,5.47131,12.15788,0.50000
