Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,58.83639,116.61906,0,2.70524,1.56059,2.98544,6.29174,14.26574,1.00000
1,1,58.85462,116.25906,0,2.56555,1.40793,2.47522,4.81344,10.14108,1.00000
1,2,58.32011,117.76808,0,3.27039,1.43288,2.55735,5.03857,10.72686,1.00000
1,3,58.69071,117.70747,0,3.15485,1.44325,2.58573,5.11274,10.92043,1.00000
1,4,59.26423,117.60898,0,3.29869,1.46401,2.65660,5.31743,11.47999,1.00000
1,5,58.51698,118.02115,0,2.81862,1.44856,2.63369,5.32576,11.70419,1.00000
1,6,57.46952,117.73933,0,1.81737,1.46128,2.64759,5.30808,11.52306,1.00000
1,7,57.50195,118.34793,0,2.85829,1.45799,2.65526,5.36294,11.74640,1.00000
1,8,56.18619,120.39234,0,3.49520,1.54990,2.96448,6.25065,14.17730,1.00000
1,9,55.57546,122.27405,0,3.00900,1.46763,2.68100,5.41354,11.81164,1.00000
1,10,57.40218,122.77490,0,5.40063,1.42318,2.52542,4.95284,10.50796,1.00000
1,11,57.59424,122.66532,0,4.42904,1.47450,2.69940,5.46192,11.94319,1.00000
1,12,56.59280,122.18653,0,4.76283,1.47460,2.71898,5.57251,12.39694,1.00000
1,13,56.33729,122.42646,0,4.03556,1.45199,2.62825,5.26496,11.41646,1.00000
1,14,57.69138,123.22358,0,4.41178,1.50442,2.82746,5.90782,13.38459,1.00000
1,15,58.93443,124.09205,0,2.44154,1.51036,2.82398,5.82516,12.94196,1.00000
1,16,59.37068,124.62868,0,1.99051,1.42004,2.52351,4.96772,10.60925,1.00000
1,17,59.19078,124.11716,0,2.57015,1.50656,2.81490,5.82664,13.04752,1.00000
1,18,60.66370,122.88908,0,1.59424,1.52675,2.89261,6.06195,13.70716,1.00000
1,19,60.46697,123.17480,0,1.86995,1.43304,2.54624,4.98873,10.55104,1.00000
1,20,60.48030,123.72073,0,1.79791,1.42288,2.51685,4.92018,10.41133,1.00000
1,21,59.18449,123.99510,0,2.85463,1.48719,2.76234,5.68764,12.67232,1.00000
1,22,60.59207,123.60909,0,2.09686,1.45417,2.63489,5.27912,11.43488,1.00000
1,23,60.81135,123.22197,0,1.92131,1.53387,2.92092,6.16570,14.06865,1.00000
1,24,61.07645,123.26342,0,2.35888,1.48184,2.73312,5.57905,12.31329,1.00000
1,25,60.34213,123.46219,0,1.87639,1.48486,2.75541,5.67992,12.70036,1.00000
1,26,60.30987,123.88943,0,1.81025,1.46992,2.69123,5.45923,11.99085,1.00000
1,27,60.30335,124.68956,0,1.53570,1.43955,2.58884,5.16177,11.16541,1.00000
1,28,60.57493,123.49233,0,1.56195,1.48196,2.74722,5.65937,12.65637,1.00000
1,29,60.62565,123.43684,0,1.55860,1.49380,2.77274,5.70805,12.73224,1.00000
1,30,59.62834,123.39606,0,2.41070,1.45820,2.64706,5.30362,11.47178,1.00000
1,31,59.31643,124.44318,0,2.49713,1.48150,2.69693,5.39527,11.60288,1.00000
1,32,57.48439,123.65656,0,5.65082,1.46123,2.65046,5.31778,11.54559,1.00000
1,33,57.40857,123.55905,0,6.32512,1.41787,2.51867,4.95735,10.58494,1.00000
1,34,58.06259,123.63621,0,5.17216,1.45579,2.64258,5.31473,11.57985,1.00000
1,35,58.78208,122.84802,0,2.62150,1.53326,2.91106,6.10610,13.80840,1.00000
1,36,59.42881,121.87225,0,1.90628,1.59965,3.14406,6.80774,15.83333,1.00000
1,37,61.39426,120.93391,0,2.16780,1.49884,2.78298,5.70087,12.58358,1.00000
1,38,61.29029,122.56312,0,2.02508,1.40619,2.47222,4.81047,10.14571,1.00000
1,39,61.48425,123.37247,0,2.19938,1.43685,2.57388,5.09864,10.93429,1.00000
1,40,61.72398,122.96875,0,2.52561,1.47515,2.71524,5.54309,12.25899,1.00000
1,41,62.30563,122.50953,0,2.47250,1.50696,2.81009,5.77786,12.79980,1.00000
1,42,62.25917,122.51652,0,2.58240,1.45026,2.59340,5.09809,10.78545,1.00000
1,43,62.65667,122.84293,0,2.90673,1.41001,2.46464,4.74617,9.86467,1.00000
1,44,62.58995,124.01450,0,3.62295,1.43876,2.58036,5.11510,10.96149,1.00000
1,45,63.09701,123.66475,0,2.97557,1.42652,2.52475,4.92467,10.36454,1.00000
